Local time,Open,High,Low,Close,Volume
30.04.2012 01:00:00.000 GMT+0100,1.26643,1.27154,1.26642,1.27001,140922.5625
01.05.2012 01:00:00.000 GMT+0100,1.27000,1.28670,1.26955,1.28057,112024.9922
02.05.2012 01:00:00.000 GMT+0100,1.28057,1.28082,1.27110,1.27558,173735.1875
03.05.2012 01:00:00.000 GMT+0100,1.27559,1.28350,1.27419,1.28134,162778.2969
04.05.2012 01:00:00.000 GMT+0100,1.28142,1.29199,1.28004,1.28291,164101.4531
05.05.2012 01:00:00.000 GMT+0100,1.28291,1.28291,1.28291,1.28291,0
06.05.2012 01:00:00.000 GMT+0100,1.28359,1.28380,1.28010,1.28056,25652.5703
07.05.2012 01:00:00.000 GMT+0100,1.28052,1.28333,1.27726,1.27849,163581.3125
08.05.2012 01:00:00.000 GMT+0100,1.27847,1.28766,1.27817,1.28640,184196.7031
09.05.2012 01:00:00.000 GMT+0100,1.28641,1.29034,1.28514,1.28659,230933.3594
10.05.2012 01:00:00.000 GMT+0100,1.28661,1.28719,1.27821,1.28569,218378.25
11.05.2012 01:00:00.000 GMT+0100,1.28569,1.28997,1.28292,1.28860,196310.8438
12.05.2012 01:00:00.000 GMT+0100,1.28860,1.28860,1.28860,1.28860,0
13.05.2012 01:00:00.000 GMT+0100,1.28580,1.28852,1.28378,1.28697,18486.9609
14.05.2012 01:00:00.000 GMT+0100,1.28697,1.29153,1.28448,1.28658,194710.3281
15.05.2012 01:00:00.000 GMT+0100,1.28663,1.28848,1.27843,1.28057,205865.7344
16.05.2012 01:00:00.000 GMT+0100,1.28059,1.28572,1.27853,1.28194,231905.1563
17.05.2012 01:00:00.000 GMT+0100,1.28195,1.28442,1.27718,1.28336,223294.375
18.05.2012 01:00:00.000 GMT+0100,1.28337,1.30289,1.28336,1.29775,230300.8438
19.05.2012 01:00:00.000 GMT+0100,1.29775,1.29775,1.29775,1.29775,0
20.05.2012 01:00:00.000 GMT+0100,1.29510,1.30078,1.29510,1.29823,16654.6895
21.05.2012 01:00:00.000 GMT+0100,1.29825,1.29943,1.29180,1.29209,209258.9531
22.05.2012 01:00:00.000 GMT+0100,1.29209,1.29625,1.28815,1.29589,217068.5156
23.05.2012 01:00:00.000 GMT+0100,1.29594,1.29925,1.28803,1.29114,257230.625
24.05.2012 01:00:00.000 GMT+0100,1.29122,1.29165,1.28264,1.28362,241880.3438
25.05.2012 01:00:00.000 GMT+0100,1.28365,1.28745,1.27944,1.28219,193022.5469
26.05.2012 01:00:00.000 GMT+0100,1.28219,1.28219,1.28219,1.28219,0
27.05.2012 01:00:00.000 GMT+0100,1.28390,1.28450,1.27891,1.28039,17846.2695
28.05.2012 01:00:00.000 GMT+0100,1.28039,1.28040,1.27190,1.27549,157603.5938
29.05.2012 01:00:00.000 GMT+0100,1.27547,1.27652,1.26833,1.26959,222325.3125
30.05.2012 01:00:00.000 GMT+0100,1.26962,1.27656,1.26899,1.27510,247254.2031
31.05.2012 01:00:00.000 GMT+0100,1.27508,1.27776,1.26666,1.27173,229029.4531
01.06.2012 01:00:00.000 GMT+0100,1.27171,1.28436,1.27072,1.28170,244719.4531
02.06.2012 01:00:00.000 GMT+0100,1.28170,1.28170,1.28170,1.28170,0
03.06.2012 01:00:00.000 GMT+0100,1.28120,1.28616,1.27890,1.28574,17571.8398
04.06.2012 01:00:00.000 GMT+0100,1.28570,1.28715,1.27929,1.28452,231847.2344
05.06.2012 01:00:00.000 GMT+0100,1.28457,1.28715,1.27372,1.27486,229410.1406
06.06.2012 01:00:00.000 GMT+0100,1.27484,1.27574,1.26169,1.26889,243747.2031
07.06.2012 01:00:00.000 GMT+0100,1.26887,1.27189,1.25956,1.26798,232426.0469
08.06.2012 01:00:00.000 GMT+0100,1.26798,1.27193,1.25854,1.26283,220570.0156
09.06.2012 01:00:00.000 GMT+0100,1.26283,1.26283,1.26283,1.26283,0
