Local time,Open,High,Low,Close,Volume
01.01.2021 00:00:00.000 GMT-0000,0.89365,0.89365,0.89365,0.89365,0
02.01.2021 00:00:00.000 GMT-0000,0.89365,0.89365,0.89365,0.89365,0
03.01.2021 00:00:00.000 GMT-0000,0.89588,0.89635,0.89504,0.89539,4455.6699
04.01.2021 00:00:00.000 GMT-0000,0.89536,0.90486,0.89434,0.90278,138414.2031
05.01.2021 00:00:00.000 GMT-0000,0.90278,0.90540,0.90134,0.90249,155538.8594
06.01.2021 00:00:00.000 GMT-0000,0.90249,0.90848,0.90169,0.90559,178948.0156
07.01.2021 00:00:00.000 GMT-0000,0.90560,0.90768,0.90151,0.90418,137748.2344
08.01.2021 00:00:00.000 GMT-0000,0.90416,0.90452,0.89930,0.90089,155054.7031
09.01.2021 00:00:00.000 GMT-0000,0.90089,0.90089,0.90089,0.90089,0
10.01.2021 00:00:00.000 GMT-0000,0.89970,0.90185,0.89937,0.90146,5430.6499
11.01.2021 00:00:00.000 GMT-0000,0.90147,0.90367,0.89881,0.89917,122374.8203
12.01.2021 00:00:00.000 GMT-0000,0.89918,0.89952,0.89201,0.89325,131328.4375
13.01.2021 00:00:00.000 GMT-0000,0.89326,0.89341,0.88833,0.89109,128063.3828
14.01.2021 00:00:00.000 GMT-0000,0.89108,0.89157,0.88690,0.88796,137666.4063
15.01.2021 00:00:00.000 GMT-0000,0.88798,0.89071,0.88656,0.88843,127538.1406
16.01.2021 00:00:00.000 GMT-0000,0.88843,0.88843,0.88843,0.88843,0
17.01.2021 00:00:00.000 GMT-0000,0.88798,0.88915,0.88765,0.88906,4966.1699
18.01.2021 00:00:00.000 GMT-0000,0.88904,0.89247,0.88857,0.88916,96991.4609
19.01.2021 00:00:00.000 GMT-0000,0.88915,0.89182,0.88831,0.88964,104774.8438
20.01.2021 00:00:00.000 GMT-0000,0.88963,0.89035,0.88374,0.88636,117017.1563
21.01.2021 00:00:00.000 GMT-0000,0.88636,0.88688,0.88294,0.88608,117633.2578
22.01.2021 00:00:00.000 GMT-0000,0.88608,0.89182,0.88596,0.88943,101450.1484
23.01.2021 00:00:00.000 GMT-0000,0.88943,0.88943,0.88943,0.88943,0
24.01.2021 00:00:00.000 GMT-0000,0.88938,0.88950,0.88886,0.88898,2340.8701
25.01.2021 00:00:00.000 GMT-0000,0.88899,0.88965,0.88681,0.88786,116303.5938
26.01.2021 00:00:00.000 GMT-0000,0.88786,0.89043,0.88466,0.88515,111053.7578
27.01.2021 00:00:00.000 GMT-0000,0.88516,0.88566,0.88122,0.88525,149695.2969
28.01.2021 00:00:00.000 GMT-0000,0.88523,0.88835,0.88267,0.88310,138863.9531
29.01.2021 00:00:00.000 GMT-0000,0.88309,0.88702,0.88252,0.88567,151874.0156
30.01.2021 00:00:00.000 GMT-0000,0.88567,0.88567,0.88567,0.88567,0
31.01.2021 00:00:00.000 GMT-0000,0.88487,0.88525,0.88450,0.88504,4970.1001
01.02.2021 00:00:00.000 GMT-0000,0.88502,0.88513,0.88044,0.88236,117118.1563
02.02.2021 00:00:00.000 GMT-0000,0.88235,0.88367,0.87951,0.88117,112289.4219
03.02.2021 00:00:00.000 GMT-0000,0.88119,0.88259,0.87971,0.88211,105180.4766
04.02.2021 00:00:00.000 GMT-0000,0.88211,0.88392,0.87475,0.87518,115828.5078
05.02.2021 00:00:00.000 GMT-0000,0.87514,0.87773,0.87381,0.87675,100855.1016
06.02.2021 00:00:00.000 GMT-0000,0.87675,0.87675,0.87675,0.87675,0
07.02.2021 00:00:00.000 GMT-0000,0.87720,0.87768,0.87645,0.87696,8232.6904
08.02.2021 00:00:00.000 GMT-0000,0.87696,0.87927,0.87616,0.87678,93812.3203
09.02.2021 00:00:00.000 GMT-0000,0.87677,0.87970,0.87619,0.87695,109190.6484
10.02.2021 00:00:00.000 GMT-0000,0.87692,0.87798,0.87510,0.87617,92753.2813
11.02.2021 00:00:00.000 GMT-0000,0.87620,0.87878,0.87525,0.87826,73111.4688
12.02.2021 00:00:00.000 GMT-0000,0.87826,0.87910,0.87435,0.87451,70400.7031
13.02.2021 00:00:00.000 GMT-0000,0.87451,0.87451,0.87451,0.87451,0
14.02.2021 00:00:00.000 GMT-0000,0.87497,0.87527,0.87383,0.87384,6161.4702
15.02.2021 00:00:00.000 GMT-0000,0.87386,0.87397,0.87168,0.87188,60954.5313
16.02.2021 00:00:00.000 GMT-0000,0.87188,0.87384,0.86969,0.87052,88553.3672
17.02.2021 00:00:00.000 GMT-0000,0.87055,0.87190,0.86796,0.86865,93566.3984
18.02.2021 00:00:00.000 GMT-0000,0.86863,0.86999,0.86409,0.86569,86591.6719
19.02.2021 00:00:00.000 GMT-0000,0.86571,0.86782,0.86400,0.86457,78793.6328
20.02.2021 00:00:00.000 GMT-0000,0.86457,0.86457,0.86457,0.86457,0
21.02.2021 00:00:00.000 GMT-0000,0.86410,0.86507,0.86410,0.86435,12147.21
22.02.2021 00:00:00.000 GMT-0000,0.86436,0.86608,0.86329,0.86462,82656.0781
23.02.2021 00:00:00.000 GMT-0000,0.86460,0.86538,0.86047,0.86051,83251.7578
