Local time,Open,High,Low,Close,Volume
31.03.2015 01:00:00.000 GMT+0100,0.73125,0.73218,0.72222,0.72410,142111.5156
01.04.2015 01:00:00.000 GMT+0100,0.72410,0.72981,0.72303,0.72597,151018.6875
02.04.2015 01:00:00.000 GMT+0100,0.72597,0.73503,0.72530,0.73305,139276.7969
03.04.2015 01:00:00.000 GMT+0100,0.73305,0.73788,0.73253,0.73449,87738.6406
04.04.2015 01:00:00.000 GMT+0100,0.73449,0.73449,0.73449,0.73449,0
05.04.2015 01:00:00.000 GMT+0100,0.73665,0.73781,0.73586,0.73678,8579.6504
06.04.2015 01:00:00.000 GMT+0100,0.73680,0.73732,0.73339,0.73435,75762.6719
07.04.2015 01:00:00.000 GMT+0100,0.73435,0.73505,0.72842,0.73012,132554.5313
08.04.2015 01:00:00.000 GMT+0100,0.73012,0.73140,0.72273,0.72492,134303.4844
09.04.2015 01:00:00.000 GMT+0100,0.72495,0.72772,0.72341,0.72479,129213.2578
10.04.2015 01:00:00.000 GMT+0100,0.72480,0.72594,0.72236,0.72452,113642.7969
11.04.2015 01:00:00.000 GMT+0100,0.72452,0.72452,0.72452,0.72452,0
12.04.2015 01:00:00.000 GMT+0100,0.72382,0.72504,0.72362,0.72460,4588.0098
13.04.2015 01:00:00.000 GMT+0100,0.72459,0.72696,0.71973,0.72071,119875.5078
14.04.2015 01:00:00.000 GMT+0100,0.72070,0.72351,0.71814,0.72072,125665.4922
15.04.2015 01:00:00.000 GMT+0100,0.72067,0.72165,0.71659,0.71996,135536.5781
16.04.2015 01:00:00.000 GMT+0100,0.71995,0.72305,0.71633,0.72071,141208.4375
17.04.2015 01:00:00.000 GMT+0100,0.72072,0.72293,0.71684,0.72176,131663.6094
18.04.2015 01:00:00.000 GMT+0100,0.72176,0.72176,0.72176,0.72176,0
19.04.2015 01:00:00.000 GMT+0100,0.72302,0.72329,0.72159,0.72224,4593.2998
20.04.2015 01:00:00.000 GMT+0100,0.72225,0.72255,0.71853,0.72087,114244.1875
21.04.2015 01:00:00.000 GMT+0100,0.72086,0.72105,0.71698,0.71922,120922.0625
22.04.2015 01:00:00.000 GMT+0100,0.71922,0.72060,0.71218,0.71316,121853.5313
23.04.2015 01:00:00.000 GMT+0100,0.71315,0.71979,0.71168,0.71843,127184.1328
24.04.2015 01:00:00.000 GMT+0100,0.71844,0.72119,0.71473,0.71572,122632
25.04.2015 01:00:00.000 GMT+0100,0.71572,0.71572,0.71572,0.71572,0
26.04.2015 01:00:00.000 GMT+0100,0.71563,0.71629,0.71524,0.71610,3574.49
27.04.2015 01:00:00.000 GMT+0100,0.71606,0.71711,0.71397,0.71449,112609.7578
28.04.2015 01:00:00.000 GMT+0100,0.71447,0.71714,0.71317,0.71540,121890.0313
29.04.2015 01:00:00.000 GMT+0100,0.71537,0.72243,0.71365,0.72031,146536.4531
30.04.2015 01:00:00.000 GMT+0100,0.72033,0.73348,0.71873,0.73022,152098.3594
01.05.2015 01:00:00.000 GMT+0100,0.73022,0.74194,0.73002,0.73930,107659.6328
02.05.2015 01:00:00.000 GMT+0100,0.73930,0.73930,0.73930,0.73930,0
03.05.2015 01:00:00.000 GMT+0100,0.73866,0.73967,0.73803,0.73829,8680.4805
04.05.2015 01:00:00.000 GMT+0100,0.73829,0.73972,0.73515,0.73727,99374.9609
05.05.2015 01:00:00.000 GMT+0100,0.73725,0.73831,0.73149,0.73698,128628.3203
