Local time,Open,High,Low,Close,Volume
30.09.2020 01:00:00.000 GMT+0100,1.33837,1.34201,1.33014,1.33078,143065.9688
01.10.2020 01:00:00.000 GMT+0100,1.33082,1.33220,1.32666,1.32857,115936.4297
02.10.2020 01:00:00.000 GMT+0100,1.32859,1.33310,1.32813,1.33053,144254.5625
03.10.2020 01:00:00.000 GMT+0100,1.33053,1.33053,1.33053,1.33053,0
04.10.2020 01:00:00.000 GMT+0100,1.32964,1.33027,1.32915,1.32927,5939.4399
05.10.2020 01:00:00.000 GMT+0100,1.32927,1.32938,1.32531,1.32581,78455.6094
06.10.2020 01:00:00.000 GMT+0100,1.32579,1.33237,1.32416,1.33208,110155.5078
07.10.2020 01:00:00.000 GMT+0100,1.33205,1.33403,1.32511,1.32588,87980.9063
08.10.2020 01:00:00.000 GMT+0100,1.32592,1.32652,1.31902,1.31916,78338.9609
09.10.2020 01:00:00.000 GMT+0100,1.31918,1.31956,1.31091,1.31136,67238.1875
10.10.2020 01:00:00.000 GMT+0100,1.31136,1.31136,1.31136,1.31136,0
11.10.2020 01:00:00.000 GMT+0100,1.31286,1.31338,1.31114,1.31313,4622.2202
12.10.2020 01:00:00.000 GMT+0100,1.31315,1.31428,1.31009,1.31120,54430.8203
13.10.2020 01:00:00.000 GMT+0100,1.31120,1.31466,1.30987,1.31405,80918.9219
14.10.2020 01:00:00.000 GMT+0100,1.31403,1.31627,1.31158,1.31513,90140.9297
15.10.2020 01:00:00.000 GMT+0100,1.31515,1.32591,1.31448,1.32280,104369.2578
16.10.2020 01:00:00.000 GMT+0100,1.32279,1.32373,1.31768,1.31899,83312.7188
17.10.2020 01:00:00.000 GMT+0100,1.31899,1.31899,1.31899,1.31899,0
18.10.2020 01:00:00.000 GMT+0100,1.31878,1.31930,1.31783,1.31803,5195.5801
19.10.2020 01:00:00.000 GMT+0100,1.31804,1.31978,1.31502,1.31897,73761.7578
20.10.2020 01:00:00.000 GMT+0100,1.31898,1.32035,1.31041,1.31192,70969.5469
21.10.2020 01:00:00.000 GMT+0100,1.31194,1.31605,1.30806,1.31544,76118.7109
22.10.2020 01:00:00.000 GMT+0100,1.31545,1.31770,1.31236,1.31361,72430.4922
23.10.2020 01:00:00.000 GMT+0100,1.31363,1.31601,1.31089,1.31216,67048.5703
24.10.2020 01:00:00.000 GMT+0100,1.31216,1.31216,1.31216,1.31216,0
25.10.2020 01:00:00.000 GMT+0100,1.31296,1.31609,1.31242,1.31476,5027.6299
26.10.2020 00:00:00.000 GMT-0000,1.31476,1.32249,1.31396,1.32055,76611.8203
27.10.2020 00:00:00.000 GMT-0000,1.32055,1.32087,1.31418,1.31916,73575.1094
28.10.2020 00:00:00.000 GMT-0000,1.31914,1.33333,1.31791,1.33108,114457.7031
29.10.2020 00:00:00.000 GMT-0000,1.33109,1.33897,1.32778,1.33148,118586.4609
30.10.2020 00:00:00.000 GMT-0000,1.33148,1.33487,1.32795,1.33185,119598.5625
31.10.2020 00:00:00.000 GMT-0000,1.33185,1.33185,1.33185,1.33185,0
01.11.2020 00:00:00.000 GMT-0000,1.33151,1.33702,1.33103,1.33685,5385.71
02.11.2020 00:00:00.000 GMT-0000,1.33685,1.33700,1.32122,1.32202,98815.2578
03.11.2020 00:00:00.000 GMT-0000,1.32202,1.32337,1.30996,1.31024,82781.2813
04.11.2020 00:00:00.000 GMT-0000,1.31023,1.32990,1.30952,1.31264,220165.5625
05.11.2020 00:00:00.000 GMT-0000,1.31265,1.31780,1.30279,1.30829,149580.4844
06.11.2020 00:00:00.000 GMT-0000,1.30826,1.30968,1.30189,1.30535,111594.2266
07.11.2020 00:00:00.000 GMT-0000,1.30535,1.30535,1.30535,1.30535,0
08.11.2020 00:00:00.000 GMT-0000,1.30396,1.30517,1.30185,1.30226,4172.5898
09.11.2020 00:00:00.000 GMT-0000,1.30227,1.30308,1.29280,1.30072,157390.2656
10.11.2020 00:00:00.000 GMT-0000,1.30072,1.30507,1.29843,1.30310,127407.1719
11.11.2020 00:00:00.000 GMT-0000,1.30309,1.30770,1.30081,1.30584,81967.4766
12.11.2020 00:00:00.000 GMT-0000,1.30582,1.31495,1.30556,1.31369,80879.3438
13.11.2020 00:00:00.000 GMT-0000,1.31370,1.31721,1.31157,1.31283,63210.1406
14.11.2020 00:00:00.000 GMT-0000,1.31283,1.31283,1.31283,1.31283,0
15.11.2020 00:00:00.000 GMT-0000,1.31363,1.31380,1.31176,1.31237,3631.8201
16.11.2020 00:00:00.000 GMT-0000,1.31237,1.31276,1.30652,1.30749,75714.5625
17.11.2020 00:00:00.000 GMT-0000,1.30748,1.31164,1.30631,1.31050,68719.2266
18.11.2020 00:00:00.000 GMT-0000,1.31055,1.31174,1.30336,1.30883,72283.6484
19.11.2020 00:00:00.000 GMT-0000,1.30884,1.31230,1.30520,1.30871,78897.8906
20.11.2020 00:00:00.000 GMT-0000,1.30871,1.30965,1.30387,1.30927,72403.8672
21.11.2020 00:00:00.000 GMT-0000,1.30927,1.30927,1.30927,1.30927,0
22.11.2020 00:00:00.000 GMT-0000,1.30844,1.30936,1.30808,1.30843,3500.4199
23.11.2020 00:00:00.000 GMT-0000,1.30843,1.31123,1.30451,1.30742,71414.6875
24.11.2020 00:00:00.000 GMT-0000,1.30740,1.30905,1.29928,1.29957,87592.6719
25.11.2020 00:00:00.000 GMT-0000,1.29959,1.30288,1.29860,1.30018,78894.2734
26.11.2020 00:00:00.000 GMT-0000,1.30017,1.30227,1.29901,1.30206,64025.7891
27.11.2020 00:00:00.000 GMT-0000,1.30205,1.30247,1.29717,1.29866,64834.8711
28.11.2020 00:00:00.000 GMT-0000,1.29866,1.29866,1.29866,1.29866,0
29.11.2020 00:00:00.000 GMT-0000,1.29964,1.29972,1.29767,1.29829,1849.39
30.11.2020 00:00:00.000 GMT-0000,1.29830,1.30096,1.29228,1.29909,94415.8594
01.12.2020 00:00:00.000 GMT-0000,1.29908,1.29915,1.29274,1.29333,85248.4297
02.12.2020 00:00:00.000 GMT-0000,1.29333,1.29585,1.29097,1.29169,86147.2188
03.12.2020 00:00:00.000 GMT-0000,1.29171,1.29409,1.28519,1.28677,80333.0625
04.12.2020 00:00:00.000 GMT-0000,1.28679,1.28736,1.27720,1.27774,78208.1875
05.12.2020 00:00:00.000 GMT-0000,1.27774,1.27774,1.27774,1.27774,0
06.12.2020 00:00:00.000 GMT-0000,1.27790,1.27898,1.27742,1.27814,3881.04
07.12.2020 00:00:00.000 GMT-0000,1.27813,1.28330,1.27769,1.28032,73454.75
08.12.2020 00:00:00.000 GMT-0000,1.28035,1.28255,1.27675,1.28159,71491.5234
09.12.2020 00:00:00.000 GMT-0000,1.28158,1.28329,1.27689,1.28274,73517.6328
10.12.2020 00:00:00.000 GMT-0000,1.28272,1.28273,1.27065,1.27412,86221.2031
11.12.2020 00:00:00.000 GMT-0000,1.27411,1.27922,1.27191,1.27652,74376.2266
12.12.2020 00:00:00.000 GMT-0000,1.27652,1.27652,1.27652,1.27652,0
13.12.2020 00:00:00.000 GMT-0000,1.27536,1.27607,1.27442,1.27508,2352.8401
14.12.2020 00:00:00.000 GMT-0000,1.27508,1.27895,1.27197,1.27606,68833.2266
15.12.2020 00:00:00.000 GMT-0000,1.27605,1.27713,1.26876,1.26989,69779.6328
16.12.2020 00:00:00.000 GMT-0000,1.26991,1.27893,1.26987,1.27470,76994.4688
17.12.2020 00:00:00.000 GMT-0000,1.27473,1.27502,1.26883,1.27319,63073.7891
18.12.2020 00:00:00.000 GMT-0000,1.27320,1.27982,1.27280,1.27855,67715.8906
19.12.2020 00:00:00.000 GMT-0000,1.27855,1.27855,1.27855,1.27855,0
20.12.2020 00:00:00.000 GMT-0000,1.27978,1.28111,1.27852,1.28100,2544.6599
21.12.2020 00:00:00.000 GMT-0000,1.28101,1.29569,1.28059,1.28523,132793.6094
22.12.2020 00:00:00.000 GMT-0000,1.28523,1.29334,1.28469,1.28919,91102.2578
23.12.2020 00:00:00.000 GMT-0000,1.28922,1.29146,1.28340,1.28427,86399.3984
24.12.2020 00:00:00.000 GMT-0000,1.28430,1.28795,1.28126,1.28562,92715.0391
25.12.2020 00:00:00.000 GMT-0000,1.28557,1.28703,1.28430,1.28636,1002.19
26.12.2020 00:00:00.000 GMT-0000,1.28636,1.28636,1.28636,1.28636,0
27.12.2020 00:00:00.000 GMT-0000,1.28448,1.28552,1.28323,1.28402,3403.8601
28.12.2020 00:00:00.000 GMT-0000,1.28401,1.28755,1.28134,1.28430,64254.3398
29.12.2020 00:00:00.000 GMT-0000,1.28427,1.28433,1.27797,1.28220,63669.9102
30.12.2020 00:00:00.000 GMT-0000,1.28224,1.28266,1.27490,1.27512,63884.9219
31.12.2020 00:00:00.000 GMT-0000,1.27510,1.27696,1.27138,1.27219,62815.3398
01.01.2021 00:00:00.000 GMT-0000,1.27219,1.27219,1.27219,1.27219,0
02.01.2021 00:00:00.000 GMT-0000,1.27219,1.27219,1.27219,1.27219,0
03.01.2021 00:00:00.000 GMT-0000,1.27136,1.27347,1.27136,1.27229,3351.28
04.01.2021 00:00:00.000 GMT-0000,1.27228,1.27976,1.26647,1.27809,106819.9297
05.01.2021 00:00:00.000 GMT-0000,1.27809,1.27894,1.26557,1.26758,104188.7422
06.01.2021 00:00:00.000 GMT-0000,1.26758,1.27234,1.26296,1.26647,170530.5156
07.01.2021 00:00:00.000 GMT-0000,1.26653,1.27336,1.26642,1.26848,98692.0234
08.01.2021 00:00:00.000 GMT-0000,1.26848,1.27427,1.26583,1.26846,117789.5625
09.01.2021 00:00:00.000 GMT-0000,1.26846,1.26846,1.26846,1.26846,0
10.01.2021 00:00:00.000 GMT-0000,1.27015,1.27338,1.26867,1.27268,4056.8301
11.01.2021 00:00:00.000 GMT-0000,1.27270,1.28349,1.27184,1.27731,97832.3906
12.01.2021 00:00:00.000 GMT-0000,1.27730,1.27912,1.27065,1.27071,86668.3594
13.01.2021 00:00:00.000 GMT-0000,1.27071,1.27465,1.26799,1.26971,79459.8281
14.01.2021 00:00:00.000 GMT-0000,1.26972,1.27073,1.26245,1.26468,74401.8828
15.01.2021 00:00:00.000 GMT-0000,1.26469,1.27640,1.26357,1.27276,91147.7422
16.01.2021 00:00:00.000 GMT-0000,1.27276,1.27276,1.27276,1.27276,0
17.01.2021 00:00:00.000 GMT-0000,1.27287,1.27715,1.27258,1.27714,4400.8901
18.01.2021 00:00:00.000 GMT-0000,1.27715,1.27988,1.27420,1.27490,87689.7031
19.01.2021 00:00:00.000 GMT-0000,1.27488,1.27638,1.27149,1.27211,66108.3281
20.01.2021 00:00:00.000 GMT-0000,1.27211,1.27323,1.26060,1.26282,78751.3672
21.01.2021 00:00:00.000 GMT-0000,1.26284,1.26491,1.25885,1.26487,73273.0469
22.01.2021 00:00:00.000 GMT-0000,1.26488,1.27403,1.26410,1.27287,74211.4688
23.01.2021 00:00:00.000 GMT-0000,1.27287,1.27287,1.27287,1.27287,0
24.01.2021 00:00:00.000 GMT-0000,1.27134,1.27365,1.27076,1.27262,3311.8401
25.01.2021 00:00:00.000 GMT-0000,1.27256,1.27788,1.26870,1.27375,82673.6328
26.01.2021 00:00:00.000 GMT-0000,1.27376,1.27822,1.26894,1.26923,70022.5938
27.01.2021 00:00:00.000 GMT-0000,1.26923,1.28225,1.26847,1.28180,137300.5
28.01.2021 00:00:00.000 GMT-0000,1.28180,1.28810,1.27878,1.28303,132522.4688
29.01.2021 00:00:00.000 GMT-0000,1.28300,1.28743,1.27373,1.27718,152242.3125
30.01.2021 00:00:00.000 GMT-0000,1.27718,1.27718,1.27718,1.27718,0
31.01.2021 00:00:00.000 GMT-0000,1.27865,1.28190,1.27856,1.28004,6803.3398
01.02.2021 00:00:00.000 GMT-0000,1.28007,1.28642,1.27611,1.28490,128747.3281
02.02.2021 00:00:00.000 GMT-0000,1.28490,1.28695,1.27785,1.27867,106624.3516
03.02.2021 00:00:00.000 GMT-0000,1.27869,1.28110,1.27630,1.27844,89803.5469
04.02.2021 00:00:00.000 GMT-0000,1.27844,1.28451,1.27770,1.28249,79723.4375
05.02.2021 00:00:00.000 GMT-0000,1.28249,1.28325,1.27520,1.27532,72698.7578
06.02.2021 00:00:00.000 GMT-0000,1.27532,1.27532,1.27532,1.27532,0
07.02.2021 00:00:00.000 GMT-0000,1.27565,1.27665,1.27537,1.27602,4593.48
08.02.2021 00:00:00.000 GMT-0000,1.27599,1.27824,1.27342,1.27386,70767.2422
09.02.2021 00:00:00.000 GMT-0000,1.27390,1.27660,1.26889,1.26980,79965.2031
10.02.2021 00:00:00.000 GMT-0000,1.26980,1.27104,1.26672,1.26968,84775.5938
11.02.2021 00:00:00.000 GMT-0000,1.26969,1.27104,1.26599,1.26996,66941.3281
12.02.2021 00:00:00.000 GMT-0000,1.26997,1.27628,1.26765,1.26908,53388.7188
13.02.2021 00:00:00.000 GMT-0000,1.26908,1.26908,1.26908,1.26908,0
14.02.2021 00:00:00.000 GMT-0000,1.26833,1.26900,1.26820,1.26886,3174.04
15.02.2021 00:00:00.000 GMT-0000,1.26888,1.26912,1.26306,1.26353,39228.0313
16.02.2021 00:00:00.000 GMT-0000,1.26354,1.27121,1.26092,1.27118,72939.9297
17.02.2021 00:00:00.000 GMT-0000,1.27121,1.27460,1.26867,1.26998,89200.8281
18.02.2021 00:00:00.000 GMT-0000,1.26995,1.27306,1.26650,1.26810,69989.4063
19.02.2021 00:00:00.000 GMT-0000,1.26808,1.27137,1.25941,1.26108,71151.2734
20.02.2021 00:00:00.000 GMT-0000,1.26108,1.26108,1.26108,1.26108,0
21.02.2021 00:00:00.000 GMT-0000,1.26113,1.26180,1.25974,1.26007,2874.9399
22.02.2021 00:00:00.000 GMT-0000,1.26009,1.26535,1.25801,1.26110,77932.5313
23.02.2021 00:00:00.000 GMT-0000,1.26110,1.26469,1.25785,1.25945,87524.3906
24.02.2021 00:00:00.000 GMT-0000,1.25944,1.25980,1.25046,1.25124,99418.7031
25.02.2021 00:00:00.000 GMT-0000,1.25124,1.26144,1.24676,1.26136,139386.0938
26.02.2021 00:00:00.000 GMT-0000,1.26135,1.27484,1.25868,1.27346,170801.4844
27.02.2021 00:00:00.000 GMT-0000,1.27346,1.27346,1.27346,1.27346,0
28.02.2021 00:00:00.000 GMT-0000,1.27284,1.27370,1.26922,1.26972,6547.5698
01.03.2021 00:00:00.000 GMT-0000,1.26972,1.27129,1.26398,1.26404,103337.9766
02.03.2021 00:00:00.000 GMT-0000,1.26407,1.26980,1.25997,1.26357,113595.1016
03.03.2021 00:00:00.000 GMT-0000,1.26356,1.26748,1.25927,1.26745,113864.8828
04.03.2021 00:00:00.000 GMT-0000,1.26747,1.26936,1.25749,1.26791,171094.7031
05.03.2021 00:00:00.000 GMT-0000,1.26792,1.27370,1.26454,1.26530,159763.9844
06.03.2021 00:00:00.000 GMT-0000,1.26530,1.26530,1.26530,1.26530,0
07.03.2021 00:00:00.000 GMT-0000,1.26505,1.26565,1.26219,1.26321,5412.4399
08.03.2021 00:00:00.000 GMT-0000,1.26319,1.26998,1.26254,1.26580,135180.5313
