Local time,Open,High,Low,Close,Volume
30.04.2012 01:00:00.000 GMT+0100,5.61796,5.63178,5.60686,5.61898,164206.4219
01.05.2012 01:00:00.000 GMT+0100,5.61898,5.63306,5.59943,5.61849,115426.4219
02.05.2012 01:00:00.000 GMT+0100,5.61856,5.66832,5.61747,5.65698,176921.2344
03.05.2012 01:00:00.000 GMT+0100,5.65698,5.67929,5.64277,5.65387,163197.0469
04.05.2012 01:00:00.000 GMT+0100,5.65390,5.68548,5.64337,5.68379,161035.9063
05.05.2012 01:00:00.000 GMT+0100,5.68379,5.68379,5.68379,5.68379,0
06.05.2012 01:00:00.000 GMT+0100,5.70493,5.73997,5.70356,5.73758,17350.1699
07.05.2012 01:00:00.000 GMT+0100,5.73758,5.73758,5.69117,5.69376,180836.4375
08.05.2012 01:00:00.000 GMT+0100,5.69387,5.72737,5.69351,5.72147,185960.5625
09.05.2012 01:00:00.000 GMT+0100,5.72147,5.75766,5.71675,5.74697,224607.5469
10.05.2012 01:00:00.000 GMT+0100,5.74677,5.75128,5.72677,5.74666,190746.8594
11.05.2012 01:00:00.000 GMT+0100,5.74668,5.75938,5.73687,5.75343,206767.9219
12.05.2012 01:00:00.000 GMT+0100,5.75343,5.75343,5.75343,5.75343,0
13.05.2012 01:00:00.000 GMT+0100,5.75702,5.77016,5.74525,5.76308,11023.6602
14.05.2012 01:00:00.000 GMT+0100,5.76308,5.79987,5.75989,5.79308,208335.4531
15.05.2012 01:00:00.000 GMT+0100,5.79316,5.84218,5.77627,5.83607,202176.3906
16.05.2012 01:00:00.000 GMT+0100,5.83607,5.86127,5.82583,5.83722,245737.1406
17.05.2012 01:00:00.000 GMT+0100,5.83722,5.86757,5.82985,5.85318,224549.9688
18.05.2012 01:00:00.000 GMT+0100,5.85318,5.87899,5.80907,5.81367,237576.7344
19.05.2012 01:00:00.000 GMT+0100,5.81367,5.81367,5.81367,5.81367,0
20.05.2012 01:00:00.000 GMT+0100,5.82470,5.83490,5.80926,5.81907,9382.6104
21.05.2012 01:00:00.000 GMT+0100,5.81908,5.84025,5.79458,5.80008,217617.9063
22.05.2012 01:00:00.000 GMT+0100,5.80008,5.87367,5.79917,5.86918,254509.7969
23.05.2012 01:00:00.000 GMT+0100,5.86918,5.92350,5.85728,5.91647,278557.9688
24.05.2012 01:00:00.000 GMT+0100,5.91647,5.93727,5.88808,5.92777,268948.5313
25.05.2012 01:00:00.000 GMT+0100,5.92777,5.94611,5.89678,5.93387,229600.4531
26.05.2012 01:00:00.000 GMT+0100,5.93387,5.93387,5.93387,5.93387,0
27.05.2012 01:00:00.000 GMT+0100,5.92411,5.93431,5.90408,5.91268,23863.3906
28.05.2012 01:00:00.000 GMT+0100,5.91271,5.93628,5.88553,5.93388,164162.9844
29.05.2012 01:00:00.000 GMT+0100,5.93388,5.96306,5.90920,5.95507,262813.2813
30.05.2012 01:00:00.000 GMT+0100,5.95507,6.01107,5.95057,6.00517,265537.6563
31.05.2012 01:00:00.000 GMT+0100,6.00517,6.02338,5.97958,6.01056,243748.4219
01.06.2012 01:00:00.000 GMT+0100,6.01058,6.04655,5.96364,5.97609,257502.6875
02.06.2012 01:00:00.000 GMT+0100,5.97609,5.97609,5.97609,5.97609,0
03.06.2012 01:00:00.000 GMT+0100,5.98806,5.99377,5.97086,5.99288,24386.1504
04.06.2012 01:00:00.000 GMT+0100,5.99288,5.99868,5.93138,5.93187,211064.2656
05.06.2012 01:00:00.000 GMT+0100,5.93187,5.98777,5.92447,5.96297,231962.9844
06.06.2012 01:00:00.000 GMT+0100,5.96297,5.97348,5.90557,5.90962,260249.875
07.06.2012 01:00:00.000 GMT+0100,5.90954,5.92727,5.88777,5.91437,244749.8125
08.06.2012 01:00:00.000 GMT+0100,5.91437,5.97608,5.91267,5.93486,224722.9063
09.06.2012 01:00:00.000 GMT+0100,5.93486,5.93486,5.93486,5.93486,0
10.06.2012 01:00:00.000 GMT+0100,5.94568,5.94568,5.86197,5.87728,28921.4102
11.06.2012 01:00:00.000 GMT+0100,5.87728,5.97009,5.87647,5.95654,244794.0313
12.06.2012 01:00:00.000 GMT+0100,5.95653,5.97296,5.93187,5.94440,259541.2969
13.06.2012 01:00:00.000 GMT+0100,5.94450,5.95743,5.89267,5.90908,247426.8281
