Local time,Open,High,Low,Close,Volume
30.04.2012 01:00:00.000 GMT+0100,5.73339,5.74468,5.71178,5.72190,117421.1406
01.05.2012 01:00:00.000 GMT+0100,5.72190,5.73464,5.70346,5.71810,79682.2578
02.05.2012 01:00:00.000 GMT+0100,5.71773,5.76199,5.71294,5.74389,132177.2031
03.05.2012 01:00:00.000 GMT+0100,5.74351,5.75547,5.72141,5.74301,136739.0625
04.05.2012 01:00:00.000 GMT+0100,5.74301,5.80171,5.73844,5.79218,125124.6094
05.05.2012 01:00:00.000 GMT+0100,5.79218,5.79218,5.79218,5.79218,0
06.05.2012 01:00:00.000 GMT+0100,5.80091,5.83750,5.79856,5.83750,14402.3604
07.05.2012 01:00:00.000 GMT+0100,5.83715,5.84337,5.78520,5.79409,133526.3125
08.05.2012 01:00:00.000 GMT+0100,5.79447,5.84717,5.78617,5.83147,133603.4375
09.05.2012 01:00:00.000 GMT+0100,5.83167,5.85898,5.81367,5.83405,177363.625
10.05.2012 01:00:00.000 GMT+0100,5.83405,5.87251,5.81872,5.86585,161529.1094
11.05.2012 01:00:00.000 GMT+0100,5.86625,5.89325,5.84759,5.85260,164458.4531
12.05.2012 01:00:00.000 GMT+0100,5.85260,5.85260,5.85260,5.85260,0
13.05.2012 01:00:00.000 GMT+0100,5.86160,5.87861,5.86117,5.86984,10074.1201
14.05.2012 01:00:00.000 GMT+0100,5.86984,5.93413,5.86628,5.92995,179421.2969
15.05.2012 01:00:00.000 GMT+0100,5.92995,6.01225,5.91326,6.00071,180612.0469
16.05.2012 01:00:00.000 GMT+0100,6.00071,6.03934,5.94916,5.96475,217671.5156
17.05.2012 01:00:00.000 GMT+0100,5.96475,6.00170,5.93154,5.98510,179479.0781
18.05.2012 01:00:00.000 GMT+0100,5.98510,6.02897,5.95838,5.95955,200534.5
19.05.2012 01:00:00.000 GMT+0100,5.95955,5.95955,5.95955,5.95955,0
20.05.2012 01:00:00.000 GMT+0100,5.96679,5.97894,5.95319,5.96463,13461.8701
21.05.2012 01:00:00.000 GMT+0100,5.96463,5.99472,5.92617,5.92768,180045.5469
22.05.2012 01:00:00.000 GMT+0100,5.92788,6.00128,5.91404,5.99680,205765.1406
23.05.2012 01:00:00.000 GMT+0100,5.99712,6.02153,5.96611,5.99667,225536.3281
24.05.2012 01:00:00.000 GMT+0100,5.99667,6.04527,5.97567,6.03044,211248.875
25.05.2012 01:00:00.000 GMT+0100,6.03036,6.04572,6.00183,6.01094,187579
26.05.2012 01:00:00.000 GMT+0100,6.01094,6.01094,6.01094,6.01094,0
27.05.2012 01:00:00.000 GMT+0100,6.00067,6.00497,5.97660,5.99599,10382.5098
28.05.2012 01:00:00.000 GMT+0100,5.99599,6.01671,5.96568,6.01492,102253.9531
29.05.2012 01:00:00.000 GMT+0100,6.01459,6.04475,5.98852,6.03148,199367.8438
30.05.2012 01:00:00.000 GMT+0100,6.03148,6.09507,6.02339,6.08689,212359.125
31.05.2012 01:00:00.000 GMT+0100,6.08682,6.12272,6.04364,6.11238,206121.0313
01.06.2012 01:00:00.000 GMT+0100,6.11280,6.16929,6.07452,6.11595,218635.875
02.06.2012 01:00:00.000 GMT+0100,6.11595,6.11595,6.11595,6.11595,0
03.06.2012 01:00:00.000 GMT+0100,6.12859,6.13799,6.11057,6.13067,15178.7998
04.06.2012 01:00:00.000 GMT+0100,6.13067,6.14140,6.06078,6.06128,166769.7031
05.06.2012 01:00:00.000 GMT+0100,6.06128,6.12233,6.05181,6.10607,179392.5625
06.06.2012 01:00:00.000 GMT+0100,6.10607,6.11293,6.05627,6.06778,213619.6875
07.06.2012 01:00:00.000 GMT+0100,6.06798,6.09107,6.00535,6.04175,201728.125
08.06.2012 01:00:00.000 GMT+0100,6.04175,6.10913,6.03813,6.04955,184353.2031
09.06.2012 01:00:00.000 GMT+0100,6.04955,6.04955,6.04955,6.04955,0
10.06.2012 01:00:00.000 GMT+0100,6.05882,6.05882,5.98012,5.99398,7966.04
11.06.2012 01:00:00.000 GMT+0100,5.99410,6.05257,5.98821,6.04049,198817.2031
12.06.2012 01:00:00.000 GMT+0100,6.04049,6.05691,5.99960,6.00750,209808.5313
13.06.2012 01:00:00.000 GMT+0100,6.00750,6.02105,5.96378,5.97515,204016.0313
14.06.2012 01:00:00.000 GMT+0100,5.97515,5.99627,5.93348,5.94134,196584.3438
15.06.2012 01:00:00.000 GMT+0100,5.94165,5.98239,5.93113,5.94330,164433.8906
16.06.2012 01:00:00.000 GMT+0100,5.94330,5.94330,5.94330,5.94330,0
17.06.2012 01:00:00.000 GMT+0100,5.93640,5.94078,5.90427,5.93228,15283.29
18.06.2012 01:00:00.000 GMT+0100,5.92987,6.00307,5.92188,5.97871,190317.9688
19.06.2012 01:00:00.000 GMT+0100,5.97871,5.98722,5.91056,5.94657,194246.2344
20.06.2012 01:00:00.000 GMT+0100,5.94657,5.95399,5.88613,5.90734,200979.2031
21.06.2012 01:00:00.000 GMT+0100,5.90734,5.97557,5.90118,5.96360,198518.9375
22.06.2012 01:00:00.000 GMT+0100,5.96389,5.98162,5.93485,5.95497,174572.0781
23.06.2012 01:00:00.000 GMT+0100,5.95497,5.95497,5.95497,5.95497,0
24.06.2012 01:00:00.000 GMT+0100,5.94362,5.97468,5.94362,5.97398,8074.8901
25.06.2012 01:00:00.000 GMT+0100,5.97367,6.02389,5.96487,6.00178,135091.0469
26.06.2012 01:00:00.000 GMT+0100,6.00178,6.03955,5.98871,6.01708,161281.2656
27.06.2012 01:00:00.000 GMT+0100,6.01708,6.05249,6.00017,6.04068,147530
28.06.2012 01:00:00.000 GMT+0100,6.04068,6.09048,6.01685,6.06145,175052.9375
29.06.2012 01:00:00.000 GMT+0100,6.06145,6.07038,5.93551,5.95526,186105.8906
30.06.2012 01:00:00.000 GMT+0100,5.95526,5.95526,5.95526,5.95526,0
01.07.2012 01:00:00.000 GMT+0100,5.95393,5.96178,5.93217,5.95508,7055.71
02.07.2012 01:00:00.000 GMT+0100,5.95475,5.99051,5.95331,5.97027,137226.5156
03.07.2012 01:00:00.000 GMT+0100,5.97027,5.99288,5.95216,5.97018,130207.0625
04.07.2012 01:00:00.000 GMT+0100,5.97018,6.00845,5.96389,5.99248,107837.1563
05.07.2012 01:00:00.000 GMT+0100,5.99248,6.05352,5.98247,6.04927,166965.1563
06.07.2012 01:00:00.000 GMT+0100,6.04920,6.13478,6.04428,6.11084,144417.3281
07.07.2012 01:00:00.000 GMT+0100,6.11084,6.11084,6.11084,6.11084,0
08.07.2012 01:00:00.000 GMT+0100,6.12265,6.13211,6.11335,6.12831,16327.4297
09.07.2012 01:00:00.000 GMT+0100,6.12831,6.12899,6.06323,6.06437,151965.1875
10.07.2012 01:00:00.000 GMT+0100,6.06437,6.11587,6.06277,6.09785,137058.7344
11.07.2012 01:00:00.000 GMT+0100,6.09825,6.12117,6.08213,6.10735,127849.8672
12.07.2012 01:00:00.000 GMT+0100,6.10769,6.14181,6.09439,6.11008,147880.6563
13.07.2012 01:00:00.000 GMT+0100,6.11008,6.12834,6.08654,6.09279,115373.8203
14.07.2012 01:00:00.000 GMT+0100,6.09279,6.09279,6.09279,6.09279,0
15.07.2012 01:00:00.000 GMT+0100,6.08115,6.10578,6.07503,6.09353,11437.6201
16.07.2012 01:00:00.000 GMT+0100,6.09353,6.12479,6.07689,6.08805,126476.9297
17.07.2012 01:00:00.000 GMT+0100,6.08838,6.14235,6.06466,6.06556,148677.0313
