Local time,Open,High,Low,Close,Volume
30.04.2012 01:00:00.000 GMT+0100,3.14367,3.15955,3.13772,3.14977,54293.2813
01.05.2012 01:00:00.000 GMT+0100,3.14969,3.15517,3.12792,3.13095,32662.6309
02.05.2012 01:00:00.000 GMT+0100,3.13337,3.18182,3.12928,3.16182,72407.6406
03.05.2012 01:00:00.000 GMT+0100,3.16300,3.18248,3.15833,3.17216,56830.5508
04.05.2012 01:00:00.000 GMT+0100,3.17640,3.20640,3.17067,3.19111,58887.7813
05.05.2012 01:00:00.000 GMT+0100,3.19111,3.19111,3.19111,3.19111,0
06.05.2012 01:00:00.000 GMT+0100,3.21308,3.23961,3.21023,3.23961,3124.1499
07.05.2012 01:00:00.000 GMT+0100,3.23956,3.24381,3.19241,3.19960,56599.0898
08.05.2012 01:00:00.000 GMT+0100,3.19990,3.24448,3.19524,3.23194,71424.1328
09.05.2012 01:00:00.000 GMT+0100,3.23209,3.28462,3.22702,3.28079,92009.4688
10.05.2012 01:00:00.000 GMT+0100,3.28095,3.28212,3.25437,3.26655,74947.1328
11.05.2012 01:00:00.000 GMT+0100,3.27096,3.29670,3.26030,3.29284,74926.7813
12.05.2012 01:00:00.000 GMT+0100,3.29284,3.29284,3.29284,3.29284,0
13.05.2012 01:00:00.000 GMT+0100,3.29526,3.30918,3.28482,3.30281,2114.22
14.05.2012 01:00:00.000 GMT+0100,3.30452,3.37476,3.29055,3.37125,92331.3828
15.05.2012 01:00:00.000 GMT+0100,3.37112,3.43373,3.34362,3.42278,115622.7891
16.05.2012 01:00:00.000 GMT+0100,3.42462,3.46908,3.40117,3.41699,145408.6875
17.05.2012 01:00:00.000 GMT+0100,3.41618,3.45380,3.39618,3.43098,136050.6563
18.05.2012 01:00:00.000 GMT+0100,3.42910,3.46067,3.39551,3.39636,119842.7109
19.05.2012 01:00:00.000 GMT+0100,3.39636,3.39636,3.39636,3.39636,0
20.05.2012 01:00:00.000 GMT+0100,3.40765,3.40766,3.39315,3.40131,794.06
21.05.2012 01:00:00.000 GMT+0100,3.40250,3.40758,3.35469,3.36348,124691.4688
22.05.2012 01:00:00.000 GMT+0100,3.36505,3.44063,3.36107,3.43545,142560.5156
23.05.2012 01:00:00.000 GMT+0100,3.43541,3.49757,3.42252,3.47638,146909.2031
24.05.2012 01:00:00.000 GMT+0100,3.47638,3.49238,3.43617,3.47847,141043.5938
25.05.2012 01:00:00.000 GMT+0100,3.47847,3.49718,3.44597,3.48353,128620.6016
26.05.2012 01:00:00.000 GMT+0100,3.48353,3.48353,3.48353,3.48353,0
27.05.2012 01:00:00.000 GMT+0100,3.47677,3.48150,3.45088,3.46577,6721.73
