Local time,Open,High,Low,Close,Volume
07.07.2024 00:00:00.000 GMT+0100,0.67471,0.67471,0.67471,0.67471,0
07.07.2024 01:00:00.000 GMT+0100,0.67471,0.67471,0.67471,0.67471,0
07.07.2024 02:00:00.000 GMT+0100,0.67471,0.67471,0.67471,0.67471,0
07.07.2024 03:00:00.000 GMT+0100,0.67471,0.67471,0.67471,0.67471,0
07.07.2024 04:00:00.000 GMT+0100,0.67471,0.67471,0.67471,0.67471,0
07.07.2024 05:00:00.000 GMT+0100,0.67471,0.67471,0.67471,0.67471,0
07.07.2024 06:00:00.000 GMT+0100,0.67471,0.67471,0.67471,0.67471,0
07.07.2024 07:00:00.000 GMT+0100,0.67471,0.67471,0.67471,0.67471,0
07.07.2024 08:00:00.000 GMT+0100,0.67471,0.67471,0.67471,0.67471,0
07.07.2024 09:00:00.000 GMT+0100,0.67471,0.67471,0.67471,0.67471,0
07.07.2024 10:00:00.000 GMT+0100,0.67471,0.67471,0.67471,0.67471,0
07.07.2024 11:00:00.000 GMT+0100,0.67471,0.67471,0.67471,0.67471,0
07.07.2024 12:00:00.000 GMT+0100,0.67471,0.67471,0.67471,0.67471,0
07.07.2024 13:00:00.000 GMT+0100,0.67471,0.67471,0.67471,0.67471,0
07.07.2024 14:00:00.000 GMT+0100,0.67471,0.67471,0.67471,0.67471,0
07.07.2024 15:00:00.000 GMT+0100,0.67471,0.67471,0.67471,0.67471,0
07.07.2024 16:00:00.000 GMT+0100,0.67471,0.67471,0.67471,0.67471,0
07.07.2024 17:00:00.000 GMT+0100,0.67471,0.67471,0.67471,0.67471,0
07.07.2024 18:00:00.000 GMT+0100,0.67471,0.67471,0.67471,0.67471,0
07.07.2024 19:00:00.000 GMT+0100,0.67471,0.67471,0.67471,0.67471,0
07.07.2024 20:00:00.000 GMT+0100,0.67471,0.67471,0.67471,0.67471,0
07.07.2024 21:00:00.000 GMT+0100,0.67471,0.67471,0.67471,0.67471,0
07.07.2024 22:00:00.000 GMT+0100,0.67355,0.67445,0.67346,0.67419,1838.07
07.07.2024 23:00:00.000 GMT+0100,0.67418,0.67488,0.67413,0.67430,2825.85
08.07.2024 00:00:00.000 GMT+0100,0.67434,0.67483,0.67422,0.67458,1963.2
08.07.2024 01:00:00.000 GMT+0100,0.67456,0.67478,0.67392,0.67398,4163.49
08.07.2024 02:00:00.000 GMT+0100,0.67397,0.67500,0.67378,0.67490,3945.48
08.07.2024 03:00:00.000 GMT+0100,0.67491,0.67511,0.67458,0.67489,3560.25
08.07.2024 04:00:00.000 GMT+0100,0.67488,0.67607,0.67469,0.67544,4111.29
08.07.2024 05:00:00.000 GMT+0100,0.67544,0.67546,0.67509,0.67526,1256.61
08.07.2024 06:00:00.000 GMT+0100,0.67526,0.67527,0.67426,0.67437,2032.95
08.07.2024 07:00:00.000 GMT+0100,0.67438,0.67467,0.67396,0.67404,3991.32
08.07.2024 08:00:00.000 GMT+0100,0.67402,0.67463,0.67390,0.67443,4157.16
08.07.2024 09:00:00.000 GMT+0100,0.67443,0.67458,0.67358,0.67361,3112.62
08.07.2024 10:00:00.000 GMT+0100,0.67359,0.67413,0.67347,0.67411,2158.8
08.07.2024 11:00:00.000 GMT+0100,0.67410,0.67427,0.67356,0.67367,2287.74
08.07.2024 12:00:00.000 GMT+0100,0.67367,0.67423,0.67361,0.67396,1515.99
08.07.2024 13:00:00.000 GMT+0100,0.67394,0.67495,0.67393,0.67485,3482.15
08.07.2024 14:00:00.000 GMT+0100,0.67485,0.67509,0.67422,0.67465,5995.26
08.07.2024 15:00:00.000 GMT+0100,0.67464,0.67492,0.67436,0.67465,5616.96
08.07.2024 16:00:00.000 GMT+0100,0.67464,0.67469,0.67365,0.67372,3386.3
08.07.2024 17:00:00.000 GMT+0100,0.67371,0.67421,0.67360,0.67409,2250.93
08.07.2024 18:00:00.000 GMT+0100,0.67409,0.67438,0.67375,0.67420,2230.62
08.07.2024 19:00:00.000 GMT+0100,0.67421,0.67421,0.67340,0.67372,1735.57
08.07.2024 20:00:00.000 GMT+0100,0.67371,0.67380,0.67315,0.67350,1797.24
08.07.2024 21:00:00.000 GMT+0100,0.67349,0.67371,0.67346,0.67362,582.6
08.07.2024 22:00:00.000 GMT+0100,0.67362,0.67377,0.67321,0.67365,816.69
08.07.2024 23:00:00.000 GMT+0100,0.67366,0.67371,0.67347,0.67367,716.91
09.07.2024 00:00:00.000 GMT+0100,0.67366,0.67427,0.67365,0.67423,565.47
09.07.2024 01:00:00.000 GMT+0100,0.67426,0.67472,0.67347,0.67369,2589.51
09.07.2024 02:00:00.000 GMT+0100,0.67369,0.67440,0.67341,0.67362,4130.82
09.07.2024 03:00:00.000 GMT+0100,0.67361,0.67369,0.67275,0.67336,2772.36
09.07.2024 04:00:00.000 GMT+0100,0.67337,0.67387,0.67335,0.67355,1845.81
09.07.2024 05:00:00.000 GMT+0100,0.67356,0.67426,0.67353,0.67414,1636.44
09.07.2024 06:00:00.000 GMT+0100,0.67414,0.67456,0.67404,0.67422,1918.89
09.07.2024 07:00:00.000 GMT+0100,0.67423,0.67452,0.67374,0.67442,2902.74
09.07.2024 08:00:00.000 GMT+0100,0.67442,0.67473,0.67406,0.67417,3291.78
09.07.2024 09:00:00.000 GMT+0100,0.67418,0.67431,0.67349,0.67356,3083.25
09.07.2024 10:00:00.000 GMT+0100,0.67357,0.67393,0.67347,0.67385,1679.19
09.07.2024 11:00:00.000 GMT+0100,0.67383,0.67433,0.67354,0.67406,1381.08
09.07.2024 12:00:00.000 GMT+0100,0.67403,0.67403,0.67306,0.67327,2284.95
09.07.2024 13:00:00.000 GMT+0100,0.67326,0.67332,0.67286,0.67320,2935.8
09.07.2024 14:00:00.000 GMT+0100,0.67320,0.67420,0.67310,0.67407,4062.42
09.07.2024 15:00:00.000 GMT+0100,0.67406,0.67453,0.67261,0.67320,10080.78
09.07.2024 16:00:00.000 GMT+0100,0.67318,0.67359,0.67235,0.67356,5925.9
09.07.2024 17:00:00.000 GMT+0100,0.67355,0.67376,0.67334,0.67370,2817.77
09.07.2024 18:00:00.000 GMT+0100,0.67371,0.67434,0.67364,0.67394,3038.64
09.07.2024 19:00:00.000 GMT+0100,0.67396,0.67411,0.67367,0.67399,1805.28
09.07.2024 20:00:00.000 GMT+0100,0.67400,0.67416,0.67377,0.67410,2101.8
09.07.2024 21:00:00.000 GMT+0100,0.67408,0.67422,0.67397,0.67399,896.07
09.07.2024 22:00:00.000 GMT+0100,0.67402,0.67411,0.67362,0.67395,1059.72
09.07.2024 23:00:00.000 GMT+0100,0.67394,0.67419,0.67393,0.67416,470.99
10.07.2024 00:00:00.000 GMT+0100,0.67418,0.67429,0.67405,0.67412,838.32
10.07.2024 01:00:00.000 GMT+0100,0.67413,0.67442,0.67340,0.67348,2475.24
10.07.2024 02:00:00.000 GMT+0100,0.67348,0.67400,0.67333,0.67386,4948.8
10.07.2024 03:00:00.000 GMT+0100,0.67389,0.67414,0.67314,0.67408,7011.3
10.07.2024 04:00:00.000 GMT+0100,0.67408,0.67445,0.67376,0.67445,2391.88
10.07.2024 05:00:00.000 GMT+0100,0.67444,0.67459,0.67407,0.67449,2032.65
10.07.2024 06:00:00.000 GMT+0100,0.67451,0.67464,0.67402,0.67424,2406.67
10.07.2024 07:00:00.000 GMT+0100,0.67424,0.67479,0.67406,0.67470,2836.68
10.07.2024 08:00:00.000 GMT+0100,0.67472,0.67502,0.67367,0.67390,4238.73
10.07.2024 09:00:00.000 GMT+0100,0.67389,0.67408,0.67329,0.67394,4032.15
10.07.2024 10:00:00.000 GMT+0100,0.67394,0.67419,0.67381,0.67390,2992.53
10.07.2024 11:00:00.000 GMT+0100,0.67391,0.67409,0.67347,0.67395,2470.17
10.07.2024 12:00:00.000 GMT+0100,0.67394,0.67430,0.67373,0.67411,2538.63
10.07.2024 13:00:00.000 GMT+0100,0.67410,0.67460,0.67395,0.67443,3426.42
10.07.2024 14:00:00.000 GMT+0100,0.67444,0.67468,0.67413,0.67428,4543.29
10.07.2024 15:00:00.000 GMT+0100,0.67428,0.67518,0.67416,0.67418,4923.07
10.07.2024 16:00:00.000 GMT+0100,0.67418,0.67489,0.67415,0.67455,3071.5
10.07.2024 17:00:00.000 GMT+0100,0.67456,0.67487,0.67449,0.67461,2019.84
10.07.2024 18:00:00.000 GMT+0100,0.67464,0.67484,0.67402,0.67425,2318.04
10.07.2024 19:00:00.000 GMT+0100,0.67424,0.67445,0.67381,0.67443,1155.21
10.07.2024 20:00:00.000 GMT+0100,0.67444,0.67475,0.67411,0.67468,2770.44
10.07.2024 21:00:00.000 GMT+0100,0.67467,0.67477,0.67457,0.67464,1047.6
10.07.2024 22:00:00.000 GMT+0100,0.67446,0.67469,0.67420,0.67455,655.29
10.07.2024 23:00:00.000 GMT+0100,0.67464,0.67508,0.67453,0.67490,670.72
11.07.2024 00:00:00.000 GMT+0100,0.67491,0.67516,0.67490,0.67511,694.35
11.07.2024 01:00:00.000 GMT+0100,0.67513,0.67544,0.67468,0.67504,3146.04
11.07.2024 02:00:00.000 GMT+0100,0.67504,0.67579,0.67485,0.67571,3722.94
11.07.2024 03:00:00.000 GMT+0100,0.67573,0.67632,0.67569,0.67581,2470.77
11.07.2024 04:00:00.000 GMT+0100,0.67582,0.67620,0.67564,0.67606,1608.21
11.07.2024 05:00:00.000 GMT+0100,0.67608,0.67617,0.67568,0.67572,1345.32
11.07.2024 06:00:00.000 GMT+0100,0.67571,0.67602,0.67554,0.67597,1485.57
11.07.2024 07:00:00.000 GMT+0100,0.67593,0.67625,0.67542,0.67556,2987.97
11.07.2024 08:00:00.000 GMT+0100,0.67555,0.67580,0.67525,0.67567,3045.72
11.07.2024 09:00:00.000 GMT+0100,0.67567,0.67598,0.67541,0.67592,3515.55
11.07.2024 10:00:00.000 GMT+0100,0.67592,0.67614,0.67548,0.67582,1969.92
11.07.2024 11:00:00.000 GMT+0100,0.67581,0.67581,0.67526,0.67544,1435.83
11.07.2024 12:00:00.000 GMT+0100,0.67542,0.67555,0.67503,0.67549,2077.32
11.07.2024 13:00:00.000 GMT+0100,0.67549,0.67983,0.67504,0.67898,19643.51
11.07.2024 14:00:00.000 GMT+0100,0.67895,0.67978,0.67634,0.67827,19086.52
11.07.2024 15:00:00.000 GMT+0100,0.67828,0.67900,0.67666,0.67822,15707.34
11.07.2024 16:00:00.000 GMT+0100,0.67824,0.67838,0.67681,0.67735,13166.3
11.07.2024 17:00:00.000 GMT+0100,0.67736,0.67736,0.67612,0.67641,8246.67
11.07.2024 18:00:00.000 GMT+0100,0.67641,0.67665,0.67549,0.67571,6724.65
11.07.2024 19:00:00.000 GMT+0100,0.67572,0.67635,0.67552,0.67614,3809.65
11.07.2024 20:00:00.000 GMT+0100,0.67613,0.67615,0.67544,0.67547,5892.12
11.07.2024 21:00:00.000 GMT+0100,0.67547,0.67595,0.67542,0.67584,1192.14
11.07.2024 22:00:00.000 GMT+0100,0.67575,0.67596,0.67548,0.67570,1019.7
11.07.2024 23:00:00.000 GMT+0100,0.67575,0.67613,0.67553,0.67588,2180.38
12.07.2024 00:00:00.000 GMT+0100,0.67590,0.67722,0.67586,0.67694,4590.48
12.07.2024 01:00:00.000 GMT+0100,0.67692,0.67714,0.67570,0.67587,4893.69
12.07.2024 02:00:00.000 GMT+0100,0.67587,0.67611,0.67540,0.67569,3859.44
12.07.2024 03:00:00.000 GMT+0100,0.67572,0.67650,0.67536,0.67629,3825.27
12.07.2024 04:00:00.000 GMT+0100,0.67628,0.67668,0.67625,0.67667,3020.16
12.07.2024 05:00:00.000 GMT+0100,0.67667,0.67713,0.67662,0.67688,2091.15
12.07.2024 06:00:00.000 GMT+0100,0.67690,0.67726,0.67643,0.67715,2728.26
12.07.2024 07:00:00.000 GMT+0100,0.67715,0.67722,0.67597,0.67617,4444.74
12.07.2024 08:00:00.000 GMT+0100,0.67619,0.67704,0.67592,0.67696,3514.23
12.07.2024 09:00:00.000 GMT+0100,0.67697,0.67771,0.67690,0.67763,3173.58
12.07.2024 10:00:00.000 GMT+0100,0.67765,0.67781,0.67718,0.67744,2281.17
12.07.2024 11:00:00.000 GMT+0100,0.67745,0.67746,0.67692,0.67726,1739.13
12.07.2024 12:00:00.000 GMT+0100,0.67727,0.67758,0.67707,0.67719,1866.27
12.07.2024 13:00:00.000 GMT+0100,0.67722,0.67790,0.67617,0.67742,14324.51
12.07.2024 14:00:00.000 GMT+0100,0.67744,0.67840,0.67718,0.67769,14511.61
12.07.2024 15:00:00.000 GMT+0100,0.67773,0.67911,0.67763,0.67895,8935.23
12.07.2024 16:00:00.000 GMT+0100,0.67895,0.67933,0.67860,0.67864,5194.58
12.07.2024 17:00:00.000 GMT+0100,0.67864,0.67905,0.67857,0.67882,2734.14
12.07.2024 18:00:00.000 GMT+0100,0.67880,0.67890,0.67827,0.67868,2172.51
12.07.2024 19:00:00.000 GMT+0100,0.67866,0.67879,0.67843,0.67878,2465.85
12.07.2024 20:00:00.000 GMT+0100,0.67876,0.67898,0.67835,0.67848,2767.27
12.07.2024 21:00:00.000 GMT+0100,0.67849,0.67850,0.67821,0.67823,1798.74
12.07.2024 22:00:00.000 GMT+0100,0.67823,0.67823,0.67823,0.67823,0
12.07.2024 23:00:00.000 GMT+0100,0.67823,0.67823,0.67823,0.67823,0
13.07.2024 00:00:00.000 GMT+0100,0.67823,0.67823,0.67823,0.67823,0
13.07.2024 01:00:00.000 GMT+0100,0.67823,0.67823,0.67823,0.67823,0
13.07.2024 02:00:00.000 GMT+0100,0.67823,0.67823,0.67823,0.67823,0
13.07.2024 03:00:00.000 GMT+0100,0.67823,0.67823,0.67823,0.67823,0
13.07.2024 04:00:00.000 GMT+0100,0.67823,0.67823,0.67823,0.67823,0
13.07.2024 05:00:00.000 GMT+0100,0.67823,0.67823,0.67823,0.67823,0
13.07.2024 06:00:00.000 GMT+0100,0.67823,0.67823,0.67823,0.67823,0
13.07.2024 07:00:00.000 GMT+0100,0.67823,0.67823,0.67823,0.67823,0
13.07.2024 08:00:00.000 GMT+0100,0.67823,0.67823,0.67823,0.67823,0
13.07.2024 09:00:00.000 GMT+0100,0.67823,0.67823,0.67823,0.67823,0
13.07.2024 10:00:00.000 GMT+0100,0.67823,0.67823,0.67823,0.67823,0
13.07.2024 11:00:00.000 GMT+0100,0.67823,0.67823,0.67823,0.67823,0
13.07.2024 12:00:00.000 GMT+0100,0.67823,0.67823,0.67823,0.67823,0
13.07.2024 13:00:00.000 GMT+0100,0.67823,0.67823,0.67823,0.67823,0
13.07.2024 14:00:00.000 GMT+0100,0.67823,0.67823,0.67823,0.67823,0
13.07.2024 15:00:00.000 GMT+0100,0.67823,0.67823,0.67823,0.67823,0
13.07.2024 16:00:00.000 GMT+0100,0.67823,0.67823,0.67823,0.67823,0
13.07.2024 17:00:00.000 GMT+0100,0.67823,0.67823,0.67823,0.67823,0
13.07.2024 18:00:00.000 GMT+0100,0.67823,0.67823,0.67823,0.67823,0
13.07.2024 19:00:00.000 GMT+0100,0.67823,0.67823,0.67823,0.67823,0
13.07.2024 20:00:00.000 GMT+0100,0.67823,0.67823,0.67823,0.67823,0
13.07.2024 21:00:00.000 GMT+0100,0.67823,0.67823,0.67823,0.67823,0
13.07.2024 22:00:00.000 GMT+0100,0.67823,0.67823,0.67823,0.67823,0
13.07.2024 23:00:00.000 GMT+0100,0.67823,0.67823,0.67823,0.67823,0
14.07.2024 00:00:00.000 GMT+0100,0.67823,0.67823,0.67823,0.67823,0
14.07.2024 01:00:00.000 GMT+0100,0.67823,0.67823,0.67823,0.67823,0
14.07.2024 02:00:00.000 GMT+0100,0.67823,0.67823,0.67823,0.67823,0
14.07.2024 03:00:00.000 GMT+0100,0.67823,0.67823,0.67823,0.67823,0
14.07.2024 04:00:00.000 GMT+0100,0.67823,0.67823,0.67823,0.67823,0
14.07.2024 05:00:00.000 GMT+0100,0.67823,0.67823,0.67823,0.67823,0
14.07.2024 06:00:00.000 GMT+0100,0.67823,0.67823,0.67823,0.67823,0
14.07.2024 07:00:00.000 GMT+0100,0.67823,0.67823,0.67823,0.67823,0
14.07.2024 08:00:00.000 GMT+0100,0.67823,0.67823,0.67823,0.67823,0
14.07.2024 09:00:00.000 GMT+0100,0.67823,0.67823,0.67823,0.67823,0
14.07.2024 10:00:00.000 GMT+0100,0.67823,0.67823,0.67823,0.67823,0
14.07.2024 11:00:00.000 GMT+0100,0.67823,0.67823,0.67823,0.67823,0
14.07.2024 12:00:00.000 GMT+0100,0.67823,0.67823,0.67823,0.67823,0
14.07.2024 13:00:00.000 GMT+0100,0.67823,0.67823,0.67823,0.67823,0
14.07.2024 14:00:00.000 GMT+0100,0.67823,0.67823,0.67823,0.67823,0
14.07.2024 15:00:00.000 GMT+0100,0.67823,0.67823,0.67823,0.67823,0
14.07.2024 16:00:00.000 GMT+0100,0.67823,0.67823,0.67823,0.67823,0
14.07.2024 17:00:00.000 GMT+0100,0.67823,0.67823,0.67823,0.67823,0
14.07.2024 18:00:00.000 GMT+0100,0.67823,0.67823,0.67823,0.67823,0
14.07.2024 19:00:00.000 GMT+0100,0.67823,0.67823,0.67823,0.67823,0
14.07.2024 20:00:00.000 GMT+0100,0.67823,0.67823,0.67823,0.67823,0
