Local time,Open,High,Low,Close,Volume
30.04.2012 01:00:00.000 GMT+0100,1.02554,1.03000,1.02290,1.02950,162548.9531
01.05.2012 01:00:00.000 GMT+0100,1.02950,1.03012,1.01710,1.01883,138193.8594
02.05.2012 01:00:00.000 GMT+0100,1.01879,1.02077,1.01675,1.01695,167199.0469
03.05.2012 01:00:00.000 GMT+0100,1.01695,1.01715,1.01134,1.01413,175499.6875
04.05.2012 01:00:00.000 GMT+0100,1.01413,1.01550,1.01025,1.01344,171448.6875
05.05.2012 01:00:00.000 GMT+0100,1.01344,1.01344,1.01344,1.01344,0
06.05.2012 01:00:00.000 GMT+0100,1.00985,1.01367,1.00857,1.01018,15897.3496
07.05.2012 01:00:00.000 GMT+0100,1.01019,1.01602,1.00868,1.01371,170117.375
08.05.2012 01:00:00.000 GMT+0100,1.01371,1.01401,1.00850,1.00954,191197.3594
09.05.2012 01:00:00.000 GMT+0100,1.00958,1.01068,1.00551,1.00722,234595.9844
10.05.2012 01:00:00.000 GMT+0100,1.00719,1.01392,1.00689,1.00890,219704.6875
11.05.2012 01:00:00.000 GMT+0100,1.00890,1.01114,1.00017,1.00256,202415.3281
12.05.2012 01:00:00.000 GMT+0100,1.00256,1.00256,1.00256,1.00256,0
13.05.2012 01:00:00.000 GMT+0100,1.00300,1.00410,0.99995,1.00254,9149.4004
14.05.2012 01:00:00.000 GMT+0100,1.00254,1.00319,0.99848,0.99938,186834.7031
15.05.2012 01:00:00.000 GMT+0100,0.99938,1.00188,0.99816,1.00133,206888.2344
16.05.2012 01:00:00.000 GMT+0100,1.00133,1.00482,0.99938,1.00482,220219.7344
17.05.2012 01:00:00.000 GMT+0100,1.00482,1.01115,1.00437,1.00793,214630.8906
18.05.2012 01:00:00.000 GMT+0100,1.00793,1.00803,1.00096,1.00279,221977.1875
19.05.2012 01:00:00.000 GMT+0100,1.00279,1.00279,1.00279,1.00279,0
20.05.2012 01:00:00.000 GMT+0100,1.00400,1.00632,1.00177,1.00465,8095.96
21.05.2012 01:00:00.000 GMT+0100,1.00463,1.00915,1.00202,1.00897,200711.0938
22.05.2012 01:00:00.000 GMT+0100,1.00897,1.00920,0.99797,0.99855,217217.8438
23.05.2012 01:00:00.000 GMT+0100,0.99852,1.00083,0.99552,0.99823,234238.9844
24.05.2012 01:00:00.000 GMT+0100,0.99823,1.00435,0.99801,1.00230,232236.6406
25.05.2012 01:00:00.000 GMT+0100,1.00227,1.00685,0.99993,1.00233,179366
26.05.2012 01:00:00.000 GMT+0100,1.00233,1.00233,1.00233,1.00233,0
27.05.2012 01:00:00.000 GMT+0100,1.00442,1.00860,1.00380,1.00679,11451.5498
28.05.2012 01:00:00.000 GMT+0100,1.00679,1.01153,1.00633,1.00677,127445.9297
29.05.2012 01:00:00.000 GMT+0100,1.00677,1.01057,1.00487,1.00603,214600.8438
30.05.2012 01:00:00.000 GMT+0100,1.00603,1.00611,0.99878,0.99962,223172.8125
31.05.2012 01:00:00.000 GMT+0100,0.99963,1.00747,0.99723,1.00414,223885.0469
01.06.2012 01:00:00.000 GMT+0100,1.00417,1.00967,0.99945,1.00866,222760.7656
02.06.2012 01:00:00.000 GMT+0100,1.00866,1.00866,1.00866,1.00866,0
03.06.2012 01:00:00.000 GMT+0100,1.00829,1.00960,1.00476,1.00689,12688.1299
04.06.2012 01:00:00.000 GMT+0100,1.00695,1.01324,1.00538,1.01197,180937.6094
05.06.2012 01:00:00.000 GMT+0100,1.01193,1.01591,1.00779,1.01338,200823.4219
06.06.2012 01:00:00.000 GMT+0100,1.01335,1.02188,1.01265,1.01921,216627.9063
07.06.2012 01:00:00.000 GMT+0100,1.01916,1.02494,1.01606,1.01809,200416.0156
