Local time,Open,High,Low,Close,Volume
29.04.2012 01:00:00.000 GMT+0100,84.082,84.134,83.874,84.006,18838.9102
30.04.2012 01:00:00.000 GMT+0100,84.006,84.009,82.982,83.276,164439.2969
01.05.2012 01:00:00.000 GMT+0100,83.278,83.302,82.105,82.890,147106.1719
02.05.2012 01:00:00.000 GMT+0100,82.887,83.288,82.363,82.576,186627.5938
03.05.2012 01:00:00.000 GMT+0100,82.576,82.858,82.191,82.349,173019.6875
04.05.2012 01:00:00.000 GMT+0100,82.349,82.404,81.176,81.413,162032.0938
05.05.2012 01:00:00.000 GMT+0100,81.413,81.413,81.413,81.413,0
06.05.2012 01:00:00.000 GMT+0100,81.034,81.154,80.558,80.780,20693.4707
07.05.2012 01:00:00.000 GMT+0100,80.782,81.694,80.690,81.632,172427.5313
08.05.2012 01:00:00.000 GMT+0100,81.632,81.634,80.445,80.668,198446.25
09.05.2012 01:00:00.000 GMT+0100,80.668,80.846,79.720,80.126,225097.5625
10.05.2012 01:00:00.000 GMT+0100,80.125,81.114,80.054,80.345,220213.7031
11.05.2012 01:00:00.000 GMT+0100,80.341,80.592,79.900,80.073,196333.6875
12.05.2012 01:00:00.000 GMT+0100,80.073,80.073,80.073,80.073,0
13.05.2012 01:00:00.000 GMT+0100,80.289,80.323,79.937,80.191,17755.7695
14.05.2012 01:00:00.000 GMT+0100,80.189,80.377,79.393,79.633,203270.1875
15.05.2012 01:00:00.000 GMT+0100,79.634,80.152,79.385,79.854,232105.25
16.05.2012 01:00:00.000 GMT+0100,79.852,80.170,79.317,79.805,245735.1563
17.05.2012 01:00:00.000 GMT+0100,79.805,80.001,78.358,78.564,239822.0156
18.05.2012 01:00:00.000 GMT+0100,78.563,78.569,77.540,77.783,248815.5156
19.05.2012 01:00:00.000 GMT+0100,77.783,77.783,77.783,77.783,0
20.05.2012 01:00:00.000 GMT+0100,77.686,78.040,77.550,77.883,26364.6094
21.05.2012 01:00:00.000 GMT+0100,77.883,78.754,77.820,78.733,218374.5781
22.05.2012 01:00:00.000 GMT+0100,78.733,79.173,78.110,78.155,240153.9063
23.05.2012 01:00:00.000 GMT+0100,78.155,78.252,76.863,77.281,265214.9688
24.05.2012 01:00:00.000 GMT+0100,77.281,77.960,77.087,77.790,243504.5625
25.05.2012 01:00:00.000 GMT+0100,77.790,78.037,77.542,77.651,204231.875
26.05.2012 01:00:00.000 GMT+0100,77.651,77.651,77.651,77.651,0
27.05.2012 01:00:00.000 GMT+0100,77.781,78.287,77.600,78.118,24352.9004
28.05.2012 01:00:00.000 GMT+0100,78.118,78.479,78.070,78.108,152361.0625
29.05.2012 01:00:00.000 GMT+0100,78.108,78.656,77.798,78.143,232641.8594
30.05.2012 01:00:00.000 GMT+0100,78.145,78.200,76.617,76.625,253397.2969
31.05.2012 01:00:00.000 GMT+0100,76.625,76.983,75.751,76.344,259811.2813
01.06.2012 01:00:00.000 GMT+0100,76.349,76.362,74.464,75.601,267448.0625
02.06.2012 01:00:00.000 GMT+0100,75.601,75.601,75.601,75.601,0
03.06.2012 01:00:00.000 GMT+0100,75.721,75.876,75.272,75.272,25468.0098
04.06.2012 01:00:00.000 GMT+0100,75.273,76.399,75.233,76.396,221025.2188
05.06.2012 01:00:00.000 GMT+0100,76.396,77.012,75.947,76.958,247349.1875
06.06.2012 01:00:00.000 GMT+0100,76.955,78.790,76.764,78.578,274436.0313
07.06.2012 01:00:00.000 GMT+0100,78.578,79.711,78.347,78.988,253491
08.06.2012 01:00:00.000 GMT+0100,78.985,78.997,77.691,78.743,254948.7031
09.06.2012 01:00:00.000 GMT+0100,78.743,78.743,78.743,78.743,0
10.06.2012 01:00:00.000 GMT+0100,79.361,79.693,79.124,79.428,32421.0605
11.06.2012 01:00:00.000 GMT+0100,79.428,79.604,78.080,78.320,241109.5469
12.06.2012 01:00:00.000 GMT+0100,78.318,79.404,78.116,79.096,273150.6875
13.06.2012 01:00:00.000 GMT+0100,79.099,79.559,78.830,78.975,237219
14.06.2012 01:00:00.000 GMT+0100,78.976,79.659,78.710,79.494,234831.2188
15.06.2012 01:00:00.000 GMT+0100,79.494,79.627,78.834,79.235,213684.2031
16.06.2012 01:00:00.000 GMT+0100,79.235,79.235,79.235,79.235,0
17.06.2012 01:00:00.000 GMT+0100,79.582,80.099,79.318,79.963,32986.3594
18.06.2012 01:00:00.000 GMT+0100,79.961,80.267,79.333,79.897,220701.0625
19.06.2012 01:00:00.000 GMT+0100,79.897,80.636,79.768,80.454,213313.3594
20.06.2012 01:00:00.000 GMT+0100,80.453,81.431,80.182,80.976,236555.5625
21.06.2012 01:00:00.000 GMT+0100,80.974,81.570,80.342,80.391,257469.4844
22.06.2012 01:00:00.000 GMT+0100,80.392,81.075,80.358,80.931,223992.9219
