Local time,Open,High,Low,Close,Volume
30.09.2020 01:00:00.000 GMT+0100,0.71449,0.71748,0.70999,0.71644,140279.3906
01.10.2020 01:00:00.000 GMT+0100,0.71644,0.72086,0.71543,0.71805,137150.375
02.10.2020 01:00:00.000 GMT+0100,0.71804,0.71845,0.71304,0.71585,155699.8125
03.10.2020 01:00:00.000 GMT+0100,0.71585,0.71585,0.71585,0.71585,0
04.10.2020 01:00:00.000 GMT+0100,0.71659,0.71743,0.71561,0.71728,3983.6499
05.10.2020 01:00:00.000 GMT+0100,0.71729,0.71942,0.71622,0.71927,84321.7969
06.10.2020 01:00:00.000 GMT+0100,0.71928,0.72083,0.70952,0.71087,125139.8828
07.10.2020 01:00:00.000 GMT+0100,0.71087,0.71511,0.70980,0.71354,91539.4219
08.10.2020 01:00:00.000 GMT+0100,0.71354,0.71756,0.71227,0.71747,78368.25
09.10.2020 01:00:00.000 GMT+0100,0.71744,0.72425,0.71678,0.72396,74999.9219
10.10.2020 01:00:00.000 GMT+0100,0.72396,0.72396,0.72396,0.72396,0
11.10.2020 01:00:00.000 GMT+0100,0.72192,0.72335,0.72192,0.72242,4008.6799
12.10.2020 01:00:00.000 GMT+0100,0.72242,0.72345,0.72021,0.72083,70377.9375
13.10.2020 01:00:00.000 GMT+0100,0.72085,0.72085,0.71497,0.71637,116906.4219
14.10.2020 01:00:00.000 GMT+0100,0.71638,0.71902,0.71280,0.71406,109060.1094
15.10.2020 01:00:00.000 GMT+0100,0.71407,0.71482,0.70556,0.70874,123150.8594
16.10.2020 01:00:00.000 GMT+0100,0.70874,0.70960,0.70702,0.70763,90288.4688
17.10.2020 01:00:00.000 GMT+0100,0.70763,0.70763,0.70763,0.70763,0
18.10.2020 01:00:00.000 GMT+0100,0.70786,0.70948,0.70700,0.70928,3747.76
19.10.2020 01:00:00.000 GMT+0100,0.70928,0.71143,0.70455,0.70534,81548.3203
20.10.2020 01:00:00.000 GMT+0100,0.70535,0.70721,0.70204,0.70498,85412.8828
21.10.2020 01:00:00.000 GMT+0100,0.70494,0.71364,0.70494,0.71038,102162.2188
22.10.2020 01:00:00.000 GMT+0100,0.71039,0.71389,0.70847,0.71268,91748.3438
23.10.2020 01:00:00.000 GMT+0100,0.71267,0.71577,0.71007,0.71349,82234.4922
24.10.2020 01:00:00.000 GMT+0100,0.71349,0.71349,0.71349,0.71349,0
25.10.2020 01:00:00.000 GMT+0100,0.71328,0.71415,0.71152,0.71309,6438.2798
26.10.2020 00:00:00.000 GMT-0000,0.71309,0.71460,0.71024,0.71164,97781.2188
27.10.2020 00:00:00.000 GMT-0000,0.71164,0.71466,0.71127,0.71225,85095.0469
28.10.2020 00:00:00.000 GMT-0000,0.71225,0.71569,0.70378,0.70545,124185.5
29.10.2020 00:00:00.000 GMT-0000,0.70545,0.70756,0.70020,0.70372,130808.5703
30.10.2020 00:00:00.000 GMT-0000,0.70370,0.70718,0.70111,0.70260,144754.8906
31.10.2020 00:00:00.000 GMT-0000,0.70260,0.70260,0.70260,0.70260,0
01.11.2020 00:00:00.000 GMT-0000,0.70237,0.70246,0.69965,0.70071,6920.4302
02.11.2020 00:00:00.000 GMT-0000,0.70070,0.70571,0.69904,0.70525,113292.1719
03.11.2020 00:00:00.000 GMT-0000,0.70531,0.72046,0.70275,0.71962,100105.9531
04.11.2020 00:00:00.000 GMT-0000,0.71962,0.72216,0.70481,0.71796,247640.7344
05.11.2020 00:00:00.000 GMT-0000,0.71793,0.72889,0.71445,0.72616,173712.4063
06.11.2020 00:00:00.000 GMT-0000,0.72617,0.72870,0.72386,0.72558,140992.625
07.11.2020 00:00:00.000 GMT-0000,0.72558,0.72558,0.72558,0.72558,0
08.11.2020 00:00:00.000 GMT-0000,0.72782,0.72895,0.72709,0.72857,6423.5
09.11.2020 00:00:00.000 GMT-0000,0.72858,0.73396,0.72663,0.72787,198497.4375
10.11.2020 00:00:00.000 GMT-0000,0.72786,0.72939,0.72522,0.72813,168234.5938
11.11.2020 00:00:00.000 GMT-0000,0.72811,0.73178,0.72597,0.72833,108824.0234
12.11.2020 00:00:00.000 GMT-0000,0.72834,0.72933,0.72230,0.72393,112058.7266
13.11.2020 00:00:00.000 GMT-0000,0.72397,0.72728,0.72211,0.72663,76996.8203
14.11.2020 00:00:00.000 GMT-0000,0.72663,0.72663,0.72663,0.72663,0
15.11.2020 00:00:00.000 GMT-0000,0.72652,0.72962,0.72632,0.72892,6197.3398
16.11.2020 00:00:00.000 GMT-0000,0.72893,0.73261,0.72802,0.73193,100749.0625
17.11.2020 00:00:00.000 GMT-0000,0.73192,0.73394,0.72875,0.72958,86277.6719
18.11.2020 00:00:00.000 GMT-0000,0.72958,0.73303,0.72714,0.72962,94604.8984
19.11.2020 00:00:00.000 GMT-0000,0.72961,0.72995,0.72540,0.72674,104469.4219
20.11.2020 00:00:00.000 GMT-0000,0.72675,0.73236,0.72675,0.73004,92111.6875
21.11.2020 00:00:00.000 GMT-0000,0.73004,0.73004,0.73004,0.73004,0
22.11.2020 00:00:00.000 GMT-0000,0.73006,0.73146,0.72985,0.73125,4773.9199
23.11.2020 00:00:00.000 GMT-0000,0.73123,0.73371,0.72649,0.72943,82598.2031
24.11.2020 00:00:00.000 GMT-0000,0.72942,0.73672,0.72907,0.73659,90456.3672
25.11.2020 00:00:00.000 GMT-0000,0.73661,0.73732,0.73246,0.73633,92827.2422
26.11.2020 00:00:00.000 GMT-0000,0.73633,0.73740,0.73521,0.73560,54180.5
27.11.2020 00:00:00.000 GMT-0000,0.73565,0.73986,0.73523,0.73778,70662.4766
28.11.2020 00:00:00.000 GMT-0000,0.73778,0.73778,0.73778,0.73778,0
29.11.2020 00:00:00.000 GMT-0000,0.73853,0.74041,0.73826,0.74005,2666.1599
30.11.2020 00:00:00.000 GMT-0000,0.74005,0.74070,0.73388,0.73584,97594.6563
01.12.2020 00:00:00.000 GMT-0000,0.73586,0.73831,0.73413,0.73800,89829.1094
02.12.2020 00:00:00.000 GMT-0000,0.73800,0.74195,0.73509,0.74142,90053.6094
03.12.2020 00:00:00.000 GMT-0000,0.74141,0.74492,0.73975,0.74359,80978.2266
04.12.2020 00:00:00.000 GMT-0000,0.74358,0.74435,0.74098,0.74229,90597.7031
05.12.2020 00:00:00.000 GMT-0000,0.74229,0.74229,0.74229,0.74229,0
06.12.2020 00:00:00.000 GMT-0000,0.74310,0.74360,0.74272,0.74298,4779.73
07.12.2020 00:00:00.000 GMT-0000,0.74298,0.74532,0.73720,0.74149,82082.1406
08.12.2020 00:00:00.000 GMT-0000,0.74151,0.74350,0.73989,0.74088,81098.9063
09.12.2020 00:00:00.000 GMT-0000,0.74084,0.74847,0.74072,0.74332,90740.6328
10.12.2020 00:00:00.000 GMT-0000,0.74333,0.75395,0.74331,0.75228,107409.4922
11.12.2020 00:00:00.000 GMT-0000,0.75231,0.75714,0.75198,0.75305,90094.8125
12.12.2020 00:00:00.000 GMT-0000,0.75305,0.75305,0.75305,0.75305,0
13.12.2020 00:00:00.000 GMT-0000,0.75489,0.75584,0.75471,0.75494,3235.46
14.12.2020 00:00:00.000 GMT-0000,0.75493,0.75777,0.75240,0.75346,83959.2188
15.12.2020 00:00:00.000 GMT-0000,0.75348,0.75712,0.75069,0.75572,75778.75
16.12.2020 00:00:00.000 GMT-0000,0.75571,0.75784,0.75384,0.75692,84486.4531
17.12.2020 00:00:00.000 GMT-0000,0.75692,0.76393,0.75667,0.76139,69419.6484
18.12.2020 00:00:00.000 GMT-0000,0.76138,0.76244,0.75824,0.76193,72060.4297
19.12.2020 00:00:00.000 GMT-0000,0.76193,0.76193,0.76193,0.76193,0
20.12.2020 00:00:00.000 GMT-0000,0.75851,0.76058,0.75843,0.75868,4407.6299
21.12.2020 00:00:00.000 GMT-0000,0.75868,0.76016,0.74617,0.75753,141949.3125
22.12.2020 00:00:00.000 GMT-0000,0.75752,0.75832,0.75165,0.75536,99895.3984
23.12.2020 00:00:00.000 GMT-0000,0.75530,0.75912,0.75235,0.75822,87776.6328
24.12.2020 00:00:00.000 GMT-0000,0.75822,0.76063,0.75778,0.75919,75789.3203
25.12.2020 00:00:00.000 GMT-0000,0.75919,0.76066,0.75760,0.76040,5017.3501
26.12.2020 00:00:00.000 GMT-0000,0.76040,0.76040,0.76040,0.76040,0
27.12.2020 00:00:00.000 GMT-0000,0.75998,0.76122,0.75838,0.76100,3368.6101
