Local time,Open,High,Low,Close,Volume
30.04.2012 01:00:00.000 GMT+0100,1.20120,1.20177,1.20060,1.20136,36849.2617
01.05.2012 01:00:00.000 GMT+0100,1.20135,1.20182,1.20061,1.20149,35467.2305
02.05.2012 01:00:00.000 GMT+0100,1.20151,1.20198,1.20096,1.20140,38336.5391
03.05.2012 01:00:00.000 GMT+0100,1.20140,1.20166,1.20081,1.20149,28153.5391
04.05.2012 01:00:00.000 GMT+0100,1.20148,1.20160,1.20038,1.20041,36004.0313
05.05.2012 01:00:00.000 GMT+0100,1.20041,1.20041,1.20041,1.20041,0
06.05.2012 01:00:00.000 GMT+0100,1.20062,1.20138,1.20042,1.20107,7272.0601
07.05.2012 01:00:00.000 GMT+0100,1.20107,1.20142,1.20092,1.20133,46996.6094
08.05.2012 01:00:00.000 GMT+0100,1.20133,1.20140,1.20067,1.20113,30973.1309
09.05.2012 01:00:00.000 GMT+0100,1.20113,1.20119,1.20045,1.20108,30194.6504
10.05.2012 01:00:00.000 GMT+0100,1.20107,1.20146,1.20058,1.20113,44194.2813
11.05.2012 01:00:00.000 GMT+0100,1.20113,1.20135,1.20026,1.20040,32493.2695
12.05.2012 01:00:00.000 GMT+0100,1.20040,1.20040,1.20040,1.20040,0
13.05.2012 01:00:00.000 GMT+0100,1.20082,1.20134,1.20049,1.20123,4125.8198
14.05.2012 01:00:00.000 GMT+0100,1.20123,1.20135,1.20059,1.20114,33883.2188
15.05.2012 01:00:00.000 GMT+0100,1.20120,1.20133,1.20043,1.20109,26792.7598
16.05.2012 01:00:00.000 GMT+0100,1.20111,1.20115,1.20044,1.20104,36062.0195
17.05.2012 01:00:00.000 GMT+0100,1.20104,1.20128,1.20046,1.20104,28033.5898
18.05.2012 01:00:00.000 GMT+0100,1.20102,1.20114,1.20042,1.20082,32605.6602
19.05.2012 01:00:00.000 GMT+0100,1.20082,1.20082,1.20082,1.20082,0
20.05.2012 01:00:00.000 GMT+0100,1.20051,1.20122,1.20013,1.20108,4624.5601
21.05.2012 01:00:00.000 GMT+0100,1.20109,1.20137,1.20047,1.20105,37848.3594
22.05.2012 01:00:00.000 GMT+0100,1.20105,1.20121,1.20034,1.20103,24989.3496
23.05.2012 01:00:00.000 GMT+0100,1.20103,1.20116,1.20032,1.20095,32709.1895
24.05.2012 01:00:00.000 GMT+0100,1.20095,1.20751,1.20043,1.20167,73410.5234
25.05.2012 01:00:00.000 GMT+0100,1.20168,1.20362,1.20033,1.20038,79595.2422
26.05.2012 01:00:00.000 GMT+0100,1.20038,1.20038,1.20038,1.20038,0
27.05.2012 01:00:00.000 GMT+0100,1.20111,1.20314,1.20033,1.20186,7043.73
28.05.2012 01:00:00.000 GMT+0100,1.20181,1.20314,1.20130,1.20187,58796.9492
29.05.2012 01:00:00.000 GMT+0100,1.20187,1.20236,1.20038,1.20109,65963.6484
30.05.2012 01:00:00.000 GMT+0100,1.20109,1.20132,1.20029,1.20111,49909.1016
31.05.2012 01:00:00.000 GMT+0100,1.20107,1.20199,1.20045,1.20102,36961.5703
01.06.2012 01:00:00.000 GMT+0100,1.20102,1.20130,1.20043,1.20066,36884.8906
02.06.2012 01:00:00.000 GMT+0100,1.20066,1.20066,1.20066,1.20066,0
03.06.2012 01:00:00.000 GMT+0100,1.20059,1.20129,1.20030,1.20106,5620.5098
04.06.2012 01:00:00.000 GMT+0100,1.20106,1.20115,1.20018,1.20105,47896.5391
05.06.2012 01:00:00.000 GMT+0100,1.20104,1.20134,1.20050,1.20101,37866.3281
06.06.2012 01:00:00.000 GMT+0100,1.20098,1.20119,1.20018,1.20098,34614.9805
07.06.2012 01:00:00.000 GMT+0100,1.20098,1.20162,1.20035,1.20097,51205.7891
08.06.2012 01:00:00.000 GMT+0100,1.20097,1.20127,1.20027,1.20033,45955
09.06.2012 01:00:00.000 GMT+0100,1.20033,1.20033,1.20033,1.20033,0
10.06.2012 01:00:00.000 GMT+0100,1.20132,1.20246,1.20068,1.20107,13994.5498
11.06.2012 01:00:00.000 GMT+0100,1.20107,1.20170,1.20035,1.20100,48502.4375
12.06.2012 01:00:00.000 GMT+0100,1.20102,1.20119,1.20033,1.20110,38720.9453
13.06.2012 01:00:00.000 GMT+0100,1.20109,1.20121,1.20026,1.20107,34262.2539
14.06.2012 01:00:00.000 GMT+0100,1.20108,1.20205,1.20019,1.20093,47340.1563
15.06.2012 01:00:00.000 GMT+0100,1.20093,1.20122,1.20040,1.20073,30481.7695
16.06.2012 01:00:00.000 GMT+0100,1.20073,1.20073,1.20073,1.20073,0
17.06.2012 01:00:00.000 GMT+0100,1.20105,1.20160,1.20040,1.20117,5900.3872
18.06.2012 01:00:00.000 GMT+0100,1.20117,1.20150,1.20035,1.20098,36225.1094
19.06.2012 01:00:00.000 GMT+0100,1.20098,1.20103,1.20033,1.20097,24493.8398
20.06.2012 01:00:00.000 GMT+0100,1.20095,1.20118,1.20027,1.20115,29451.7109
21.06.2012 01:00:00.000 GMT+0100,1.20115,1.20125,1.20043,1.20111,40013
22.06.2012 01:00:00.000 GMT+0100,1.20108,1.20113,1.20002,1.20025,29897.7598
23.06.2012 01:00:00.000 GMT+0100,1.20025,1.20025,1.20025,1.20025,0
24.06.2012 01:00:00.000 GMT+0100,1.20103,1.20108,1.20031,1.20099,8154.04
25.06.2012 01:00:00.000 GMT+0100,1.20098,1.20111,1.20006,1.20095,23675.5
26.06.2012 01:00:00.000 GMT+0100,1.20093,1.20109,1.20039,1.20093,24118.7793
27.06.2012 01:00:00.000 GMT+0100,1.20094,1.20120,1.20025,1.20094,27009.8301
28.06.2012 01:00:00.000 GMT+0100,1.20097,1.20146,1.20050,1.20094,34678.5898
29.06.2012 01:00:00.000 GMT+0100,1.20093,1.20379,1.20030,1.20066,76209.7109
30.06.2012 01:00:00.000 GMT+0100,1.20066,1.20066,1.20066,1.20066,0
01.07.2012 01:00:00.000 GMT+0100,1.20094,1.20191,1.20075,1.20172,8563.7803
02.07.2012 01:00:00.000 GMT+0100,1.20172,1.20174,1.20055,1.20107,43971.8516
03.07.2012 01:00:00.000 GMT+0100,1.20108,1.20151,1.20054,1.20103,30801.9707
04.07.2012 01:00:00.000 GMT+0100,1.20103,1.20130,1.20048,1.20115,22974.6602
05.07.2012 01:00:00.000 GMT+0100,1.20115,1.20168,1.20049,1.20116,36140.5
06.07.2012 01:00:00.000 GMT+0100,1.20117,1.20133,1.20015,1.20036,25785
07.07.2012 01:00:00.000 GMT+0100,1.20036,1.20036,1.20036,1.20036,0
08.07.2012 01:00:00.000 GMT+0100,1.20075,1.20147,1.20033,1.20109,6403.7998
09.07.2012 01:00:00.000 GMT+0100,1.20107,1.20124,1.20031,1.20095,31511.1309
10.07.2012 01:00:00.000 GMT+0100,1.20096,1.20103,1.20026,1.20091,45054.0117
11.07.2012 01:00:00.000 GMT+0100,1.20091,1.20109,1.20023,1.20088,35145.8203
12.07.2012 01:00:00.000 GMT+0100,1.20088,1.20094,1.20015,1.20080,28226.2305
13.07.2012 01:00:00.000 GMT+0100,1.20080,1.20102,1.20026,1.20040,28546.6094
14.07.2012 01:00:00.000 GMT+0100,1.20040,1.20040,1.20040,1.20040,0
15.07.2012 01:00:00.000 GMT+0100,1.20085,1.20102,1.20040,1.20094,19951.4492
16.07.2012 01:00:00.000 GMT+0100,1.20093,1.20115,1.20036,1.20090,28022.75
17.07.2012 01:00:00.000 GMT+0100,1.20093,1.20146,1.20048,1.20112,29186.4805
18.07.2012 01:00:00.000 GMT+0100,1.20111,1.20143,1.20052,1.20095,25363.4395
19.07.2012 01:00:00.000 GMT+0100,1.20095,1.20123,1.20043,1.20102,23913.5195
20.07.2012 01:00:00.000 GMT+0100,1.20102,1.20122,1.20015,1.20064,21625.4102
21.07.2012 01:00:00.000 GMT+0100,1.20064,1.20064,1.20064,1.20064,0
22.07.2012 01:00:00.000 GMT+0100,1.20078,1.20103,1.20042,1.20095,9672.25
23.07.2012 01:00:00.000 GMT+0100,1.20096,1.20103,1.20031,1.20097,27652.0703
24.07.2012 01:00:00.000 GMT+0100,1.20096,1.20105,1.20037,1.20097,22397.7598
25.07.2012 01:00:00.000 GMT+0100,1.20097,1.20115,1.20042,1.20095,24284.8008
26.07.2012 01:00:00.000 GMT+0100,1.20095,1.20117,1.20034,1.20093,30897.3945
27.07.2012 01:00:00.000 GMT+0100,1.20093,1.20116,1.20028,1.20084,31855.5293
28.07.2012 01:00:00.000 GMT+0100,1.20084,1.20084,1.20084,1.20084,0
29.07.2012 01:00:00.000 GMT+0100,1.20073,1.20107,1.20052,1.20097,1849.24
30.07.2012 01:00:00.000 GMT+0100,1.20096,1.20118,1.20047,1.20106,29298.6406
31.07.2012 01:00:00.000 GMT+0100,1.20105,1.20201,1.20063,1.20103,28250.4609
01.08.2012 01:00:00.000 GMT+0100,1.20103,1.20179,1.20052,1.20125,29740.0605
02.08.2012 01:00:00.000 GMT+0100,1.20125,1.20289,1.20067,1.20126,42263.3789
03.08.2012 01:00:00.000 GMT+0100,1.20127,1.20194,1.20080,1.20149,32705.8203
04.08.2012 01:00:00.000 GMT+0100,1.20149,1.20149,1.20149,1.20149,0
05.08.2012 01:00:00.000 GMT+0100,1.20112,1.20191,1.20062,1.20140,7527.8901
06.08.2012 01:00:00.000 GMT+0100,1.20141,1.20803,1.20061,1.20114,33629.3203
07.08.2012 01:00:00.000 GMT+0100,1.20114,1.20191,1.20067,1.20131,30111.3105
08.08.2012 01:00:00.000 GMT+0100,1.20131,1.20150,1.20060,1.20123,23960.75
09.08.2012 01:00:00.000 GMT+0100,1.20125,1.20139,1.20034,1.20103,19082.7305
10.08.2012 01:00:00.000 GMT+0100,1.20104,1.20113,1.19990,1.20050,17016.4707
11.08.2012 01:00:00.000 GMT+0100,1.20050,1.20050,1.20050,1.20050,0
12.08.2012 01:00:00.000 GMT+0100,1.20056,1.20099,1.20024,1.20095,4089.6399
13.08.2012 01:00:00.000 GMT+0100,1.20096,1.20106,1.20041,1.20100,19441.1895
14.08.2012 01:00:00.000 GMT+0100,1.20101,1.20123,1.20042,1.20112,20657.5098
15.08.2012 01:00:00.000 GMT+0100,1.20113,1.20124,1.20043,1.20098,19379.7109
16.08.2012 01:00:00.000 GMT+0100,1.20099,1.20109,1.20036,1.20104,22206.0898
17.08.2012 01:00:00.000 GMT+0100,1.20102,1.20117,1.20033,1.20083,17341.6699
18.08.2012 01:00:00.000 GMT+0100,1.20083,1.20083,1.20083,1.20083,0
19.08.2012 01:00:00.000 GMT+0100,1.20094,1.20118,1.20039,1.20099,3764.3777
20.08.2012 01:00:00.000 GMT+0100,1.20112,1.20146,1.20033,1.20103,17577.5391
21.08.2012 01:00:00.000 GMT+0100,1.20104,1.20121,1.20032,1.20096,33703.4414
22.08.2012 01:00:00.000 GMT+0100,1.20096,1.20111,1.20015,1.20100,23558.5391
23.08.2012 01:00:00.000 GMT+0100,1.20101,1.20113,1.20028,1.20093,19190.9492
24.08.2012 01:00:00.000 GMT+0100,1.20089,1.20102,1.20013,1.20043,17525.4609
25.08.2012 01:00:00.000 GMT+0100,1.20043,1.20043,1.20043,1.20043,0
26.08.2012 01:00:00.000 GMT+0100,1.20092,1.20098,1.20024,1.20096,4654.29
27.08.2012 01:00:00.000 GMT+0100,1.20096,1.20108,1.20040,1.20102,16398.0098
28.08.2012 01:00:00.000 GMT+0100,1.20105,1.20112,1.20021,1.20095,16690.6094
29.08.2012 01:00:00.000 GMT+0100,1.20096,1.20106,1.20022,1.20096,14740.1201
30.08.2012 01:00:00.000 GMT+0100,1.20095,1.20105,1.20026,1.20093,13766.7998
31.08.2012 01:00:00.000 GMT+0100,1.20093,1.20097,1.19996,1.20027,13168.8496
01.09.2012 01:00:00.000 GMT+0100,1.20027,1.20027,1.20027,1.20027,0
02.09.2012 01:00:00.000 GMT+0100,1.20047,1.20090,1.20009,1.20083,3373.9199
