Local time,Open,High,Low,Close,Volume
30.09.2020 01:00:00.000 GMT+0100,1.17414,1.17548,1.16847,1.17232,1342323.5
01.10.2020 01:00:00.000 GMT+0100,1.17234,1.17696,1.17171,1.17439,1320011.875
02.10.2020 01:00:00.000 GMT+0100,1.17439,1.17445,1.16956,1.17157,1382583.625
03.10.2020 01:00:00.000 GMT+0100,1.17157,1.17157,1.17157,1.17157,0
04.10.2020 01:00:00.000 GMT+0100,1.17110,1.17201,1.17053,1.17195,34534.7539
05.10.2020 01:00:00.000 GMT+0100,1.17195,1.17975,1.17176,1.17891,1035147.5625
06.10.2020 01:00:00.000 GMT+0100,1.17889,1.18077,1.17302,1.17371,1216189.75
07.10.2020 01:00:00.000 GMT+0100,1.17370,1.17818,1.17249,1.17657,1176356.75
08.10.2020 01:00:00.000 GMT+0100,1.17657,1.17816,1.17326,1.17668,1112885.125
09.10.2020 01:00:00.000 GMT+0100,1.17667,1.18310,1.17576,1.18248,1032612.125
10.10.2020 01:00:00.000 GMT+0100,1.18248,1.18248,1.18248,1.18248,0
11.10.2020 01:00:00.000 GMT+0100,1.18103,1.18226,1.18102,1.18157,28731.9805
12.10.2020 01:00:00.000 GMT+0100,1.18156,1.18266,1.17867,1.18129,950505.875
13.10.2020 01:00:00.000 GMT+0100,1.18127,1.18139,1.17304,1.17420,1201636
14.10.2020 01:00:00.000 GMT+0100,1.17419,1.17710,1.17199,1.17447,1142140
15.10.2020 01:00:00.000 GMT+0100,1.17444,1.17578,1.16884,1.17064,1050044.25
16.10.2020 01:00:00.000 GMT+0100,1.17065,1.17462,1.16939,1.17132,929525
17.10.2020 01:00:00.000 GMT+0100,1.17132,1.17132,1.17132,1.17132,0
18.10.2020 01:00:00.000 GMT+0100,1.17181,1.17209,1.17112,1.17156,8770.6885
19.10.2020 01:00:00.000 GMT+0100,1.17154,1.17936,1.17031,1.17683,689669.0625
20.10.2020 01:00:00.000 GMT+0100,1.17683,1.18407,1.17598,1.18290,811250.25
21.10.2020 01:00:00.000 GMT+0100,1.18289,1.18807,1.18280,1.18516,948227.5
22.10.2020 01:00:00.000 GMT+0100,1.18516,1.18668,1.18114,1.18146,932241.125
23.10.2020 01:00:00.000 GMT+0100,1.18143,1.18648,1.17866,1.18572,878053.375
24.10.2020 01:00:00.000 GMT+0100,1.18572,1.18572,1.18572,1.18572,0
25.10.2020 01:00:00.000 GMT+0100,1.18546,1.18605,1.18392,1.18479,21793.4902
26.10.2020 00:00:00.000 GMT-0000,1.18479,1.18504,1.18032,1.18091,845757.0625
27.10.2020 00:00:00.000 GMT-0000,1.18092,1.18387,1.17695,1.17815,813994.6875
28.10.2020 00:00:00.000 GMT-0000,1.17818,1.17879,1.17178,1.17482,1028901.3125
29.10.2020 00:00:00.000 GMT-0000,1.17482,1.17587,1.16501,1.16783,779715.1875
30.10.2020 00:00:00.000 GMT-0000,1.16782,1.17042,1.16400,1.16431,900537.75
31.10.2020 00:00:00.000 GMT-0000,1.16431,1.16431,1.16431,1.16431,0
01.11.2020 00:00:00.000 GMT-0000,1.16498,1.16503,1.16386,1.16416,10966.4951
02.11.2020 00:00:00.000 GMT-0000,1.16415,1.16557,1.16221,1.16404,827466.125
03.11.2020 00:00:00.000 GMT-0000,1.16405,1.17639,1.16372,1.17616,660774.125
04.11.2020 00:00:00.000 GMT-0000,1.17617,1.17704,1.16026,1.17321,1295234.25
05.11.2020 00:00:00.000 GMT-0000,1.17321,1.18596,1.17107,1.18167,954521.8125
06.11.2020 00:00:00.000 GMT-0000,1.18169,1.18908,1.17952,1.18700,499431.875
07.11.2020 00:00:00.000 GMT-0000,1.18700,1.18700,1.18700,1.18700,0
08.11.2020 00:00:00.000 GMT-0000,1.18898,1.18950,1.18833,1.18924,11420.79
09.11.2020 00:00:00.000 GMT-0000,1.18924,1.19199,1.17952,1.18240,695880.0625
10.11.2020 00:00:00.000 GMT-0000,1.18240,1.18432,1.17799,1.18184,627024.0625
11.11.2020 00:00:00.000 GMT-0000,1.18183,1.18327,1.17454,1.17792,422665.5938
12.11.2020 00:00:00.000 GMT-0000,1.17792,1.18231,1.17585,1.18038,454094.1563
