Etc/UTC,Open,High,Low,Close,Volume
2024-07-01T00:00:00+00:00,1.0735,1.07497,1.07348,1.07456,11118800000
2024-07-01T01:00:00+00:00,1.07455,1.07615,1.07429,1.07482,16112320000
2024-07-01T02:00:00+00:00,1.07484,1.07551,1.07469,1.07549,5451480000
2024-07-01T03:00:00+00:00,1.07549,1.07565,1.07515,1.07528,2786090000
2024-07-01T04:00:00+00:00,1.07527,1.07586,1.07524,1.07548,4875390000
2024-07-01T05:00:00+00:00,1.07546,1.07621,1.07541,1.07556,5990880000
2024-07-01T06:00:00+00:00,1.07555,1.07763,1.07553,1.07697,16848070000
2024-07-01T07:00:00+00:00,1.07699,1.07725,1.07513,1.07545,18392720000
2024-07-01T08:00:00+00:00,1.07544,1.0772,1.07495,1.07682,12275260000
2024-07-01T09:00:00+00:00,1.07681,1.07685,1.0756,1.07571,10007430000
2024-07-01T10:00:00+00:00,1.0757,1.0757,1.07473,1.07485,7390150000
2024-07-01T11:00:00+00:00,1.07487,1.07523,1.07426,1.07489,6544170000
2024-07-01T12:00:00+00:00,1.07487,1.075,1.07398,1.07481,10066180000
2024-07-01T13:00:00+00:00,1.07481,1.07592,1.07481,1.07547,13733570000
2024-07-01T14:00:00+00:00,1.07552,1.07697,1.07284,1.07301,28367480000
2024-07-01T15:00:00+00:00,1.07302,1.07305,1.07197,1.07269,12940200000
2024-07-01T16:00:00+00:00,1.07272,1.07332,1.07242,1.07315,8374730000
2024-07-01T17:00:00+00:00,1.07315,1.07333,1.07281,1.07293,4375200000
2024-07-01T18:00:00+00:00,1.07292,1.07301,1.07242,1.07295,4933460000
2024-07-01T19:00:00+00:00,1.07295,1.07392,1.07293,1.07384,4784020000
2024-07-01T20:00:00+00:00,1.07384,1.07426,1.07382,1.07402,4827320000
2024-07-01T21:00:00+00:00,1.07393,1.07399,1.07347,1.07379,2005490000
2024-07-01T22:00:00+00:00,1.07382,1.07411,1.07371,1.07372,1395420000
2024-07-01T23:00:00+00:00,1.07371,1.07377,1.07357,1.07365,3125830000
2024-07-02T00:00:00+00:00,1.07364,1.07385,1.07331,1.07346,6514460000
2024-07-02T01:00:00+00:00,1.07347,1.07363,1.07318,1.07344,5064830000
2024-07-02T02:00:00+00:00,1.07345,1.07358,1.07319,1.07351,4149830000
2024-07-02T03:00:00+00:00,1.0735,1.07355,1.07308,1.07322,3835230000
2024-07-02T04:00:00+00:00,1.07323,1.07332,1.07282,1.07294,5181230000
2024-07-02T05:00:00+00:00,1.07295,1.07329,1.07267,1.07318,6108040000
2024-07-02T06:00:00+00:00,1.07319,1.07357,1.07249,1.0725,8440890000
2024-07-02T07:00:00+00:00,1.07249,1.07281,1.0712,1.07181,13235800000
2024-07-02T08:00:00+00:00,1.07181,1.0724,1.07142,1.07204,11368880000
2024-07-02T09:00:00+00:00,1.07203,1.07225,1.07105,1.07108,9111130000
2024-07-02T10:00:00+00:00,1.07109,1.07188,1.071,1.07171,7363370000
2024-07-02T11:00:00+00:00,1.07172,1.07246,1.07149,1.07239,4781150000
2024-07-02T12:00:00+00:00,1.07239,1.07335,1.07239,1.07317,10871440000
2024-07-02T13:00:00+00:00,1.07317,1.07469,1.073,1.07419,20051530000
2024-07-02T14:00:00+00:00,1.07417,1.0745,1.0724,1.07432,30852970000
2024-07-02T15:00:00+00:00,1.07432,1.07446,1.07332,1.07363,11181080000
2024-07-02T16:00:00+00:00,1.07362,1.07365,1.07306,1.07319,6108780000
2024-07-02T17:00:00+00:00,1.07319,1.07406,1.07316,1.07384,3772460000
2024-07-02T18:00:00+00:00,1.07383,1.07428,1.07381,1.07421,3670480000
2024-07-02T19:00:00+00:00,1.0742,1.07465,1.07416,1.07462,3565280000
2024-07-02T20:00:00+00:00,1.0746,1.07471,1.07446,1.07446,3343690000
2024-07-02T21:00:00+00:00,1.07443,1.07451,1.07408,1.07447,1539620000
