Local time,Open,High,Low,Close,Volume
30.04.2012 01:00:00.000 GMT+0100,130.815,130.818,129.367,129.723,157554.5156
01.05.2012 01:00:00.000 GMT+0100,129.726,130.160,129.078,130.121,129082.0391
02.05.2012 01:00:00.000 GMT+0100,130.117,130.766,129.488,129.756,166134.8906
03.05.2012 01:00:00.000 GMT+0100,129.757,130.452,129.633,129.881,131946.3438
04.05.2012 01:00:00.000 GMT+0100,129.881,129.982,128.851,128.961,134484.375
05.05.2012 01:00:00.000 GMT+0100,128.961,128.961,128.961,128.961,0
06.05.2012 01:00:00.000 GMT+0100,128.780,128.957,128.380,128.648,16891.4199
07.05.2012 01:00:00.000 GMT+0100,128.650,129.482,128.510,129.393,148004.9219
08.05.2012 01:00:00.000 GMT+0100,129.395,129.574,128.627,128.959,179242.9688
09.05.2012 01:00:00.000 GMT+0100,128.957,129.101,127.813,128.623,201449.1875
10.05.2012 01:00:00.000 GMT+0100,128.623,129.395,128.123,128.870,195116.2188
11.05.2012 01:00:00.000 GMT+0100,128.869,129.032,128.265,128.409,179274.0938
12.05.2012 01:00:00.000 GMT+0100,128.409,128.409,128.409,128.409,0
13.05.2012 01:00:00.000 GMT+0100,128.409,128.659,128.334,128.620,13638.2002
14.05.2012 01:00:00.000 GMT+0100,128.618,128.864,128.037,128.567,193746.625
15.05.2012 01:00:00.000 GMT+0100,128.567,128.765,128.047,128.361,209796.1094
16.05.2012 01:00:00.000 GMT+0100,128.361,128.503,127.670,127.946,235213.9063
17.05.2012 01:00:00.000 GMT+0100,127.946,127.979,125.117,125.347,233885.0625
18.05.2012 01:00:00.000 GMT+0100,125.347,125.651,124.643,124.978,225554.1406
19.05.2012 01:00:00.000 GMT+0100,124.978,124.978,124.978,124.978,0
20.05.2012 01:00:00.000 GMT+0100,124.993,125.267,124.922,125.185,19028.7793
21.05.2012 01:00:00.000 GMT+0100,125.187,125.822,125.078,125.697,209186.8281
22.05.2012 01:00:00.000 GMT+0100,125.697,126.457,125.432,126.066,234374.8281
23.05.2012 01:00:00.000 GMT+0100,126.065,126.134,124.313,124.572,260973.8125
24.05.2012 01:00:00.000 GMT+0100,124.572,124.963,124.144,124.732,229880.5469
25.05.2012 01:00:00.000 GMT+0100,124.732,124.968,124.431,124.768,199058.6406
26.05.2012 01:00:00.000 GMT+0100,124.768,124.768,124.768,124.768,0
27.05.2012 01:00:00.000 GMT+0100,124.686,125.086,124.576,124.809,19709.9707
28.05.2012 01:00:00.000 GMT+0100,124.809,124.881,124.390,124.659,147407.4844
29.05.2012 01:00:00.000 GMT+0100,124.659,124.978,123.900,124.306,221050.3438
30.05.2012 01:00:00.000 GMT+0100,124.306,124.386,122.251,122.255,270384.8438
31.05.2012 01:00:00.000 GMT+0100,122.252,122.469,120.148,120.933,241046.5781
01.06.2012 01:00:00.000 GMT+0100,120.932,121.045,118.783,119.778,247185.9375
02.06.2012 01:00:00.000 GMT+0100,119.778,119.778,119.778,119.778,0
03.06.2012 01:00:00.000 GMT+0100,119.833,120.191,119.802,119.819,21746.8906
04.06.2012 01:00:00.000 GMT+0100,119.819,120.669,119.751,120.625,218509.7969
05.06.2012 01:00:00.000 GMT+0100,120.625,121.332,119.752,121.119,241272.7344
06.06.2012 01:00:00.000 GMT+0100,121.120,122.975,120.883,122.746,266934.1563
07.06.2012 01:00:00.000 GMT+0100,122.746,124.340,122.315,123.710,279308.3438
08.06.2012 01:00:00.000 GMT+0100,123.710,123.737,121.908,122.868,249382.5313
09.06.2012 01:00:00.000 GMT+0100,122.868,122.868,122.868,122.868,0
10.06.2012 01:00:00.000 GMT+0100,123.264,123.800,123.196,123.595,33501.3789
11.06.2012 01:00:00.000 GMT+0100,123.597,124.066,122.560,122.793,255584.5938
12.06.2012 01:00:00.000 GMT+0100,122.792,124.085,122.553,123.773,275190.8438
13.06.2012 01:00:00.000 GMT+0100,123.779,124.274,123.076,123.191,266766.0313
14.06.2012 01:00:00.000 GMT+0100,123.191,123.534,122.765,123.520,243855.4063
15.06.2012 01:00:00.000 GMT+0100,123.517,123.788,122.128,123.650,249144.875
16.06.2012 01:00:00.000 GMT+0100,123.650,123.650,123.650,123.650,0
17.06.2012 01:00:00.000 GMT+0100,124.118,124.427,123.556,124.244,28681.25
18.06.2012 01:00:00.000 GMT+0100,124.242,124.636,123.354,123.942,235401.1406
19.06.2012 01:00:00.000 GMT+0100,123.942,124.516,123.243,124.259,225214.9375
20.06.2012 01:00:00.000 GMT+0100,124.267,125.373,123.491,124.754,236055.6875
21.06.2012 01:00:00.000 GMT+0100,124.754,125.828,124.613,124.856,261412.5625
22.06.2012 01:00:00.000 GMT+0100,124.856,125.750,124.852,125.328,234378.875
23.06.2012 01:00:00.000 GMT+0100,125.328,125.328,125.328,125.328,0
24.06.2012 01:00:00.000 GMT+0100,125.189,125.653,124.937,125.539,14536.3896
25.06.2012 01:00:00.000 GMT+0100,125.539,125.540,123.596,123.973,206176.5313
26.06.2012 01:00:00.000 GMT+0100,123.977,124.438,123.529,124.226,210181.7969
27.06.2012 01:00:00.000 GMT+0100,124.226,124.549,123.863,124.039,208890.5938
28.06.2012 01:00:00.000 GMT+0100,124.039,124.086,122.939,123.053,240234.4219
29.06.2012 01:00:00.000 GMT+0100,123.056,125.470,122.868,125.358,281188.6563
30.06.2012 01:00:00.000 GMT+0100,125.358,125.358,125.358,125.358,0
01.07.2012 01:00:00.000 GMT+0100,125.281,125.482,125.116,125.173,20184.6602
02.07.2012 01:00:00.000 GMT+0100,125.177,125.365,124.307,124.654,239252.6719
03.07.2012 01:00:00.000 GMT+0100,124.654,125.448,124.614,125.272,189433.0938
04.07.2012 01:00:00.000 GMT+0100,125.272,125.282,124.251,124.576,144993.3906
05.07.2012 01:00:00.000 GMT+0100,124.575,124.860,123.850,124.020,230427.0469
06.07.2012 01:00:00.000 GMT+0100,124.020,124.264,123.055,123.409,203558.125
07.07.2012 01:00:00.000 GMT+0100,123.409,123.409,123.409,123.409,0
08.07.2012 01:00:00.000 GMT+0100,123.308,123.447,122.972,123.051,21223.2207
09.07.2012 01:00:00.000 GMT+0100,123.051,123.682,123.018,123.541,173578.1875
10.07.2012 01:00:00.000 GMT+0100,123.539,123.570,122.775,123.119,190316.0625
11.07.2012 01:00:00.000 GMT+0100,123.118,123.983,122.948,123.449,194155.1719
12.07.2012 01:00:00.000 GMT+0100,123.448,124.026,122.038,122.337,192888.9063
13.07.2012 01:00:00.000 GMT+0100,122.337,123.516,122.171,123.448,168924.1406
14.07.2012 01:00:00.000 GMT+0100,123.448,123.448,123.448,123.448,0
15.07.2012 01:00:00.000 GMT+0100,123.419,123.518,123.255,123.360,13866.6904
16.07.2012 01:00:00.000 GMT+0100,123.358,123.375,122.513,123.177,158875.125
17.07.2012 01:00:00.000 GMT+0100,123.178,123.909,122.963,123.867,192049.9375
18.07.2012 01:00:00.000 GMT+0100,123.865,123.890,123.100,123.281,181324.5938
19.07.2012 01:00:00.000 GMT+0100,123.281,123.794,122.920,123.752,193471.6875
20.07.2012 01:00:00.000 GMT+0100,123.749,123.757,122.480,122.600,169021.7813
21.07.2012 01:00:00.000 GMT+0100,122.600,122.600,122.600,122.600,0
22.07.2012 01:00:00.000 GMT+0100,122.432,122.562,122.278,122.479,18768.5605
23.07.2012 01:00:00.000 GMT+0100,122.478,122.483,121.092,121.471,208319.0938
24.07.2012 01:00:00.000 GMT+0100,121.469,121.699,120.960,121.067,186996.9219
25.07.2012 01:00:00.000 GMT+0100,121.066,121.696,120.891,120.946,210334.6094
26.07.2012 01:00:00.000 GMT+0100,120.947,122.992,120.825,122.822,224920.3906
27.07.2012 01:00:00.000 GMT+0100,122.818,123.769,122.458,123.531,190163.5156
28.07.2012 01:00:00.000 GMT+0100,123.531,123.531,123.531,123.531,0
29.07.2012 01:00:00.000 GMT+0100,123.472,123.609,123.372,123.442,7172.8198
30.07.2012 01:00:00.000 GMT+0100,123.448,123.529,122.496,122.744,155618.2656
31.07.2012 01:00:00.000 GMT+0100,122.749,123.041,122.226,122.395,155426.5469
01.08.2012 01:00:00.000 GMT+0100,122.395,122.674,121.774,121.821,162435.0625
02.08.2012 01:00:00.000 GMT+0100,121.821,122.604,121.150,121.343,184709.4063
03.08.2012 01:00:00.000 GMT+0100,121.343,123.047,121.081,122.758,194087.2344
04.08.2012 01:00:00.000 GMT+0100,122.758,122.758,122.758,122.758,0
05.08.2012 01:00:00.000 GMT+0100,122.781,123.174,122.398,123.044,14100.3604
06.08.2012 01:00:00.000 GMT+0100,123.044,123.048,121.737,121.907,153722.5469
07.08.2012 01:00:00.000 GMT+0100,121.907,123.255,121.781,122.712,157918.7031
08.08.2012 01:00:00.000 GMT+0100,122.711,122.969,121.906,122.848,158723.1563
09.08.2012 01:00:00.000 GMT+0100,122.849,123.198,122.401,122.823,169110.6875
10.08.2012 01:00:00.000 GMT+0100,122.823,122.920,121.790,122.788,139663.2969
11.08.2012 01:00:00.000 GMT+0100,122.788,122.788,122.788,122.788,0
12.08.2012 01:00:00.000 GMT+0100,122.749,122.793,122.456,122.587,8659.3604
13.08.2012 01:00:00.000 GMT+0100,122.587,123.087,122.398,122.797,133713.625
14.08.2012 01:00:00.000 GMT+0100,122.797,123.920,122.770,123.559,160162.75
15.08.2012 01:00:00.000 GMT+0100,123.559,124.033,123.301,123.865,154740.5938
16.08.2012 01:00:00.000 GMT+0100,123.865,124.929,123.842,124.717,168975.9844
17.08.2012 01:00:00.000 GMT+0100,124.717,124.962,124.517,124.871,144423.4219
18.08.2012 01:00:00.000 GMT+0100,124.871,124.871,124.871,124.871,0
19.08.2012 01:00:00.000 GMT+0100,124.776,124.971,124.539,124.753,11440.8955
20.08.2012 01:00:00.000 GMT+0100,124.751,125.008,124.585,124.648,133643.3906
21.08.2012 01:00:00.000 GMT+0100,124.643,125.508,124.596,125.027,170213.0313
22.08.2012 01:00:00.000 GMT+0100,125.025,125.510,124.081,124.743,175238.4063
23.08.2012 01:00:00.000 GMT+0100,124.743,124.987,124.319,124.613,185505.375
24.08.2012 01:00:00.000 GMT+0100,124.613,124.811,124.122,124.319,160770.9219
25.08.2012 01:00:00.000 GMT+0100,124.319,124.319,124.319,124.319,0
26.08.2012 01:00:00.000 GMT+0100,124.321,124.564,124.278,124.417,10874.71
27.08.2012 01:00:00.000 GMT+0100,124.417,124.635,124.204,124.360,119979.7891
28.08.2012 01:00:00.000 GMT+0100,124.360,124.387,123.693,124.338,166697.8438
29.08.2012 01:00:00.000 GMT+0100,124.339,124.764,124.064,124.592,148811.1875
30.08.2012 01:00:00.000 GMT+0100,124.593,124.807,123.918,123.986,150774.7656
31.08.2012 01:00:00.000 GMT+0100,123.986,124.601,123.745,124.343,182244.9219
01.09.2012 01:00:00.000 GMT+0100,124.343,124.343,124.343,124.343,0
02.09.2012 01:00:00.000 GMT+0100,124.250,124.479,124.194,124.226,11421.1504
03.09.2012 01:00:00.000 GMT+0100,124.226,124.555,123.954,124.394,105210.7891
04.09.2012 01:00:00.000 GMT+0100,124.395,124.793,124.296,124.495,160339.9063
05.09.2012 01:00:00.000 GMT+0100,124.492,124.944,124.028,124.710,176629.2344
06.09.2012 01:00:00.000 GMT+0100,124.707,125.880,124.604,125.682,194939.125
07.09.2012 01:00:00.000 GMT+0100,125.682,126.193,125.036,125.361,205979.7656
08.09.2012 01:00:00.000 GMT+0100,125.361,125.361,125.361,125.361,0
09.09.2012 01:00:00.000 GMT+0100,125.308,125.357,125.168,125.221,6360.1201
10.09.2012 01:00:00.000 GMT+0100,125.229,125.388,124.900,125.107,152721.7031
11.09.2012 01:00:00.000 GMT+0100,125.107,125.387,124.688,124.980,181418.1719
12.09.2012 01:00:00.000 GMT+0100,124.979,125.621,124.924,125.338,200454.2031
13.09.2012 01:00:00.000 GMT+0100,125.338,125.438,124.440,125.416,163700.4375
14.09.2012 01:00:00.000 GMT+0100,125.416,127.255,125.286,127.100,181779.4063
15.09.2012 01:00:00.000 GMT+0100,127.100,127.100,127.100,127.100,0
16.09.2012 01:00:00.000 GMT+0100,127.076,127.301,126.959,127.082,11413.8301
17.09.2012 01:00:00.000 GMT+0100,127.082,128.234,126.835,127.763,132280.7344
18.09.2012 01:00:00.000 GMT+0100,127.762,128.099,127.444,127.935,147436.8281
19.09.2012 01:00:00.000 GMT+0100,127.935,128.832,126.947,127.239,187482.7969
20.09.2012 01:00:00.000 GMT+0100,127.241,127.289,126.232,126.861,171090.0469
21.09.2012 01:00:00.000 GMT+0100,126.861,127.623,126.752,126.829,148691.2656
22.09.2012 01:00:00.000 GMT+0100,126.829,126.829,126.829,126.829,0
23.09.2012 01:00:00.000 GMT+0100,126.828,127.005,126.725,126.795,11423.8896
24.09.2012 01:00:00.000 GMT+0100,126.797,126.826,125.965,126.338,116006.4375
25.09.2012 01:00:00.000 GMT+0100,126.340,126.698,125.811,125.874,134216.7188
26.09.2012 01:00:00.000 GMT+0100,125.874,126.097,125.342,125.651,126672.7188
27.09.2012 01:00:00.000 GMT+0100,125.651,126.102,125.590,125.974,117705.8906
28.09.2012 01:00:00.000 GMT+0100,125.972,126.208,125.436,126.050,139933.1094
29.09.2012 01:00:00.000 GMT+0100,126.050,126.050,126.050,126.050,0
30.09.2012 01:00:00.000 GMT+0100,125.950,126.088,125.631,125.678,12700.4404
01.10.2012 01:00:00.000 GMT+0100,125.679,126.308,125.492,125.893,124585.1328
02.10.2012 01:00:00.000 GMT+0100,125.891,126.452,125.807,126.154,118552.1094
03.10.2012 01:00:00.000 GMT+0100,126.152,126.462,125.794,126.290,126940.9766
04.10.2012 01:00:00.000 GMT+0100,126.290,127.137,126.192,127.061,128467.7266
05.10.2012 01:00:00.000 GMT+0100,127.061,127.808,126.733,126.899,121891.5391
06.10.2012 01:00:00.000 GMT+0100,126.899,126.899,126.899,126.899,0
07.10.2012 01:00:00.000 GMT+0100,126.860,127.056,126.783,127.000,12069.3203
08.10.2012 01:00:00.000 GMT+0100,126.999,127.001,125.134,125.507,104609.75
09.10.2012 01:00:00.000 GMT+0100,125.511,125.836,124.941,125.130,129102.4766
10.10.2012 01:00:00.000 GMT+0100,125.132,125.617,124.875,124.962,120257.6797
11.10.2012 01:00:00.000 GMT+0100,124.966,126.126,124.740,125.802,118296.8672
12.10.2012 01:00:00.000 GMT+0100,125.806,126.179,125.514,126.040,107790.5703
13.10.2012 01:00:00.000 GMT+0100,126.040,126.040,126.040,126.040,0
14.10.2012 01:00:00.000 GMT+0100,126.033,126.143,125.958,125.994,9922.7402
15.10.2012 01:00:00.000 GMT+0100,125.997,126.751,125.535,126.690,122442.2969
16.10.2012 01:00:00.000 GMT+0100,126.690,127.322,126.530,127.164,130910.8438
17.10.2012 01:00:00.000 GMT+0100,127.164,127.712,126.717,127.559,123122.2969
18.10.2012 01:00:00.000 GMT+0100,127.560,128.222,127.115,127.342,132088.7344
19.10.2012 01:00:00.000 GMT+0100,127.344,127.520,126.774,126.998,109438.8828
20.10.2012 01:00:00.000 GMT+0100,126.998,126.998,126.998,126.998,0
21.10.2012 01:00:00.000 GMT+0100,126.863,126.973,126.701,126.793,12523.3896
22.10.2012 01:00:00.000 GMT+0100,126.800,128.182,126.734,128.139,116978.5625
23.10.2012 01:00:00.000 GMT+0100,128.139,128.139,126.947,127.295,128591.2813
24.10.2012 01:00:00.000 GMT+0100,127.294,128.092,127.112,127.995,132536.6719
25.10.2012 01:00:00.000 GMT+0100,127.997,129.646,127.950,129.290,141639.5938
26.10.2012 01:00:00.000 GMT+0100,129.290,129.424,127.985,128.151,134736.2969
27.10.2012 01:00:00.000 GMT+0100,128.151,128.151,128.151,128.151,0
28.10.2012 01:00:00.000 GMT+0100,128.230,128.361,128.038,128.115,12566.9199
29.10.2012 00:00:00.000 GMT-0000,128.122,128.297,127.557,127.866,85185.8516
30.10.2012 00:00:00.000 GMT-0000,127.866,128.466,127.030,128.059,105868.25
31.10.2012 00:00:00.000 GMT-0000,128.055,128.907,127.842,128.827,118373.0781
01.11.2012 00:00:00.000 GMT-0000,128.827,129.442,128.780,129.409,111343.6563
02.11.2012 00:00:00.000 GMT-0000,129.408,129.605,128.688,129.040,111123.1719
03.11.2012 00:00:00.000 GMT-0000,129.040,129.040,129.040,129.040,0
04.11.2012 00:00:00.000 GMT-0000,128.820,129.002,128.505,128.958,16727.1504
05.11.2012 00:00:00.000 GMT-0000,128.957,129.070,127.996,128.132,98320.6719
06.11.2012 00:00:00.000 GMT-0000,128.132,128.723,127.850,128.369,105510.5313
07.11.2012 00:00:00.000 GMT-0000,128.369,128.837,127.402,127.777,160465.625
