Local time,Open,High,Low,Close,Volume
30.09.2020 01:00:00.000 GMT+0100,1.28643,1.29424,1.28052,1.29157,330165.9375
01.10.2020 01:00:00.000 GMT+0100,1.29159,1.29782,1.28191,1.28852,324701.8438
02.10.2020 01:00:00.000 GMT+0100,1.28853,1.29537,1.28365,1.29274,361666.0625
03.10.2020 01:00:00.000 GMT+0100,1.29274,1.29274,1.29274,1.29274,0
04.10.2020 01:00:00.000 GMT+0100,1.29337,1.29353,1.29128,1.29286,12462.5195
05.10.2020 01:00:00.000 GMT+0100,1.29287,1.29934,1.28994,1.29924,219244.4375
06.10.2020 01:00:00.000 GMT+0100,1.29924,1.30070,1.28662,1.28832,308503.0625
07.10.2020 01:00:00.000 GMT+0100,1.28832,1.29293,1.28450,1.29157,275557.5625
08.10.2020 01:00:00.000 GMT+0100,1.29157,1.29700,1.28908,1.29390,224685.4531
09.10.2020 01:00:00.000 GMT+0100,1.29388,1.30486,1.29208,1.30433,214083.9688
10.10.2020 01:00:00.000 GMT+0100,1.30433,1.30433,1.30433,1.30433,0
11.10.2020 01:00:00.000 GMT+0100,1.30234,1.30372,1.30230,1.30301,7198.75
12.10.2020 01:00:00.000 GMT+0100,1.30298,1.30825,1.30051,1.30641,183696.7188
13.10.2020 01:00:00.000 GMT+0100,1.30641,1.30676,1.29215,1.29342,244168.2813
14.10.2020 01:00:00.000 GMT+0100,1.29342,1.30641,1.28623,1.30113,266925.25
15.10.2020 01:00:00.000 GMT+0100,1.30116,1.30297,1.28901,1.29031,256018.2344
16.10.2020 01:00:00.000 GMT+0100,1.29031,1.29619,1.28618,1.29082,324666
17.10.2020 01:00:00.000 GMT+0100,1.29082,1.29082,1.29082,1.29082,0
18.10.2020 01:00:00.000 GMT+0100,1.28924,1.29282,1.28920,1.29254,8148.1299
19.10.2020 01:00:00.000 GMT+0100,1.29255,1.30240,1.29219,1.29471,288699.0938
20.10.2020 01:00:00.000 GMT+0100,1.29472,1.29796,1.29110,1.29556,227495.4531
21.10.2020 01:00:00.000 GMT+0100,1.29558,1.31766,1.29536,1.31288,418784.5313
22.10.2020 01:00:00.000 GMT+0100,1.31287,1.31497,1.30702,1.30774,707706.5
23.10.2020 01:00:00.000 GMT+0100,1.30776,1.31223,1.30187,1.30391,533649.9375
24.10.2020 01:00:00.000 GMT+0100,1.30391,1.30391,1.30391,1.30391,0
25.10.2020 01:00:00.000 GMT+0100,1.30563,1.30578,1.30241,1.30527,29713.8809
