Etc/UTC,Open,High,Low,Close,Volume
2024-07-01T00:00:00+00:00,1.26482,1.26559,1.26462,1.26524,4392470000
2024-07-01T01:00:00+00:00,1.26524,1.26656,1.26498,1.26585,3274990000
2024-07-01T02:00:00+00:00,1.26584,1.26614,1.26561,1.26608,2938850000
2024-07-01T03:00:00+00:00,1.26609,1.26611,1.26543,1.26557,1611570000
2024-07-01T04:00:00+00:00,1.26557,1.26593,1.26544,1.26569,1580310000
2024-07-01T05:00:00+00:00,1.26567,1.26666,1.26562,1.26654,2273430000
2024-07-01T06:00:00+00:00,1.26652,1.26892,1.26652,1.26841,8223040000
2024-07-01T07:00:00+00:00,1.26842,1.26863,1.26618,1.26633,5416770000
2024-07-01T08:00:00+00:00,1.26634,1.26798,1.26611,1.26737,3803950000
2024-07-01T09:00:00+00:00,1.26737,1.26772,1.26669,1.26713,2523760000
2024-07-01T10:00:00+00:00,1.2671,1.26733,1.26649,1.26718,2918320000
2024-07-01T11:00:00+00:00,1.26719,1.26799,1.26678,1.26768,2534240000
2024-07-01T12:00:00+00:00,1.26764,1.26769,1.26576,1.26651,4435820000
2024-07-01T13:00:00+00:00,1.26654,1.26838,1.26604,1.26815,4882660000
2024-07-01T14:00:00+00:00,1.26808,1.27101,1.26416,1.26459,12273460000
2024-07-01T15:00:00+00:00,1.26459,1.26471,1.26362,1.26463,8431460000
2024-07-01T16:00:00+00:00,1.26464,1.26578,1.2643,1.26479,5969980000
2024-07-01T17:00:00+00:00,1.2648,1.26491,1.26397,1.26399,2992840000
2024-07-01T18:00:00+00:00,1.26399,1.26414,1.26328,1.26407,2547660000
2024-07-01T19:00:00+00:00,1.26408,1.26462,1.26408,1.26434,3010060000
2024-07-01T20:00:00+00:00,1.26433,1.26516,1.26423,1.26492,1633980000
2024-07-01T21:00:00+00:00,1.26491,1.26536,1.2641,1.26472,2381440000
2024-07-01T22:00:00+00:00,1.26477,1.26506,1.26457,1.26459,729620000
2024-07-01T23:00:00+00:00,1.26459,1.26465,1.26435,1.26449,690750000
2024-07-02T00:00:00+00:00,1.2645,1.26472,1.26386,1.26409,2381400000
2024-07-02T01:00:00+00:00,1.26408,1.26423,1.2635,1.26401,2478660000
2024-07-02T02:00:00+00:00,1.26401,1.2641,1.2635,1.26367,1965690000
2024-07-02T03:00:00+00:00,1.26366,1.26372,1.26318,1.26338,849540000
2024-07-02T04:00:00+00:00,1.26337,1.26356,1.26319,1.26327,580260000
2024-07-02T05:00:00+00:00,1.26325,1.26371,1.26308,1.26369,1494000000
2024-07-02T06:00:00+00:00,1.26369,1.26393,1.26309,1.2632,3715620000
2024-07-02T07:00:00+00:00,1.2632,1.26352,1.26152,1.26247,5584780000
2024-07-02T08:00:00+00:00,1.26246,1.26323,1.26215,1.26286,4342150000
2024-07-02T09:00:00+00:00,1.26284,1.2634,1.26269,1.26327,3307350000
2024-07-02T10:00:00+00:00,1.26325,1.26451,1.26297,1.26419,2745140000
2024-07-02T11:00:00+00:00,1.26418,1.26535,1.26409,1.26534,2220780000
2024-07-02T12:00:00+00:00,1.26535,1.2669,1.26535,1.26641,4917050000
2024-07-02T13:00:00+00:00,1.26641,1.26851,1.26635,1.26782,8665320000
2024-07-02T14:00:00+00:00,1.26794,1.26826,1.26611,1.26757,11923460000
2024-07-02T15:00:00+00:00,1.26757,1.26811,1.2673,1.26751,5236920000
2024-07-02T16:00:00+00:00,1.26751,1.26755,1.26647,1.2668,3042000000
2024-07-02T17:00:00+00:00,1.26682,1.26786,1.26667,1.26771,1706670000
2024-07-02T18:00:00+00:00,1.26771,1.26846,1.26758,1.26838,2377920000
2024-07-02T19:00:00+00:00,1.26834,1.26876,1.26823,1.26874,2017590000
2024-07-02T20:00:00+00:00,1.26873,1.26873,1.26844,1.26845,751500000
2024-07-02T21:00:00+00:00,1.26844,1.26861,1.26765,1.26826,962460000
2024-07-02T22:00:00+00:00,1.2682,1.26913,1.26815,1.26907,942750000
2024-07-02T23:00:00+00:00,1.26908,1.26908,1.26869,1.26873,485550000
2024-07-03T00:00:00+00:00,1.26877,1.2693,1.26873,1.26881,1596570000
2024-07-03T01:00:00+00:00,1.2688,1.26881,1.2681,1.26831,2480880000
2024-07-03T02:00:00+00:00,1.26831,1.26873,1.26829,1.2684,1152090000
2024-07-03T03:00:00+00:00,1.26839,1.26871,1.26838,1.26861,1647750000
2024-07-03T04:00:00+00:00,1.26859,1.26882,1.26857,1.26863,1564140000
2024-07-03T05:00:00+00:00,1.26864,1.26864,1.26781,1.2681,1863180000
2024-07-03T06:00:00+00:00,1.26814,1.26888,1.26789,1.2687,3151980000
2024-07-03T07:00:00+00:00,1.26871,1.26979,1.26861,1.26933,5569500000
2024-07-03T08:00:00+00:00,1.26933,1.27013,1.26881,1.26954,3399460000
2024-07-03T09:00:00+00:00,1.26954,1.26999,1.26915,1.26966,2809320000
2024-07-03T10:00:00+00:00,1.26966,1.27082,1.26942,1.26993,2689410000
2024-07-03T11:00:00+00:00,1.26992,1.27062,1.26961,1.2706,2643150000
2024-07-03T12:00:00+00:00,1.27059,1.27221,1.2702,1.27183,5686250000
2024-07-03T13:00:00+00:00,1.27183,1.27446,1.2718,1.27396,4259350000
2024-07-03T14:00:00+00:00,1.27396,1.27769,1.27393,1.27617,15448270000
2024-07-03T15:00:00+00:00,1.27615,1.27708,1.27564,1.27634,8515410000
2024-07-03T16:00:00+00:00,1.27636,1.27658,1.27508,1.27537,4099350000
2024-07-03T17:00:00+00:00,1.27537,1.27537,1.27344,1.27381,3068620000
2024-07-03T18:00:00+00:00,1.27382,1.27418,1.27334,1.27359,3954930000
2024-07-03T19:00:00+00:00,1.27356,1.27423,1.27354,1.27396,2000670000
2024-07-03T20:00:00+00:00,1.27398,1.27434,1.27393,1.27412,694080000
2024-07-03T21:00:00+00:00,1.27392,1.27501,1.27375,1.27421,3729940000
2024-07-03T22:00:00+00:00,1.27421,1.27464,1.27415,1.27455,484180000
2024-07-03T23:00:00+00:00,1.27454,1.27478,1.2744,1.27471,600300000
2024-07-04T00:00:00+00:00,1.27471,1.2751,1.27451,1.27503,1673160000
2024-07-04T01:00:00+00:00,1.27502,1.27535,1.27464,1.27503,1928130000
2024-07-04T02:00:00+00:00,1.27501,1.27507,1.27449,1.27458,732510000
2024-07-04T03:00:00+00:00,1.27455,1.27465,1.27408,1.27414,2237100000
2024-07-04T04:00:00+00:00,1.27415,1.27441,1.27414,1.27432,2174730000
2024-07-04T05:00:00+00:00,1.27432,1.27482,1.27408,1.27478,2036370000
2024-07-04T06:00:00+00:00,1.27476,1.27494,1.27431,1.27494,2979630000
2024-07-04T07:00:00+00:00,1.27493,1.27533,1.27409,1.27532,3781380000
2024-07-04T08:00:00+00:00,1.27531,1.27624,1.27503,1.27552,2960850000
2024-07-04T09:00:00+00:00,1.27552,1.27567,1.2747,1.27492,2308510000
2024-07-04T10:00:00+00:00,1.27496,1.27634,1.27486,1.27563,2183280000
2024-07-04T11:00:00+00:00,1.27566,1.27593,1.27521,1.27524,1995480000
