Local time,Open,High,Low,Close,Volume
29.04.2012 01:00:00.000 GMT+0100,0.80574,0.80768,0.80541,0.80755,7675.5698
30.04.2012 01:00:00.000 GMT+0100,0.80755,0.81027,0.80439,0.80802,100610.4766
01.05.2012 01:00:00.000 GMT+0100,0.80803,0.80864,0.80125,0.80317,92594.2422
02.05.2012 01:00:00.000 GMT+0100,0.80316,0.80346,0.79320,0.79599,124804.2188
03.05.2012 01:00:00.000 GMT+0100,0.79596,0.79688,0.78846,0.79099,124440.4766
04.05.2012 01:00:00.000 GMT+0100,0.79105,0.79219,0.78686,0.79055,115006.8906
05.05.2012 01:00:00.000 GMT+0100,0.79055,0.79055,0.79055,0.79055,0
06.05.2012 01:00:00.000 GMT+0100,0.78913,0.79085,0.78814,0.79038,9518.29
07.05.2012 01:00:00.000 GMT+0100,0.79038,0.79370,0.78780,0.79086,103059.8828
08.05.2012 01:00:00.000 GMT+0100,0.79088,0.79100,0.78515,0.78515,114714.8906
09.05.2012 01:00:00.000 GMT+0100,0.78516,0.78842,0.78376,0.78549,163698.0156
10.05.2012 01:00:00.000 GMT+0100,0.78549,0.78904,0.78464,0.78614,155658.7969
11.05.2012 01:00:00.000 GMT+0100,0.78614,0.78934,0.78059,0.78252,140766.625
12.05.2012 01:00:00.000 GMT+0100,0.78252,0.78252,0.78252,0.78252,0
13.05.2012 01:00:00.000 GMT+0100,0.78273,0.78332,0.77986,0.78120,9447.4502
14.05.2012 01:00:00.000 GMT+0100,0.78120,0.78237,0.77817,0.77873,135505.9375
15.05.2012 01:00:00.000 GMT+0100,0.77873,0.78030,0.77273,0.77494,157075.2344
16.05.2012 01:00:00.000 GMT+0100,0.77494,0.77546,0.77143,0.77522,178411.9531
17.05.2012 01:00:00.000 GMT+0100,0.77522,0.78027,0.77323,0.77842,162060.7813
18.05.2012 01:00:00.000 GMT+0100,0.77847,0.77944,0.76835,0.77065,169099.7344
19.05.2012 01:00:00.000 GMT+0100,0.77065,0.77065,0.77065,0.77065,0
20.05.2012 01:00:00.000 GMT+0100,0.77164,0.77416,0.77042,0.77380,12564.3604
21.05.2012 01:00:00.000 GMT+0100,0.77380,0.78059,0.77005,0.78053,145625.9219
22.05.2012 01:00:00.000 GMT+0100,0.78053,0.78064,0.76832,0.76883,166295.9844
23.05.2012 01:00:00.000 GMT+0100,0.76883,0.77083,0.76348,0.76852,192274.3281
24.05.2012 01:00:00.000 GMT+0100,0.76852,0.77466,0.76787,0.77387,189669.0625
25.05.2012 01:00:00.000 GMT+0100,0.77386,0.77879,0.77221,0.77531,134201.7344
26.05.2012 01:00:00.000 GMT+0100,0.77531,0.77531,0.77531,0.77531,0
27.05.2012 01:00:00.000 GMT+0100,0.77652,0.78026,0.77651,0.77826,12857.2998
28.05.2012 01:00:00.000 GMT+0100,0.77825,0.78215,0.77774,0.77823,97099.3828
29.05.2012 01:00:00.000 GMT+0100,0.77823,0.78110,0.77726,0.77922,163670.7344
30.05.2012 01:00:00.000 GMT+0100,0.77923,0.78006,0.77399,0.77421,184222.6406
31.05.2012 01:00:00.000 GMT+0100,0.77421,0.78082,0.77323,0.77816,193854.9219
01.06.2012 01:00:00.000 GMT+0100,0.77816,0.78646,0.77536,0.78407,201593.1094
02.06.2012 01:00:00.000 GMT+0100,0.78407,0.78407,0.78407,0.78407,0
03.06.2012 01:00:00.000 GMT+0100,0.78367,0.78462,0.78119,0.78408,13622.2803
04.06.2012 01:00:00.000 GMT+0100,0.78403,0.78937,0.78332,0.78763,154578.7344
05.06.2012 01:00:00.000 GMT+0100,0.78763,0.78845,0.78155,0.78660,174374.4688
06.06.2012 01:00:00.000 GMT+0100,0.78659,0.79229,0.78614,0.79209,187018.0625
07.06.2012 01:00:00.000 GMT+0100,0.79209,0.79422,0.78743,0.78902,178638.4375
08.06.2012 01:00:00.000 GMT+0100,0.78905,0.79283,0.78602,0.78978,176111.625
09.06.2012 01:00:00.000 GMT+0100,0.78978,0.78978,0.78978,0.78978,0
10.06.2012 01:00:00.000 GMT+0100,0.79181,0.79578,0.79084,0.79309,21693.6895
11.06.2012 01:00:00.000 GMT+0100,0.79300,0.79555,0.79131,0.79227,162307.3906
12.06.2012 01:00:00.000 GMT+0100,0.79227,0.79860,0.79206,0.79760,174607.625
13.06.2012 01:00:00.000 GMT+0100,0.79750,0.80072,0.79491,0.79880,157062.1875
14.06.2012 01:00:00.000 GMT+0100,0.79880,0.80161,0.79682,0.80090,148200.9844
15.06.2012 01:00:00.000 GMT+0100,0.80090,0.80838,0.79893,0.80390,123034.3203
16.06.2012 01:00:00.000 GMT+0100,0.80390,0.80390,0.80390,0.80390,0
17.06.2012 01:00:00.000 GMT+0100,0.80561,0.80912,0.80409,0.80799,13243.7998
18.06.2012 01:00:00.000 GMT+0100,0.80799,0.81321,0.80640,0.80951,166454.0938
19.06.2012 01:00:00.000 GMT+0100,0.80951,0.81390,0.80906,0.80966,157725.5
20.06.2012 01:00:00.000 GMT+0100,0.80965,0.81697,0.80853,0.81596,159793.1406
21.06.2012 01:00:00.000 GMT+0100,0.81604,0.81610,0.80813,0.80976,175535.9375
22.06.2012 01:00:00.000 GMT+0100,0.80982,0.81201,0.80731,0.80869,141309.0469
23.06.2012 01:00:00.000 GMT+0100,0.80869,0.80869,0.80869,0.80869,0
24.06.2012 01:00:00.000 GMT+0100,0.80925,0.81124,0.80800,0.80839,8170.3901
