Local time,Open,High,Low,Close,Volume
30.04.2012 01:00:00.000 GMT+0100,0.74674,0.74688,0.74086,0.74236,122029.6797
01.05.2012 01:00:00.000 GMT+0100,0.74238,0.74270,0.73491,0.73956,97694.7188
02.05.2012 01:00:00.000 GMT+0100,0.73956,0.74388,0.73392,0.73714,142737.5625
03.05.2012 01:00:00.000 GMT+0100,0.73714,0.73816,0.72947,0.73131,131063.7969
04.05.2012 01:00:00.000 GMT+0100,0.73138,0.73242,0.72471,0.72700,122033.3984
05.05.2012 01:00:00.000 GMT+0100,0.72700,0.72700,0.72700,0.72700,0
06.05.2012 01:00:00.000 GMT+0100,0.73099,0.73397,0.73021,0.73372,18454.4707
07.05.2012 01:00:00.000 GMT+0100,0.73372,0.73391,0.73048,0.73303,122441.5781
08.05.2012 01:00:00.000 GMT+0100,0.73304,0.73315,0.72587,0.72604,119254.2422
09.05.2012 01:00:00.000 GMT+0100,0.72604,0.72885,0.72579,0.72789,179031.1563
10.05.2012 01:00:00.000 GMT+0100,0.72789,0.73195,0.72672,0.72787,166254.0781
11.05.2012 01:00:00.000 GMT+0100,0.72787,0.73144,0.72580,0.72600,157433.0156
12.05.2012 01:00:00.000 GMT+0100,0.72600,0.72600,0.72600,0.72600,0
13.05.2012 01:00:00.000 GMT+0100,0.72930,0.72990,0.72531,0.72724,10531.2402
14.05.2012 01:00:00.000 GMT+0100,0.72724,0.72917,0.72440,0.72738,162772.1094
15.05.2012 01:00:00.000 GMT+0100,0.72738,0.72865,0.72409,0.72557,181280.7031
16.05.2012 01:00:00.000 GMT+0100,0.72557,0.72559,0.72082,0.72269,208715.9219
17.05.2012 01:00:00.000 GMT+0100,0.72266,0.72467,0.72116,0.72276,193598.8438
18.05.2012 01:00:00.000 GMT+0100,0.72275,0.72304,0.70530,0.70790,200784.2969
19.05.2012 01:00:00.000 GMT+0100,0.70790,0.70790,0.70790,0.70790,0
20.05.2012 01:00:00.000 GMT+0100,0.71090,0.71273,0.70889,0.71263,9525.1201
21.05.2012 01:00:00.000 GMT+0100,0.71258,0.71908,0.71040,0.71900,184998.1406
22.05.2012 01:00:00.000 GMT+0100,0.71898,0.72052,0.71315,0.71343,191544.7969
23.05.2012 01:00:00.000 GMT+0100,0.71343,0.71772,0.70941,0.71603,233962.4531
