Local time,Open,High,Low,Close,Volume
30.04.2012 01:00:00.000 GMT+0100,66.151,66.155,65.083,65.384,73724.4297
01.05.2012 01:00:00.000 GMT+0100,65.386,65.458,64.755,65.351,71322.4219
02.05.2012 01:00:00.000 GMT+0100,65.351,65.606,64.407,64.643,95711.6719
03.05.2012 01:00:00.000 GMT+0100,64.645,64.754,64.053,64.231,86876.6016
04.05.2012 01:00:00.000 GMT+0100,64.237,64.284,63.371,63.520,90125.0391
05.05.2012 01:00:00.000 GMT+0100,63.520,63.520,63.520,63.520,0
06.05.2012 01:00:00.000 GMT+0100,63.331,63.490,63.033,63.211,12049.8496
07.05.2012 01:00:00.000 GMT+0100,63.208,63.713,63.091,63.696,79686.8203
08.05.2012 01:00:00.000 GMT+0100,63.693,63.694,62.664,62.741,102445.9297
09.05.2012 01:00:00.000 GMT+0100,62.738,62.880,62.164,62.492,117010.2109
10.05.2012 01:00:00.000 GMT+0100,62.491,63.134,62.421,62.609,114330.8672
11.05.2012 01:00:00.000 GMT+0100,62.606,62.936,62.289,62.520,97209.5
12.05.2012 01:00:00.000 GMT+0100,62.520,62.520,62.520,62.520,0
13.05.2012 01:00:00.000 GMT+0100,62.670,62.740,62.233,62.489,7605.2998
14.05.2012 01:00:00.000 GMT+0100,62.488,62.651,61.854,62.060,108252.4219
15.05.2012 01:00:00.000 GMT+0100,62.058,62.274,61.587,61.802,128319.4297
16.05.2012 01:00:00.000 GMT+0100,61.802,61.889,61.257,61.576,138002.125
17.05.2012 01:00:00.000 GMT+0100,61.572,61.674,60.447,60.684,156845.125
18.05.2012 01:00:00.000 GMT+0100,60.683,60.697,59.489,59.790,142352.6875
19.05.2012 01:00:00.000 GMT+0100,59.790,59.790,59.790,59.790,0
20.05.2012 01:00:00.000 GMT+0100,59.760,60.024,59.565,59.997,8119.3901
21.05.2012 01:00:00.000 GMT+0100,59.997,60.918,59.827,60.905,135151.4531
22.05.2012 01:00:00.000 GMT+0100,60.908,61.060,60.072,60.181,150907.5625
23.05.2012 01:00:00.000 GMT+0100,60.183,60.247,59.173,59.501,168284.1563
24.05.2012 01:00:00.000 GMT+0100,59.504,60.170,59.380,60.067,150421.1875
25.05.2012 01:00:00.000 GMT+0100,60.065,60.370,59.862,60.080,122531.3906
26.05.2012 01:00:00.000 GMT+0100,60.080,60.080,60.080,60.080,0
27.05.2012 01:00:00.000 GMT+0100,60.150,60.600,60.030,60.390,8999.4102
28.05.2012 01:00:00.000 GMT+0100,60.392,60.673,60.356,60.378,84177.7969
29.05.2012 01:00:00.000 GMT+0100,60.382,60.782,60.220,60.533,137012.8125
30.05.2012 01:00:00.000 GMT+0100,60.537,60.596,59.343,59.350,158006.5469
31.05.2012 01:00:00.000 GMT+0100,59.350,59.763,58.688,59.162,160525.2344
01.06.2012 01:00:00.000 GMT+0100,59.169,59.223,57.957,58.790,177652.8438
02.06.2012 01:00:00.000 GMT+0100,58.790,58.790,58.790,58.790,0
03.06.2012 01:00:00.000 GMT+0100,58.870,59.016,58.618,58.622,9194.29
04.06.2012 01:00:00.000 GMT+0100,58.626,59.477,58.598,59.469,133714.0156
05.06.2012 01:00:00.000 GMT+0100,59.467,59.798,58.813,59.738,145244.2031
06.06.2012 01:00:00.000 GMT+0100,59.736,61.167,59.616,61.076,172936.9219
07.06.2012 01:00:00.000 GMT+0100,61.073,61.801,60.878,61.225,162449.8125
08.06.2012 01:00:00.000 GMT+0100,61.224,61.304,60.287,61.230,152096.8438
09.06.2012 01:00:00.000 GMT+0100,61.230,61.230,61.230,61.230,0
10.06.2012 01:00:00.000 GMT+0100,61.720,61.971,61.550,61.758,14031.5703
11.06.2012 01:00:00.000 GMT+0100,61.758,61.974,60.801,60.950,148945.2188
12.06.2012 01:00:00.000 GMT+0100,60.948,62.017,60.819,61.789,176328.2031
13.06.2012 01:00:00.000 GMT+0100,61.772,62.148,61.323,61.648,154827.2031
14.06.2012 01:00:00.000 GMT+0100,61.648,62.235,61.521,62.166,145925.4219
15.06.2012 01:00:00.000 GMT+0100,62.168,62.263,61.681,62.010,126921.5313
16.06.2012 01:00:00.000 GMT+0100,62.010,62.010,62.010,62.010,0
17.06.2012 01:00:00.000 GMT+0100,62.240,62.760,62.070,62.597,13446.6904
18.06.2012 01:00:00.000 GMT+0100,62.589,62.979,62.231,62.572,144048.9531
19.06.2012 01:00:00.000 GMT+0100,62.574,63.127,62.400,62.878,114809.6016
20.06.2012 01:00:00.000 GMT+0100,62.877,63.692,62.637,63.569,126034.3516
21.06.2012 01:00:00.000 GMT+0100,63.567,64.090,62.980,63.016,143860.6875
22.06.2012 01:00:00.000 GMT+0100,63.020,63.714,62.995,63.560,112136.0625
23.06.2012 01:00:00.000 GMT+0100,63.560,63.560,63.560,63.560,0
24.06.2012 01:00:00.000 GMT+0100,63.520,63.630,63.381,63.449,5375.3101
25.06.2012 01:00:00.000 GMT+0100,63.456,63.488,62.419,62.698,112554.6172
26.06.2012 01:00:00.000 GMT+0100,62.697,63.059,62.595,62.708,126081
27.06.2012 01:00:00.000 GMT+0100,62.708,63.198,62.617,63.044,103169.4531
28.06.2012 01:00:00.000 GMT+0100,63.048,63.252,62.250,62.390,111326.9063
29.06.2012 01:00:00.000 GMT+0100,62.391,64.213,62.232,63.980,127371.7734
30.06.2012 01:00:00.000 GMT+0100,63.980,63.980,63.980,63.980,0
01.07.2012 01:00:00.000 GMT+0100,63.930,64.107,63.773,63.982,7632.3701
02.07.2012 01:00:00.000 GMT+0100,63.986,64.161,63.569,63.804,102429.3125
03.07.2012 01:00:00.000 GMT+0100,63.803,64.338,63.737,64.246,95549.4219
04.07.2012 01:00:00.000 GMT+0100,64.248,64.278,63.993,64.227,57705.8711
05.07.2012 01:00:00.000 GMT+0100,64.227,64.392,63.821,64.219,114122.8828
06.07.2012 01:00:00.000 GMT+0100,64.219,64.294,63.323,63.570,111091.2578
07.07.2012 01:00:00.000 GMT+0100,63.570,63.570,63.570,63.570,0
08.07.2012 01:00:00.000 GMT+0100,63.560,63.620,63.291,63.347,7803.1001
09.07.2012 01:00:00.000 GMT+0100,63.347,63.568,63.122,63.362,93298.9766
10.07.2012 01:00:00.000 GMT+0100,63.358,63.448,62.906,63.025,89020.1406
11.07.2012 01:00:00.000 GMT+0100,63.022,63.667,62.874,63.259,91731.0703
12.07.2012 01:00:00.000 GMT+0100,63.259,63.491,62.309,62.622,117899.0469
13.07.2012 01:00:00.000 GMT+0100,62.622,63.090,62.547,63.080,88849.4766
14.07.2012 01:00:00.000 GMT+0100,63.080,63.080,63.080,63.080,0
15.07.2012 01:00:00.000 GMT+0100,63.110,63.290,63.010,63.062,5345.8799
16.07.2012 01:00:00.000 GMT+0100,63.060,63.113,62.475,62.769,80947.9531
17.07.2012 01:00:00.000 GMT+0100,62.769,63.221,62.663,63.133,108208.6563
18.07.2012 01:00:00.000 GMT+0100,63.133,63.217,62.554,63.007,101315.1016
19.07.2012 01:00:00.000 GMT+0100,63.005,63.281,62.838,63.240,99459.2109
20.07.2012 01:00:00.000 GMT+0100,63.237,63.237,62.642,62.760,81655.5469
21.07.2012 01:00:00.000 GMT+0100,62.760,62.760,62.760,62.760,0
22.07.2012 01:00:00.000 GMT+0100,62.580,62.700,62.440,62.488,7788.9302
23.07.2012 01:00:00.000 GMT+0100,62.488,62.509,61.563,61.779,96309.8281
24.07.2012 01:00:00.000 GMT+0100,61.782,62.022,61.079,61.098,114825.8828
25.07.2012 01:00:00.000 GMT+0100,61.096,61.844,60.997,61.666,116265.4063
26.07.2012 01:00:00.000 GMT+0100,61.666,62.808,61.633,62.642,128743.3438
27.07.2012 01:00:00.000 GMT+0100,62.640,63.651,62.533,63.550,103380.4531
28.07.2012 01:00:00.000 GMT+0100,63.550,63.550,63.550,63.550,0
29.07.2012 01:00:00.000 GMT+0100,63.550,63.633,63.448,63.452,4162.7002
30.07.2012 01:00:00.000 GMT+0100,63.454,63.496,63.115,63.191,74695.3281
31.07.2012 01:00:00.000 GMT+0100,63.193,63.461,63.122,63.190,81388.9688
01.08.2012 01:00:00.000 GMT+0100,63.190,63.663,63.030,63.458,92842.1797
02.08.2012 01:00:00.000 GMT+0100,63.458,63.921,63.120,63.293,111520.1016
03.08.2012 01:00:00.000 GMT+0100,63.293,64.427,63.151,64.290,92172.7813
04.08.2012 01:00:00.000 GMT+0100,64.290,64.290,64.290,64.290,0
