Local time,Open,High,Low,Close,Volume
30.09.2020 01:00:00.000 GMT+0100,0.66006,0.66285,0.65690,0.66207,108056.2969
01.10.2020 01:00:00.000 GMT+0100,0.66208,0.66568,0.66160,0.66503,91189.4922
02.10.2020 01:00:00.000 GMT+0100,0.66503,0.66542,0.66130,0.66381,116285.0938
03.10.2020 01:00:00.000 GMT+0100,0.66381,0.66381,0.66381,0.66381,0
04.10.2020 01:00:00.000 GMT+0100,0.66355,0.66438,0.66318,0.66379,5234.8901
05.10.2020 01:00:00.000 GMT+0100,0.66380,0.66542,0.66291,0.66528,76123.3672
06.10.2020 01:00:00.000 GMT+0100,0.66529,0.66575,0.65765,0.65893,104418.3125
07.10.2020 01:00:00.000 GMT+0100,0.65896,0.66002,0.65706,0.65721,71799.5781
08.10.2020 01:00:00.000 GMT+0100,0.65722,0.65963,0.65462,0.65883,72140.1719
09.10.2020 01:00:00.000 GMT+0100,0.65883,0.66721,0.65878,0.66641,59676.4297
10.10.2020 01:00:00.000 GMT+0100,0.66641,0.66641,0.66641,0.66641,0
11.10.2020 01:00:00.000 GMT+0100,0.66520,0.66671,0.66514,0.66634,4620.21
12.10.2020 01:00:00.000 GMT+0100,0.66634,0.66699,0.66405,0.66478,59784.1602
13.10.2020 01:00:00.000 GMT+0100,0.66478,0.66707,0.66280,0.66539,66222.2266
14.10.2020 01:00:00.000 GMT+0100,0.66539,0.66816,0.66438,0.66559,73053.5938
15.10.2020 01:00:00.000 GMT+0100,0.66557,0.66622,0.65758,0.65975,80386.9297
16.10.2020 01:00:00.000 GMT+0100,0.65975,0.66187,0.65864,0.66002,80454.3906
17.10.2020 01:00:00.000 GMT+0100,0.66002,0.66002,0.66002,0.66002,0
18.10.2020 01:00:00.000 GMT+0100,0.66103,0.66177,0.66002,0.66165,4633.4199
19.10.2020 01:00:00.000 GMT+0100,0.66167,0.66460,0.65858,0.65917,60624.3594
20.10.2020 01:00:00.000 GMT+0100,0.65918,0.65953,0.65524,0.65794,58992.6484
21.10.2020 01:00:00.000 GMT+0100,0.65794,0.66772,0.65774,0.66431,73532.0625
22.10.2020 01:00:00.000 GMT+0100,0.66433,0.66884,0.66318,0.66717,74539.8125
23.10.2020 01:00:00.000 GMT+0100,0.66716,0.67045,0.66558,0.66833,57736.8398
24.10.2020 01:00:00.000 GMT+0100,0.66833,0.66833,0.66833,0.66833,0
25.10.2020 01:00:00.000 GMT+0100,0.66758,0.66909,0.66751,0.66828,7438.1802
26.10.2020 00:00:00.000 GMT-0000,0.66826,0.66970,0.66699,0.66750,85218.7891
27.10.2020 00:00:00.000 GMT-0000,0.66753,0.67238,0.66746,0.66994,61392.0586
28.10.2020 00:00:00.000 GMT-0000,0.66994,0.67194,0.66281,0.66480,93043.0469
29.10.2020 00:00:00.000 GMT-0000,0.66480,0.66594,0.65965,0.66283,85543.0703
30.10.2020 00:00:00.000 GMT-0000,0.66282,0.66707,0.65976,0.66100,102065.25
31.10.2020 00:00:00.000 GMT-0000,0.66100,0.66100,0.66100,0.66100,0
01.11.2020 00:00:00.000 GMT-0000,0.66097,0.66102,0.65916,0.65970,6471.4399
02.11.2020 00:00:00.000 GMT-0000,0.65969,0.66348,0.65888,0.66309,75826.7891
03.11.2020 00:00:00.000 GMT-0000,0.66308,0.67313,0.66209,0.67273,83934.6797
04.11.2020 00:00:00.000 GMT-0000,0.67274,0.67434,0.66134,0.66985,164029.625
05.11.2020 00:00:00.000 GMT-0000,0.66986,0.67775,0.66785,0.67633,120920.9922
06.11.2020 00:00:00.000 GMT-0000,0.67633,0.68018,0.67599,0.67714,94610.7813
07.11.2020 00:00:00.000 GMT-0000,0.67714,0.67714,0.67714,0.67714,0
08.11.2020 00:00:00.000 GMT-0000,0.67866,0.68001,0.67830,0.67960,4092.5601
09.11.2020 00:00:00.000 GMT-0000,0.67961,0.68546,0.67890,0.68238,138565.9844
10.11.2020 00:00:00.000 GMT-0000,0.68239,0.68397,0.68031,0.68266,103245
11.11.2020 00:00:00.000 GMT-0000,0.68265,0.69035,0.68083,0.69007,89655.0938
12.11.2020 00:00:00.000 GMT-0000,0.69005,0.69142,0.68286,0.68376,70941.6719
13.11.2020 00:00:00.000 GMT-0000,0.68381,0.68485,0.68102,0.68447,56723.75
14.11.2020 00:00:00.000 GMT-0000,0.68447,0.68447,0.68447,0.68447,0
15.11.2020 00:00:00.000 GMT-0000,0.68422,0.68746,0.68404,0.68693,2835.3601
16.11.2020 00:00:00.000 GMT-0000,0.68691,0.69092,0.68618,0.69062,63162.7813
17.11.2020 00:00:00.000 GMT-0000,0.69061,0.69185,0.68749,0.68903,61969.9219
18.11.2020 00:00:00.000 GMT-0000,0.68903,0.69449,0.68752,0.69182,63413.6484
19.11.2020 00:00:00.000 GMT-0000,0.69181,0.69281,0.68784,0.69043,80899.1406
20.11.2020 00:00:00.000 GMT-0000,0.69043,0.69504,0.69043,0.69224,72107.5938
21.11.2020 00:00:00.000 GMT-0000,0.69224,0.69224,0.69224,0.69224,0
22.11.2020 00:00:00.000 GMT-0000,0.69266,0.69456,0.69266,0.69445,4500.6099
23.11.2020 00:00:00.000 GMT-0000,0.69444,0.69673,0.68964,0.69289,67127.3828
24.11.2020 00:00:00.000 GMT-0000,0.69288,0.70045,0.69235,0.69778,80653.3516
25.11.2020 00:00:00.000 GMT-0000,0.69778,0.70147,0.69598,0.70026,72624.6328
26.11.2020 00:00:00.000 GMT-0000,0.70025,0.70137,0.69926,0.70020,47518.1602
