Etc/UTC,Open,High,Low,Close,Volume
2024-07-01T00:00:00+00:00,0.60981,0.61016,0.6094,0.60979,3558600000
2024-07-01T01:00:00+00:00,0.60978,0.6103,0.60952,0.61001,3351690000
2024-07-01T02:00:00+00:00,0.61002,0.61011,0.60976,0.61002,1315800000
2024-07-01T03:00:00+00:00,0.61003,0.61011,0.60973,0.60989,850050000
2024-07-01T04:00:00+00:00,0.60987,0.60996,0.60959,0.60973,707400000
2024-07-01T05:00:00+00:00,0.60972,0.6101,0.60964,0.60973,1787170000
2024-07-01T06:00:00+00:00,0.60971,0.61059,0.60969,0.61016,3650170000
2024-07-01T07:00:00+00:00,0.61019,0.61047,0.6098,0.60988,3771300000
2024-07-01T08:00:00+00:00,0.60987,0.61069,0.60971,0.61039,2892750000
2024-07-01T09:00:00+00:00,0.61037,0.61037,0.60967,0.60982,2289180000
2024-07-01T10:00:00+00:00,0.60981,0.60981,0.60943,0.60948,2029200000
2024-07-01T11:00:00+00:00,0.60945,0.60972,0.60921,0.60955,1982400000
2024-07-01T12:00:00+00:00,0.60952,0.60954,0.60794,0.6086,4529100000
2024-07-01T13:00:00+00:00,0.60861,0.60953,0.60835,0.60918,5322220000
2024-07-01T14:00:00+00:00,0.60919,0.61075,0.60696,0.60698,8148650000
2024-07-01T15:00:00+00:00,0.60697,0.60706,0.60647,0.60695,9016200000
2024-07-01T16:00:00+00:00,0.60696,0.60755,0.60674,0.60719,9375750000
2024-07-01T17:00:00+00:00,0.60721,0.60754,0.60709,0.60723,4714650000
2024-07-01T18:00:00+00:00,0.60725,0.60725,0.60664,0.60697,2989500000
2024-07-01T19:00:00+00:00,0.60697,0.60752,0.60694,0.60746,3148650000
2024-07-01T20:00:00+00:00,0.60747,0.60772,0.60746,0.60752,1350300000
2024-07-01T21:00:00+00:00,0.60744,0.60774,0.60687,0.60763,893620000
2024-07-01T22:00:00+00:00,0.60763,0.60764,0.60667,0.6067,1311230000
2024-07-01T23:00:00+00:00,0.60668,0.60676,0.60634,0.60638,882030000
2024-07-02T00:00:00+00:00,0.60638,0.60679,0.60557,0.6056,2954100000
2024-07-02T01:00:00+00:00,0.60559,0.6061,0.60497,0.60582,4256700000
2024-07-02T02:00:00+00:00,0.60581,0.60585,0.60497,0.60508,2339700000
2024-07-02T03:00:00+00:00,0.60508,0.6054,0.60473,0.60536,1523700000
2024-07-02T04:00:00+00:00,0.60538,0.60561,0.60515,0.60538,1632000000
2024-07-02T05:00:00+00:00,0.60538,0.6057,0.60513,0.60543,2293950000
2024-07-02T06:00:00+00:00,0.6054,0.60554,0.605,0.60517,3645150000
2024-07-02T07:00:00+00:00,0.60516,0.60533,0.60472,0.60519,5746650000
2024-07-02T08:00:00+00:00,0.60521,0.60567,0.60506,0.60566,4280850000
2024-07-02T09:00:00+00:00,0.60567,0.60567,0.60527,0.60534,3007650000
2024-07-02T10:00:00+00:00,0.60536,0.60561,0.60524,0.60541,2353650000
2024-07-02T11:00:00+00:00,0.60542,0.60585,0.60508,0.60582,2781150000
2024-07-02T12:00:00+00:00,0.60584,0.6066,0.60584,0.60634,4980540000
2024-07-02T13:00:00+00:00,0.60633,0.60786,0.6063,0.60752,6003150000
2024-07-02T14:00:00+00:00,0.60754,0.60777,0.60619,0.60703,10502030000
2024-07-02T15:00:00+00:00,0.60703,0.60717,0.60664,0.60699,9442350000
2024-07-02T16:00:00+00:00,0.60698,0.60712,0.60677,0.60701,3342600000
2024-07-02T17:00:00+00:00,0.60702,0.60757,0.60697,0.60745,1692750000
2024-07-02T18:00:00+00:00,0.60744,0.60789,0.60739,0.60788,1939650000
2024-07-02T19:00:00+00:00,0.60788,0.60822,0.60773,0.60815,2545200000
2024-07-02T20:00:00+00:00,0.60818,0.60818,0.6077,0.60771,1286200000
2024-07-02T21:00:00+00:00,0.60762,0.60764,0.60733,0.60757,524310000
2024-07-02T22:00:00+00:00,0.60758,0.60831,0.60757,0.6083,617910000
2024-07-02T23:00:00+00:00,0.60829,0.60834,0.60807,0.60812,543900000
2024-07-03T00:00:00+00:00,0.60812,0.60855,0.60795,0.60815,2240850000
2024-07-03T01:00:00+00:00,0.60813,0.60814,0.60756,0.60801,2888850000
2024-07-03T02:00:00+00:00,0.608,0.60828,0.60754,0.60765,1413900000
2024-07-03T03:00:00+00:00,0.60764,0.60824,0.60763,0.60805,907350000
2024-07-03T04:00:00+00:00,0.60804,0.60821,0.60764,0.60765,1231200000
