Etc/UTC,Open,High,Low,Close,Volume
2025-07-01T00:00:00+00:00,1.36061,1.36079,1.36023,1.36029,2817240000
2025-07-01T01:00:00+00:00,1.3603,1.36161,1.36029,1.3616,3545310000
2025-07-01T02:00:00+00:00,1.36158,1.3618,1.36096,1.36112,3874530000
2025-07-01T03:00:00+00:00,1.36111,1.36128,1.36061,1.36104,3086160000
2025-07-01T04:00:00+00:00,1.36105,1.36108,1.3602,1.36063,2776020000
2025-07-01T05:00:00+00:00,1.36063,1.36091,1.36031,1.36064,2751240000
2025-07-01T06:00:00+00:00,1.36063,1.36111,1.36032,1.36044,3266100000
2025-07-01T07:00:00+00:00,1.36044,1.36103,1.3598,1.35982,5374130000
2025-07-01T08:00:00+00:00,1.35984,1.36045,1.35923,1.3598,5050320000
2025-07-01T09:00:00+00:00,1.35979,1.36042,1.35905,1.35965,5624220000
2025-07-01T10:00:00+00:00,1.35965,1.36036,1.35924,1.36033,4652610000
2025-07-01T11:00:00+00:00,1.36033,1.36111,1.36023,1.36068,4941100000
2025-07-01T12:00:00+00:00,1.36068,1.36268,1.36058,1.36265,6506700000
2025-07-01T13:00:00+00:00,1.36265,1.36412,1.36221,1.3635,7129700000
2025-07-01T14:00:00+00:00,1.36357,1.36603,1.363,1.36556,11230440000
2025-07-01T15:00:00+00:00,1.36556,1.36658,1.36532,1.3659,5631300000
2025-07-01T16:00:00+00:00,1.36591,1.36666,1.36549,1.366,3637740000
2025-07-01T17:00:00+00:00,1.36598,1.36633,1.36488,1.36491,3468910000
2025-07-01T18:00:00+00:00,1.36491,1.36557,1.36475,1.36513,3084800000
2025-07-01T19:00:00+00:00,1.36514,1.36556,1.36448,1.36455,5069370000
2025-07-01T20:00:00+00:00,1.36454,1.36485,1.36413,1.36446,2085520000
2025-07-01T21:00:00+00:00,1.3644,1.36443,1.36406,1.36431,453090000
2025-07-01T22:00:00+00:00,1.36444,1.36479,1.36421,1.36448,1683270000
2025-07-01T23:00:00+00:00,1.36446,1.36471,1.36427,1.36441,1859370000
2025-07-02T00:00:00+00:00,1.36442,1.3645,1.36394,1.36397,3490380000
2025-07-02T01:00:00+00:00,1.36397,1.36497,1.36377,1.36482,4742520000
2025-07-02T02:00:00+00:00,1.36481,1.3652,1.36451,1.36457,3411110000
2025-07-02T03:00:00+00:00,1.36457,1.3649,1.36453,1.36465,2976450000
2025-07-02T04:00:00+00:00,1.3647,1.36488,1.36441,1.36476,2691690000
2025-07-02T05:00:00+00:00,1.36478,1.36548,1.36467,1.36518,3283840000
2025-07-02T06:00:00+00:00,1.3652,1.36583,1.36478,1.36525,3907950000
2025-07-02T07:00:00+00:00,1.36525,1.36539,1.36435,1.36498,5525470000
2025-07-02T08:00:00+00:00,1.36497,1.3653,1.36461,1.365,4182100000
2025-07-02T09:00:00+00:00,1.36497,1.36536,1.36478,1.36507,4703250000
2025-07-02T10:00:00+00:00,1.36506,1.36522,1.36405,1.36453,3850090000
2025-07-02T11:00:00+00:00,1.3645,1.36489,1.36351,1.36461,4266150000
2025-07-02T12:00:00+00:00,1.36461,1.36567,1.36299,1.36498,12087270000
2025-07-02T13:00:00+00:00,1.36501,1.36529,1.36322,1.36488,14359820000
2025-07-02T14:00:00+00:00,1.36488,1.36543,1.36355,1.36369,12674530000
2025-07-02T15:00:00+00:00,1.3637,1.3642,1.36208,1.36208,7147930000
2025-07-02T16:00:00+00:00,1.3621,1.3625,1.36049,1.3606,6526430000
2025-07-02T17:00:00+00:00,1.36062,1.36065,1.35947,1.3597,4682360000
2025-07-02T18:00:00+00:00,1.3597,1.35991,1.35899,1.35954,5117360000
2025-07-02T19:00:00+00:00,1.35953,1.3598,1.35881,1.35884,4583970000
2025-07-02T20:00:00+00:00,1.35883,1.35937,1.35831,1.35862,2404620000
2025-07-02T21:00:00+00:00,1.35862,1.35889,1.35795,1.35876,446550000
2025-07-02T22:00:00+00:00,1.35876,1.35881,1.35843,1.35855,1870740000
2025-07-02T23:00:00+00:00,1.35854,1.35879,1.35854,1.35877,1226550000
2025-07-03T00:00:00+00:00,1.35878,1.35879,1.35797,1.35814,2046640000
2025-07-03T01:00:00+00:00,1.35814,1.35852,1.35786,1.35821,3974670000
2025-07-03T02:00:00+00:00,1.35821,1.3593,1.3582,1.35896,2663430000
2025-07-03T03:00:00+00:00,1.35895,1.3595,1.3588,1.35941,3169140000
2025-07-03T04:00:00+00:00,1.35942,1.35977,1.35913,1.35967,1485210000
2025-07-03T05:00:00+00:00,1.35967,1.36004,1.35954,1.35996,2028240000
2025-07-03T06:00:00+00:00,1.35994,1.36006,1.35905,1.3594,4383660000
2025-07-03T07:00:00+00:00,1.35941,1.35958,1.35864,1.35921,5857720000
2025-07-03T08:00:00+00:00,1.35921,1.35927,1.35855,1.35873,5677020000
2025-07-03T09:00:00+00:00,1.35872,1.3595,1.35869,1.3591,3194120000
2025-07-03T10:00:00+00:00,1.35909,1.35929,1.35849,1.35867,3447410000
2025-07-03T11:00:00+00:00,1.35869,1.35902,1.3578,1.35895,2928060000
2025-07-03T12:00:00+00:00,1.35896,1.36234,1.35851,1.36161,12608830000
2025-07-03T13:00:00+00:00,1.36163,1.36193,1.35739,1.35765,12332600000
2025-07-03T14:00:00+00:00,1.35763,1.35886,1.35689,1.35819,13781730000
2025-07-03T15:00:00+00:00,1.3582,1.35873,1.35558,1.35595,10039630000
2025-07-03T16:00:00+00:00,1.35593,1.3572,1.35579,1.35608,4737720000
