Etc/UTC,Open,High,Low,Close,Volume
2024-07-01T00:00:00+00:00,1.36738,1.36772,1.36708,1.36739,3793960000
2024-07-01T01:00:00+00:00,1.36738,1.36783,1.3665,1.36717,4785630000
2024-07-01T02:00:00+00:00,1.36717,1.36747,1.36695,1.36721,2800350000
2024-07-01T03:00:00+00:00,1.36722,1.36766,1.3672,1.36746,1050930000
2024-07-01T04:00:00+00:00,1.36748,1.36749,1.36722,1.36724,1258080000
2024-07-01T05:00:00+00:00,1.36724,1.36755,1.36676,1.36714,2928900000
2024-07-01T06:00:00+00:00,1.36716,1.36726,1.36628,1.36679,4381590000
2024-07-01T07:00:00+00:00,1.36679,1.36793,1.36654,1.36769,4503600000
2024-07-01T08:00:00+00:00,1.36769,1.36813,1.36693,1.36721,4495830000
2024-07-01T09:00:00+00:00,1.36722,1.36841,1.36722,1.36822,3064350000
2024-07-01T10:00:00+00:00,1.36819,1.36885,1.36818,1.3688,2452590000
2024-07-01T11:00:00+00:00,1.3688,1.36909,1.36839,1.36866,2445750000
2024-07-01T12:00:00+00:00,1.36865,1.37084,1.36865,1.37033,5809530000
2024-07-01T13:00:00+00:00,1.37032,1.3705,1.36852,1.36979,6950000000
2024-07-01T14:00:00+00:00,1.36979,1.37348,1.36838,1.37317,14530630000
2024-07-01T15:00:00+00:00,1.37315,1.37483,1.37307,1.37437,7261740000
2024-07-01T16:00:00+00:00,1.37438,1.37478,1.37326,1.37368,6183600000
2024-07-01T17:00:00+00:00,1.37368,1.3741,1.37332,1.37399,4329060000
2024-07-01T18:00:00+00:00,1.37399,1.37472,1.37399,1.37445,4421850000
2024-07-01T19:00:00+00:00,1.37445,1.37448,1.37367,1.37389,5135430000
2024-07-01T20:00:00+00:00,1.37389,1.374,1.37339,1.37348,1490070000
2024-07-01T21:00:00+00:00,1.37349,1.37377,1.3732,1.37334,569940000
2024-07-01T22:00:00+00:00,1.37334,1.37388,1.37329,1.37361,956850000
2024-07-01T23:00:00+00:00,1.37362,1.37399,1.37353,1.37379,1684210000
2024-07-02T00:00:00+00:00,1.37377,1.37413,1.37324,1.37403,3075150000
2024-07-02T01:00:00+00:00,1.37403,1.37471,1.3737,1.37403,2742540000
2024-07-02T02:00:00+00:00,1.37404,1.37509,1.37402,1.37483,1753200000
2024-07-02T03:00:00+00:00,1.37482,1.37549,1.37482,1.37524,2766960000
2024-07-02T04:00:00+00:00,1.37525,1.37545,1.37497,1.37516,1281600000
2024-07-02T05:00:00+00:00,1.37515,1.37546,1.37486,1.37499,1878840000
2024-07-02T06:00:00+00:00,1.37497,1.37499,1.37388,1.37419,4930950000
2024-07-02T07:00:00+00:00,1.37418,1.37452,1.3734,1.37357,5540760000
2024-07-02T08:00:00+00:00,1.37357,1.37396,1.3729,1.37307,5242320000
2024-07-02T09:00:00+00:00,1.37303,1.37333,1.37268,1.3732,4353960000
2024-07-02T10:00:00+00:00,1.37319,1.3734,1.37284,1.37327,2962770000
2024-07-02T11:00:00+00:00,1.37326,1.37365,1.37286,1.37323,3757750000
2024-07-02T12:00:00+00:00,1.37324,1.37324,1.37162,1.37206,6215040000
2024-07-02T13:00:00+00:00,1.37206,1.37253,1.36948,1.36961,11228090000
2024-07-02T14:00:00+00:00,1.36961,1.37078,1.36876,1.36939,20606030000
2024-07-02T15:00:00+00:00,1.36938,1.36997,1.36909,1.36924,10365990000
2024-07-02T16:00:00+00:00,1.36924,1.37011,1.36923,1.36947,5536080000
2024-07-02T17:00:00+00:00,1.36946,1.36951,1.3681,1.3683,5620290000
2024-07-02T18:00:00+00:00,1.3683,1.36863,1.36746,1.36751,4731030000
2024-07-02T19:00:00+00:00,1.36751,1.368,1.36668,1.36703,5305410000
2024-07-02T20:00:00+00:00,1.36703,1.36789,1.36701,1.36782,2544210000
2024-07-02T21:00:00+00:00,1.36767,1.36787,1.36744,1.36785,3117510000
2024-07-02T22:00:00+00:00,1.36787,1.36787,1.3671,1.36712,976830000
2024-07-02T23:00:00+00:00,1.36712,1.36772,1.36708,1.36771,998490000
2024-07-03T00:00:00+00:00,1.36769,1.36777,1.3671,1.3676,3651690000
2024-07-03T01:00:00+00:00,1.3676,1.36836,1.36759,1.36818,3282180000
2024-07-03T02:00:00+00:00,1.36816,1.36831,1.36771,1.36816,2356140000
2024-07-03T03:00:00+00:00,1.36819,1.3682,1.3676,1.3677,1523010000
2024-07-03T04:00:00+00:00,1.3677,1.36799,1.36751,1.36798,877300000
2024-07-03T05:00:00+00:00,1.36799,1.36848,1.36792,1.36834,1956240000
2024-07-03T06:00:00+00:00,1.36833,1.36863,1.36752,1.36766,3438510000
2024-07-03T07:00:00+00:00,1.36765,1.36782,1.36675,1.36688,6142700000
2024-07-03T08:00:00+00:00,1.36686,1.36773,1.36686,1.36767,5517750000
2024-07-03T09:00:00+00:00,1.36766,1.36803,1.36763,1.36774,4695030000
2024-07-03T10:00:00+00:00,1.36775,1.36804,1.36748,1.36789,4731460000
2024-07-03T11:00:00+00:00,1.3679,1.36804,1.36702,1.36711,5219360000
2024-07-03T12:00:00+00:00,1.3671,1.36716,1.36511,1.36574,7992510000
2024-07-03T13:00:00+00:00,1.36576,1.36576,1.36432,1.36484,5463780000
2024-07-03T14:00:00+00:00,1.36477,1.36477,1.36169,1.36311,16120050000
2024-07-03T15:00:00+00:00,1.36313,1.36347,1.36225,1.3625,7182600000
2024-07-03T16:00:00+00:00,1.36251,1.36344,1.36247,1.36304,5355750000
2024-07-03T17:00:00+00:00,1.36304,1.36361,1.36296,1.36341,3695010000
2024-07-03T18:00:00+00:00,1.3634,1.36416,1.36325,1.36364,3625200000
2024-07-03T19:00:00+00:00,1.36365,1.36369,1.3631,1.36348,3362610000
2024-07-03T20:00:00+00:00,1.36348,1.36403,1.36342,1.36375,1118790000
2024-07-03T21:00:00+00:00,1.36354,1.36401,1.36172,1.3637,758780000
2024-07-03T22:00:00+00:00,1.3637,1.36388,1.36358,1.36367,554250000
2024-07-03T23:00:00+00:00,1.36365,1.36367,1.36323,1.36332,1312770000
2024-07-04T00:00:00+00:00,1.36332,1.36343,1.36286,1.36294,3347670000
2024-07-04T01:00:00+00:00,1.36293,1.36366,1.36251,1.36335,5463660000
2024-07-04T02:00:00+00:00,1.36338,1.3637,1.36324,1.36353,2549610000
2024-07-04T03:00:00+00:00,1.36354,1.36386,1.36344,1.36375,4789410000
2024-07-04T04:00:00+00:00,1.36376,1.36376,1.36339,1.36351,2302530000
2024-07-04T05:00:00+00:00,1.36352,1.36366,1.36292,1.36294,1005750000
2024-07-04T06:00:00+00:00,1.36295,1.36323,1.36253,1.36258,2071260000
2024-07-04T07:00:00+00:00,1.36259,1.36297,1.36232,1.36255,2782680000
2024-07-04T08:00:00+00:00,1.36254,1.36257,1.36192,1.36228,3375300000
2024-07-04T09:00:00+00:00,1.36225,1.36279,1.36215,1.36262,2562270000
2024-07-04T10:00:00+00:00,1.36263,1.36265,1.36212,1.36212,2630670000
2024-07-04T11:00:00+00:00,1.36212,1.36232,1.36161,1.36191,3214690000
2024-07-04T12:00:00+00:00,1.3619,1.36193,1.36117,1.36123,3336810000
2024-07-04T13:00:00+00:00,1.36125,1.36191,1.36116,1.36121,2392000000
2024-07-04T14:00:00+00:00,1.36119,1.36204,1.36097,1.36179,3688440000
2024-07-04T15:00:00+00:00,1.36176,1.36193,1.36084,1.36088,2932130000
2024-07-04T16:00:00+00:00,1.36089,1.36113,1.36081,1.36081,734920000
2024-07-04T17:00:00+00:00,1.36083,1.36121,1.36078,1.36107,326100000
2024-07-04T18:00:00+00:00,1.36107,1.36116,1.36099,1.36101,325200000
2024-07-04T19:00:00+00:00,1.36102,1.36131,1.36102,1.36121,555210000
2024-07-04T20:00:00+00:00,1.36121,1.36126,1.36076,1.36091,435480000
2024-07-04T21:00:00+00:00,1.36093,1.36118,1.36056,1.36111,288150000
2024-07-04T22:00:00+00:00,1.36112,1.36147,1.36101,1.36138,678180000
2024-07-04T23:00:00+00:00,1.36135,1.36159,1.36126,1.36148,1670670000
2024-07-05T00:00:00+00:00,1.36147,1.36147,1.36046,1.36082,3366840000
2024-07-05T01:00:00+00:00,1.36083,1.36123,1.36066,1.36072,1846950000
2024-07-05T02:00:00+00:00,1.36075,1.36109,1.36075,1.36101,1572090000
2024-07-05T03:00:00+00:00,1.36101,1.36131,1.36061,1.36068,3237480000
2024-07-05T04:00:00+00:00,1.36068,1.36085,1.36049,1.36061,2442990000
2024-07-05T05:00:00+00:00,1.36062,1.361,1.36043,1.36053,1724400000
2024-07-05T06:00:00+00:00,1.36051,1.36103,1.36018,1.36093,2726820000
2024-07-05T07:00:00+00:00,1.36093,1.36098,1.36028,1.36036,3661950000
2024-07-05T08:00:00+00:00,1.36037,1.36113,1.36029,1.36039,4247640000
2024-07-05T09:00:00+00:00,1.3604,1.36082,1.36032,1.36072,5046660000
2024-07-05T10:00:00+00:00,1.36074,1.36107,1.36037,1.36091,3741990000
2024-07-05T11:00:00+00:00,1.36091,1.36135,1.36081,1.3613,3092700000
2024-07-05T12:00:00+00:00,1.36132,1.36319,1.36067,1.36214,13809020000
2024-07-05T13:00:00+00:00,1.36215,1.36503,1.36171,1.36422,13340370000
2024-07-05T14:00:00+00:00,1.36426,1.36529,1.3631,1.36315,13660890000
2024-07-05T15:00:00+00:00,1.36316,1.36393,1.36281,1.36329,7469520000
2024-07-05T16:00:00+00:00,1.36329,1.36398,1.36297,1.36364,4102560000
2024-07-05T17:00:00+00:00,1.36366,1.36433,1.36346,1.36378,4412490000
2024-07-05T18:00:00+00:00,1.36377,1.36379,1.36269,1.36273,3074790000
2024-07-05T19:00:00+00:00,1.36274,1.3635,1.36265,1.36308,3955110000
2024-07-05T20:00:00+00:00,1.36308,1.36419,1.36306,1.36408,3154740000
2024-07-07T21:00:00+00:00,1.3643,1.36441,1.36414,1.36427,1282200000
