Local time,Open,High,Low,Close,Volume
30.09.2020 01:00:00.000 GMT+0100,105.677,105.803,105.401,105.449,196778.3906
01.10.2020 01:00:00.000 GMT+0100,105.448,105.727,105.416,105.550,187650.2344
02.10.2020 01:00:00.000 GMT+0100,105.548,105.665,104.942,105.290,183058.8594
03.10.2020 01:00:00.000 GMT+0100,105.290,105.290,105.290,105.290,0
04.10.2020 01:00:00.000 GMT+0100,105.278,105.591,105.258,105.514,24321.3105
05.10.2020 01:00:00.000 GMT+0100,105.514,105.794,105.493,105.708,127946.6875
06.10.2020 01:00:00.000 GMT+0100,105.708,105.745,105.469,105.642,151661.7656
07.10.2020 01:00:00.000 GMT+0100,105.641,106.107,105.627,105.969,149412.1094
08.10.2020 01:00:00.000 GMT+0100,105.969,106.106,105.923,106.027,122271.8516
09.10.2020 01:00:00.000 GMT+0100,106.027,106.029,105.579,105.589,120309.3203
10.10.2020 01:00:00.000 GMT+0100,105.589,105.589,105.589,105.589,0
11.10.2020 01:00:00.000 GMT+0100,105.716,105.798,105.596,105.625,9912.5
12.10.2020 01:00:00.000 GMT+0100,105.623,105.659,105.241,105.338,109497.9609
13.10.2020 01:00:00.000 GMT+0100,105.339,105.627,105.282,105.468,118596.6719
14.10.2020 01:00:00.000 GMT+0100,105.468,105.514,105.036,105.140,120890.8906
15.10.2020 01:00:00.000 GMT+0100,105.141,105.493,105.118,105.356,116309.5313
16.10.2020 01:00:00.000 GMT+0100,105.357,105.441,105.190,105.361,110304.0625
17.10.2020 01:00:00.000 GMT+0100,105.361,105.361,105.361,105.361,0
18.10.2020 01:00:00.000 GMT+0100,105.376,105.469,105.334,105.430,6489.6201
19.10.2020 01:00:00.000 GMT+0100,105.431,105.502,105.300,105.458,116463.8672
20.10.2020 01:00:00.000 GMT+0100,105.458,105.747,105.420,105.477,107740.1328
21.10.2020 01:00:00.000 GMT+0100,105.478,105.491,104.341,104.681,145033.2344
22.10.2020 01:00:00.000 GMT+0100,104.681,104.936,104.476,104.904,108716.3906
23.10.2020 01:00:00.000 GMT+0100,104.906,104.916,104.546,104.681,90101.0313
24.10.2020 01:00:00.000 GMT+0100,104.681,104.681,104.681,104.681,0
25.10.2020 01:00:00.000 GMT+0100,104.673,104.756,104.650,104.692,9675.7002
26.10.2020 00:00:00.000 GMT-0000,104.695,105.054,104.654,104.831,93899.2109
27.10.2020 00:00:00.000 GMT-0000,104.832,104.838,104.388,104.546,89455.1016
28.10.2020 00:00:00.000 GMT-0000,104.545,104.551,104.113,104.317,114953.5625
29.10.2020 00:00:00.000 GMT-0000,104.317,104.728,104.025,104.558,113011.9766
30.10.2020 00:00:00.000 GMT-0000,104.558,104.742,104.124,104.623,135391.9844
31.10.2020 00:00:00.000 GMT-0000,104.623,104.623,104.623,104.623,0
01.11.2020 00:00:00.000 GMT-0000,104.518,104.693,104.514,104.580,9477.0498
02.11.2020 00:00:00.000 GMT-0000,104.582,104.948,104.582,104.723,118623.5
03.11.2020 00:00:00.000 GMT-0000,104.723,104.820,104.432,104.543,181813.2813
04.11.2020 00:00:00.000 GMT-0000,104.544,105.344,104.151,104.439,302957.8125
05.11.2020 00:00:00.000 GMT-0000,104.438,104.474,103.442,103.607,236761.0625
06.11.2020 00:00:00.000 GMT-0000,103.607,103.759,103.176,103.329,232924.3438
07.11.2020 00:00:00.000 GMT-0000,103.329,103.329,103.329,103.329,0
08.11.2020 00:00:00.000 GMT-0000,103.322,103.335,103.190,103.255,14693.4697
09.11.2020 00:00:00.000 GMT-0000,103.256,105.647,103.239,105.138,318231.2188
10.11.2020 00:00:00.000 GMT-0000,105.138,105.487,104.820,105.261,228765.7031
11.11.2020 00:00:00.000 GMT-0000,105.259,105.676,105.004,105.415,161829.5625
12.11.2020 00:00:00.000 GMT-0000,105.416,105.477,105.063,105.098,156628.8438
13.11.2020 00:00:00.000 GMT-0000,105.100,105.149,104.562,104.592,135885.1875
14.11.2020 00:00:00.000 GMT-0000,104.592,104.592,104.592,104.592,0
15.11.2020 00:00:00.000 GMT-0000,104.727,104.734,104.563,104.676,6746.96
16.11.2020 00:00:00.000 GMT-0000,104.675,105.136,104.362,104.531,133727.5156
17.11.2020 00:00:00.000 GMT-0000,104.530,104.566,104.069,104.174,101011.4609
18.11.2020 00:00:00.000 GMT-0000,104.174,104.174,103.651,103.894,114611.5625
19.11.2020 00:00:00.000 GMT-0000,103.895,104.216,103.717,103.810,128208.8125
20.11.2020 00:00:00.000 GMT-0000,103.810,103.911,103.702,103.813,83432.1172
21.11.2020 00:00:00.000 GMT-0000,103.813,103.813,103.813,103.813,0
22.11.2020 00:00:00.000 GMT-0000,103.763,103.862,103.742,103.818,12779.0996
23.11.2020 00:00:00.000 GMT-0000,103.818,104.636,103.680,104.530,109883.2109
24.11.2020 00:00:00.000 GMT-0000,104.528,104.761,104.145,104.508,135366.9375
25.11.2020 00:00:00.000 GMT-0000,104.509,104.597,104.255,104.401,115943.4922
26.11.2020 00:00:00.000 GMT-0000,104.401,104.403,104.218,104.257,101059.7422
27.11.2020 00:00:00.000 GMT-0000,104.259,104.270,103.906,104.025,85065.4375
28.11.2020 00:00:00.000 GMT-0000,104.025,104.025,104.025,104.025,0
29.11.2020 00:00:00.000 GMT-0000,104.052,104.161,104.003,104.088,3064.6499
30.11.2020 00:00:00.000 GMT-0000,104.089,104.409,103.831,104.305,124985.6484
01.12.2020 00:00:00.000 GMT-0000,104.304,104.578,104.182,104.298,110087.4297
02.12.2020 00:00:00.000 GMT-0000,104.298,104.751,104.224,104.448,111036.7188
03.12.2020 00:00:00.000 GMT-0000,104.445,104.534,103.670,103.833,104199.9063
04.12.2020 00:00:00.000 GMT-0000,103.835,104.242,103.738,104.131,117372.7578
05.12.2020 00:00:00.000 GMT-0000,104.131,104.131,104.131,104.131,0
06.12.2020 00:00:00.000 GMT-0000,104.065,104.236,104.027,104.206,6110.23
07.12.2020 00:00:00.000 GMT-0000,104.206,104.312,103.922,104.006,108596.25
08.12.2020 00:00:00.000 GMT-0000,104.007,104.206,103.955,104.140,100619.8672
09.12.2020 00:00:00.000 GMT-0000,104.139,104.405,104.051,104.285,92276.4219
10.12.2020 00:00:00.000 GMT-0000,104.285,104.579,104.172,104.179,110158.1094
11.12.2020 00:00:00.000 GMT-0000,104.178,104.178,103.822,103.996,94811.7109
