Local time,Open,High,Low,Close,Volume
29.04.2010 01:00:00.000 GMT+0100,94.000,94.260,93.850,93.955,371937
30.04.2010 01:00:00.000 GMT+0100,93.955,94.580,93.800,93.810,373037
01.05.2010 01:00:00.000 GMT+0100,93.810,93.810,93.810,93.810,0
02.05.2010 01:00:00.000 GMT+0100,93.820,94.130,93.480,94.115,15122
03.05.2010 01:00:00.000 GMT+0100,94.115,94.790,93.840,94.660,335610
04.05.2010 01:00:00.000 GMT+0100,94.660,94.975,94.315,94.895,564672
05.05.2010 01:00:00.000 GMT+0100,94.895,94.980,93.535,93.875,558259
06.05.2010 01:00:00.000 GMT+0100,93.875,93.970,87.940,91.360,559580
07.05.2010 01:00:00.000 GMT+0100,91.360,93.230,90.835,91.580,435174
08.05.2010 01:00:00.000 GMT+0100,91.580,91.580,91.580,91.580,0
09.05.2010 01:00:00.000 GMT+0100,91.640,92.715,91.620,92.175,18481
10.05.2010 01:00:00.000 GMT+0100,92.160,93.535,91.835,93.005,547507
11.05.2010 01:00:00.000 GMT+0100,93.005,93.260,92.210,92.805,554657
12.05.2010 01:00:00.000 GMT+0100,92.805,93.280,92.450,93.190,535512
13.05.2010 01:00:00.000 GMT+0100,93.190,93.635,92.575,92.605,497678
14.05.2010 01:00:00.000 GMT+0100,92.605,93.085,91.785,92.500,534201
15.05.2010 01:00:00.000 GMT+0100,92.500,92.500,92.500,92.500,0
16.05.2010 01:00:00.000 GMT+0100,92.440,92.460,92.175,92.250,13589
17.05.2010 01:00:00.000 GMT+0100,92.255,92.690,91.755,92.535,438753
18.05.2010 01:00:00.000 GMT+0100,92.530,92.960,91.860,91.860,546228
19.05.2010 01:00:00.000 GMT+0100,91.860,92.145,90.950,91.765,602558
20.05.2010 01:00:00.000 GMT+0100,91.765,91.875,88.950,89.855,464981
21.05.2010 01:00:00.000 GMT+0100,89.860,90.475,89.215,90.000,379209
22.05.2010 01:00:00.000 GMT+0100,90.000,90.000,90.000,90.000,0
23.05.2010 01:00:00.000 GMT+0100,90.000,90.720,89.940,90.165,30509
24.05.2010 01:00:00.000 GMT+0100,90.165,90.620,89.740,90.085,531268
25.05.2010 01:00:00.000 GMT+0100,90.085,90.485,89.255,90.320,727414
26.05.2010 01:00:00.000 GMT+0100,90.320,90.670,89.805,89.985,556965
27.05.2010 01:00:00.000 GMT+0100,89.980,91.075,89.920,90.980,621325
28.05.2010 01:00:00.000 GMT+0100,90.985,91.405,90.605,91.050,477373
29.05.2010 01:00:00.000 GMT+0100,91.050,91.050,91.050,91.050,0
30.05.2010 01:00:00.000 GMT+0100,91.020,91.260,90.820,91.230,11416
31.05.2010 01:00:00.000 GMT+0100,91.230,91.615,90.915,91.150,222924
01.06.2010 01:00:00.000 GMT+0100,91.150,91.455,90.540,91.150,442226
02.06.2010 01:00:00.000 GMT+0100,91.145,92.350,91.020,92.080,513142
03.06.2010 01:00:00.000 GMT+0100,92.085,92.800,92.040,92.590,416347
04.06.2010 01:00:00.000 GMT+0100,92.590,92.880,91.420,91.880,396003
05.06.2010 01:00:00.000 GMT+0100,91.880,91.880,91.880,91.880,0
06.06.2010 01:00:00.000 GMT+0100,91.690,92.060,91.485,91.610,21744
07.06.2010 01:00:00.000 GMT+0100,91.620,92.080,90.980,91.565,591071
08.06.2010 01:00:00.000 GMT+0100,91.565,91.920,90.835,91.325,539352
09.06.2010 01:00:00.000 GMT+0100,91.330,91.665,91.055,91.335,445594
10.06.2010 01:00:00.000 GMT+0100,91.335,91.545,90.855,91.475,419529
11.06.2010 01:00:00.000 GMT+0100,91.475,91.770,91.195,91.640,315923
12.06.2010 01:00:00.000 GMT+0100,91.640,91.640,91.640,91.640,0
13.06.2010 01:00:00.000 GMT+0100,91.640,91.830,91.570,91.650,12161
14.06.2010 01:00:00.000 GMT+0100,91.655,92.110,91.415,91.625,357163
15.06.2010 01:00:00.000 GMT+0100,91.625,91.690,91.075,91.515,424614
16.06.2010 01:00:00.000 GMT+0100,91.515,91.825,91.085,91.315,351843
17.06.2010 01:00:00.000 GMT+0100,91.315,91.420,90.510,90.880,340097
18.06.2010 01:00:00.000 GMT+0100,90.880,90.950,90.445,90.670,269506
19.06.2010 01:00:00.000 GMT+0100,90.670,90.670,90.670,90.670,0
20.06.2010 01:00:00.000 GMT+0100,90.670,90.700,89.950,90.550,16648
21.06.2010 01:00:00.000 GMT+0100,90.550,91.475,90.335,91.020,343520
22.06.2010 01:00:00.000 GMT+0100,91.020,91.100,90.330,90.380,330700
23.06.2010 01:00:00.000 GMT+0100,90.380,90.565,89.725,89.950,269155
24.06.2010 01:00:00.000 GMT+0100,89.945,89.970,89.220,89.565,327527
25.06.2010 01:00:00.000 GMT+0100,89.565,89.770,89.100,89.230,328909
26.06.2010 01:00:00.000 GMT+0100,89.230,89.230,89.230,89.230,0
27.06.2010 01:00:00.000 GMT+0100,89.280,89.410,89.200,89.295,10213
28.06.2010 01:00:00.000 GMT+0100,89.290,89.465,89.065,89.380,314324
29.06.2010 01:00:00.000 GMT+0100,89.380,89.410,88.280,88.590,316697
30.06.2010 01:00:00.000 GMT+0100,88.585,88.760,88.350,88.520,288066
01.07.2010 01:00:00.000 GMT+0100,88.520,88.520,86.965,87.745,417441
02.07.2010 01:00:00.000 GMT+0100,87.750,88.205,87.325,87.740,342878
03.07.2010 01:00:00.000 GMT+0100,87.740,87.740,87.740,87.740,0
04.07.2010 01:00:00.000 GMT+0100,87.740,87.815,87.625,87.750,12177
05.07.2010 01:00:00.000 GMT+0100,87.750,88.000,87.455,87.510,222535
06.07.2010 01:00:00.000 GMT+0100,87.510,87.975,87.345,87.665,389592
07.07.2010 01:00:00.000 GMT+0100,87.660,87.840,87.015,87.825,482859
08.07.2010 01:00:00.000 GMT+0100,87.825,88.640,87.800,88.515,343729
09.07.2010 01:00:00.000 GMT+0100,88.515,88.700,88.370,88.570,300888
10.07.2010 01:00:00.000 GMT+0100,88.570,88.570,88.570,88.570,0
11.07.2010 01:00:00.000 GMT+0100,88.580,88.840,88.500,88.840,12941
12.07.2010 01:00:00.000 GMT+0100,88.840,89.150,88.380,88.745,366205
13.07.2010 01:00:00.000 GMT+0100,88.745,88.860,88.025,88.815,432364
14.07.2010 01:00:00.000 GMT+0100,88.810,89.105,88.070,88.305,423156
15.07.2010 01:00:00.000 GMT+0100,88.310,88.405,87.230,87.425,465854
16.07.2010 01:00:00.000 GMT+0100,87.425,87.500,86.265,86.560,386041
17.07.2010 01:00:00.000 GMT+0100,86.560,86.560,86.560,86.560,0
18.07.2010 01:00:00.000 GMT+0100,86.650,86.690,86.435,86.535,11011
